	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	All	Traded	Manuf	Primary	Traded / FE	Manuf / FE	Primary / FE
							
indFE1					1.8451***		1.1850***
					(0.172)		(0.089)
indFE2					0.6772***		
					(0.186)		
indFE3					1.0430***	-0.0168	
					(0.184)	(0.154)	
indFE4					0.5899***	-0.4714***	
					(0.190)	(0.162)	
indFE5					1.0689***		
					(0.221)		
o.indFE6					-		-
							
indFE7					1.2806***	0.2193	
					(0.186)	(0.159)	
indFE8					1.3240***	0.2664	
					(0.178)	(0.169)	
indFE9					1.8377***	0.7755***	
					(0.198)	(0.168)	
indFE10					1.0545***	-0.0065	
					(0.183)	(0.168)	
indFE11					0.5322***	-0.5261***	
					(0.190)	(0.158)	
indFE12					1.3703***	0.3097**	
					(0.206)	(0.150)	
indFE13					0.9759***	-0.0850	
					(0.165)	(0.158)	
indFE14					0.8683***	-0.1938	
					(0.166)	(0.156)	
o.indFE15					-	-	-
							
rtr_kume_main	-6.1830***	-6.7075***	-6.2267***	-7.9147***	-6.7038***	-6.4238***	-7.9147***
	(0.631)	(0.675)	(0.781)	(0.971)	(0.694)	(0.797)	(0.971)
pre_trend	-0.1060***	-0.1101***	-0.1139***	-0.2026***	-0.1489***	-0.1350***	-0.2026***
	(0.036)	(0.037)	(0.039)	(0.069)	(0.032)	(0.034)	(0.069)
state2	-0.2496**	-0.2686*	-0.5661***	0.4156	-0.2536**	-0.4810***	0.4156
	(0.118)	(0.151)	(0.117)	(0.437)	(0.126)	(0.056)	(0.437)
state3	-1.2322***	-1.4295***	-1.2998***	-2.2758***	-1.4255***	-1.1887***	-2.2758***
	(0.044)	(0.127)	(0.168)	(0.047)	(0.229)	(0.247)	(0.047)
state4	0.3830***	0.2096***	0.1694***	0.3569***	0.2552***	0.2399***	0.3569***
	(0.025)	(0.027)	(0.035)	(0.032)	(0.030)	(0.037)	(0.032)
state5	-0.5149***	-0.5500***	-0.5590**	-0.6216***	-0.5434**	-0.5256**	-0.6216***
	(0.177)	(0.208)	(0.215)	(0.235)	(0.232)	(0.231)	(0.235)
state6	-0.0590	-0.4616***	-0.4223***	-0.7639***	-0.4352***	-0.3527***	-0.7639***
	(0.311)	(0.053)	(0.059)	(0.077)	(0.054)	(0.059)	(0.077)
