	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.7834***	0.3059*	0.4002**	0.2127	0.0873	-0.1074	-0.4710*	-0.6500**	-0.7159**	-1.2230***	-1.4076***	-1.7728***	-1.9587***	-1.9901***	-2.1806***	-2.2180***	-2.1873***	-2.1558***	-1.9529***
	(0.161)	(0.162)	(0.197)	(0.211)	(0.212)	(0.251)	(0.257)	(0.253)	(0.316)	(0.271)	(0.292)	(0.318)	(0.333)	(0.343)	(0.373)	(0.393)	(0.394)	(0.392)	(0.406)
state2	-0.0361***	0.1139***	0.4602***	0.1496***	0.1882***	0.1072*	-0.1365***	-0.1767***	-0.1424***	-0.1006***	-0.1575***	-0.1442***	-0.1800***	-0.1610***	-0.0887***	-0.0956***	-0.0896***	-0.1666***	-0.2114***
	(0.011)	(0.008)	(0.091)	(0.046)	(0.046)	(0.056)	(0.027)	(0.026)	(0.020)	(0.026)	(0.016)	(0.015)	(0.012)	(0.017)	(0.013)	(0.020)	(0.021)	(0.032)	(0.029)
state3	0.0408	0.0619**	-0.1544***	-0.1480***	-0.3622***	-0.2250***	-0.2323***	-0.3572***	-0.4302***	-0.5061***	-0.4066***	-0.3738***	-0.3739***	-0.4408***	-0.4688***	-0.4466***	-0.4594***	-0.5609***	-0.5284***
	(0.028)	(0.027)	(0.022)	(0.032)	(0.051)	(0.043)	(0.046)	(0.080)	(0.049)	(0.061)	(0.077)	(0.052)	(0.055)	(0.062)	(0.054)	(0.056)	(0.042)	(0.060)	(0.056)
state4	-0.1274***	-0.1112***	-0.2441***	-0.1603***	0.0499***	-0.0890***	-0.0402**	-0.1383***	-0.1884***	-0.0975***	-0.2227***	-0.1347***	-0.1547***	-0.1878***	-0.1324***	-0.1061***	-0.0897***	-0.1704***	-0.1953***
	(0.008)	(0.013)	(0.017)	(0.016)	(0.016)	(0.017)	(0.018)	(0.017)	(0.018)	(0.018)	(0.020)	(0.021)	(0.021)	(0.020)	(0.022)	(0.022)	(0.020)	(0.020)	(0.020)
state5	0.0887***	0.0302	-0.2116***	-0.3181***	-0.3036***	-0.4014***	-0.3514***	-0.3576***	-0.3928***	-0.3665***	-0.3564***	-0.2995***	-0.2663***	-0.3012***	-0.2772***	-0.2747***	-0.2877***	-0.4065***	-0.4807***
	(0.010)	(0.027)	(0.024)	(0.042)	(0.055)	(0.050)	(0.022)	(0.025)	(0.026)	(0.019)	(0.015)	(0.017)	(0.015)	(0.015)	(0.016)	(0.018)	(0.023)	(0.022)	(0.022)
state6	0.0427***	0.1177***	0.2363***	0.2513***	0.1460***	-0.0759***	0.0102	0.1016***	0.0470**	-0.1218***	-0.1085***	-0.0314	-0.0171	-0.0226	0.0195	0.0496*	0.0220	-0.0519**	-0.1481***
	(0.010)	(0.017)	(0.021)	(0.020)	(0.020)	(0.021)	(0.022)	(0.021)	(0.022)	(0.022)	(0.024)	(0.025)	(0.025)	(0.025)	(0.026)	(0.026)	(0.025)	(0.025)	(0.024)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0890***	-0.0008	-0.2177***	-0.2406***	-0.1852***	-0.3046***	-0.2813***	-0.3107***	-0.3586***	-0.3012***	-0.3220***	-0.2549***	-0.2552***	-0.2382***	-0.2052***	-0.1576***	-0.1253***	-0.2638***	-0.2912***
	(0.013)	(0.015)	(0.014)	(0.012)	(0.016)	(0.011)	(0.012)	(0.011)	(0.015)	(0.017)	(0.032)	(0.034)	(0.048)	(0.048)	(0.032)	(0.032)	(0.019)	(0.022)	(0.017)
state9	0.0183***	0.0793***	-0.1941***	-0.1915***	-0.1610***	-0.2459***	-0.2384***	-0.2656***	-0.3178***	-0.3144***	-0.3175***	-0.2891***	-0.2816***	-0.2647***	-0.2279***	-0.2698***	-0.2092***	-0.2695***	-0.3324***
	(0.004)	(0.006)	(0.007)	(0.007)	(0.006)	(0.007)	(0.007)	(0.007)	(0.007)	(0.007)	(0.008)	(0.009)	(0.008)	(0.008)	(0.009)	(0.009)	(0.009)	(0.008)	(0.008)
state10	0.1240***	0.1534***	-0.0581**	-0.0482	0.0196	-0.0450	-0.0422	-0.0731**	-0.1082**	-0.0448	-0.0360	0.0269	0.0175	0.0173	0.0284	0.0233	0.0158	-0.0387	-0.1242**
	(0.017)	(0.017)	(0.025)	(0.032)	(0.028)	(0.031)	(0.032)	(0.034)	(0.049)	(0.051)	(0.057)	(0.057)	(0.058)	(0.058)	(0.060)	(0.064)	(0.055)	(0.060)	(0.055)
state11	0.0438***	0.0318**	-0.1845***	-0.2367***	-0.1293***	-0.1932***	-0.1340***	-0.1618***	-0.2064***	-0.1376***	-0.1138***	-0.0566*	-0.0336	-0.0354	-0.0135	-0.0095	-0.0128	-0.1126***	-0.1741***
	(0.013)	(0.015)	(0.018)	(0.019)	(0.017)	(0.021)	(0.026)	(0.020)	(0.025)	(0.020)	(0.021)	(0.033)	(0.034)	(0.033)	(0.039)	(0.030)	(0.039)	(0.032)	(0.034)
state12	0.0675***	0.0372**	-0.1793***	-0.1126***	-0.1110***	-0.1723***	-0.1470***	-0.1692***	-0.2337***	-0.2192***	-0.2218***	-0.2029***	-0.2254***	-0.2190***	-0.1945***	-0.2067***	-0.1667***	-0.2624***	-0.3471***
