	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	-0.2036***	-0.1892***	-0.3051***	-0.6129***	-0.7623***	-0.7972***	-0.8403***	-0.8567***	-0.9238***	-0.9822***	-1.0937***	-1.1617***	-1.2501***	-1.3152***	-1.3517***	-1.3986***	-1.4240***	-1.4424***	-1.4372***
	(0.046)	(0.057)	(0.084)	(0.126)	(0.130)	(0.133)	(0.143)	(0.146)	(0.148)	(0.150)	(0.147)	(0.155)	(0.159)	(0.162)	(0.165)	(0.169)	(0.169)	(0.173)	(0.178)
state2	0.0240***	0.0188	0.0399*	0.0213	0.1545***	0.1591***	0.1628***	0.1185***	0.1242***	0.1035**	0.1001*	0.1037*	0.0996*	0.1077*	0.1064**	0.1143*	0.1194**	0.1164**	0.1219**
	(0.008)	(0.014)	(0.022)	(0.037)	(0.023)	(0.009)	(0.018)	(0.030)	(0.042)	(0.043)	(0.055)	(0.059)	(0.053)	(0.058)	(0.051)	(0.059)	(0.054)	(0.055)	(0.060)
state3	0.0278***	0.0296**	0.0241*	-0.0505**	-0.0696***	-0.1414***	-0.1486***	-0.1432***	-0.1710***	-0.2176***	-0.1394***	-0.1419***	-0.1308***	-0.1133***	-0.1035***	-0.0980***	-0.1147***	-0.0927***	-0.0871***
	(0.006)	(0.012)	(0.014)	(0.022)	(0.018)	(0.022)	(0.028)	(0.025)	(0.030)	(0.052)	(0.019)	(0.016)	(0.017)	(0.029)	(0.028)	(0.023)	(0.029)	(0.026)	(0.022)
state4	0.0345***	0.0116***	0.0173***	-0.0049	0.0086	-0.0533***	-0.0189*	-0.0631***	-0.0137	-0.0349***	0.0781***	0.0844***	0.1006***	0.1278***	0.1284***	0.1817***	0.1824***	0.1883***	0.1984***
	(0.002)	(0.003)	(0.004)	(0.009)	(0.008)	(0.010)	(0.010)	(0.010)	(0.010)	(0.011)	(0.011)	(0.011)	(0.011)	(0.011)	(0.012)	(0.011)	(0.011)	(0.011)	(0.011)
state5	0.0333***	0.0328***	0.0201***	-0.0208*	-0.0400**	-0.0973***	-0.0978***	-0.0876***	-0.0830***	-0.0690***	-0.0547***	-0.0310	-0.0173	-0.0111	-0.0132	-0.0066	-0.0048	-0.0089	-0.0051
	(0.002)	(0.002)	(0.005)	(0.012)	(0.016)	(0.015)	(0.011)	(0.010)	(0.009)	(0.011)	(0.015)	(0.020)	(0.021)	(0.023)	(0.027)	(0.028)	(0.032)	(0.034)	(0.035)
state6	0.0668***	0.0589**	0.1150*	0.1784*	0.2150**	0.2301**	0.3461***	0.3679***	0.3772***	0.3539***	0.3444***	0.3434***	0.3676***	0.3641***	0.3687***	0.3713***	0.3657***	0.3596***	0.3538***
	(0.021)	(0.026)	(0.069)	(0.099)	(0.090)	(0.095)	(0.124)	(0.127)	(0.132)	(0.119)	(0.106)	(0.098)	(0.107)	(0.094)	(0.096)	(0.087)	(0.086)	(0.087)	(0.079)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0448***	0.0309***	0.0303***	0.0117	0.0033	-0.0584***	-0.0489***	-0.0569***	-0.0496***	-0.0386***	-0.0301***	-0.0162*	-0.0147	-0.0059	0.0045	0.0110	0.0191*	0.0222*	0.0441***
	(0.004)	(0.006)	(0.008)	(0.011)	(0.011)	(0.009)	(0.010)	(0.009)	(0.009)	(0.010)	(0.010)	(0.010)	(0.009)	(0.010)	(0.010)	(0.010)	(0.011)	(0.012)	(0.014)
state9	0.0180***	0.0254***	-0.0113***	-0.0502***	-0.0411***	-0.1095***	-0.1343***	-0.1392***	-0.1501***	-0.1675***	-0.1802***	-0.1834***	-0.1923***	-0.1690***	-0.1549***	-0.1437***	-0.1297***	-0.1139***	-0.0962***
	(0.002)	(0.003)	(0.004)	(0.007)	(0.006)	(0.008)	(0.008)	(0.008)	(0.008)	(0.009)	(0.008)	(0.009)	(0.009)	(0.009)	(0.009)	(0.009)	(0.009)	(0.009)	(0.009)
state10	0.0260***	0.0186**	-0.0004	0.0030	0.0067	-0.0524***	-0.0625***	-0.0590**	-0.0632***	-0.0632**	-0.0286	-0.0276	-0.0296	-0.0331	-0.0298	-0.0274	-0.0293	-0.0254	-0.0137
	(0.006)	(0.008)	(0.012)	(0.019)	(0.019)	(0.019)	(0.021)	(0.023)	(0.023)	(0.025)	(0.024)	(0.025)	(0.026)	(0.026)	(0.027)	(0.027)	(0.029)	(0.031)	(0.030)
state11	0.0251***	0.0170***	0.0036	0.0271	0.0376	-0.0230	-0.0258	-0.0200	-0.0270	-0.0145	0.0004	0.0151	0.0172	0.0198	0.0233	0.0267	0.0330	0.0362	0.0486
	(0.003)	(0.004)	(0.006)	(0.019)	(0.031)	(0.025)	(0.030)	(0.032)	(0.032)	(0.031)	(0.030)	(0.037)	(0.036)	(0.038)	(0.037)	(0.039)	(0.039)	(0.037)	(0.037)
state12	0.0358***	0.0130***	-0.0031	0.0444***	0.0378***	0.0049	0.0043	0.0004	-0.0202	-0.0327	-0.0397**	-0.0442**	-0.0531***	-0.0600***	-0.0569***	-0.0560***	-0.0555***	-0.0505***	-0.0390***
	(0.002)	(0.004)	(0.005)	(0.009)	(0.010)	(0.016)	(0.015)	(0.018)	(0.019)	(0.020)	(0.019)	(0.021)	(0.019)	(0.020)	(0.020)	(0.019)	(0.016)	(0.014)	(0.015)
