	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LHS	LHS	LHS	LHS	LHS	LHS
						
rtr_kume_main	-7.7513***	-6.0838***	-6.1830***	-6.3326***	-6.7075***	-6.7038***
	(0.625)	(0.623)	(0.631)	(0.646)	(0.675)	(0.694)
indFE1				0.7836***		1.8451***
				(0.155)		(0.172)
indFE2				-0.3822**		0.6772***
				(0.163)		(0.186)
indFE3				-0.0193		1.0430***
				(0.155)		(0.184)
indFE4				-0.4723***		0.5899***
				(0.162)		(0.190)
o.indFE5				-		
						
indFE6				-1.0604***		
				(0.221)		
indFE7				0.2152		1.2806***
				(0.159)		(0.186)
indFE8				0.2637		1.3240***
				(0.169)		(0.178)
indFE9				0.7753***		1.8377***
				(0.168)		(0.198)
indFE10				-0.0099		1.0545***
				(0.167)		(0.183)
indFE11				-0.5292***		0.5322***
				(0.158)		(0.190)
indFE12				0.3032**		1.3703***
				(0.149)		(0.206)
indFE13				-0.0862		0.9759***
				(0.158)		(0.165)
indFE14				-0.1927		0.8683***
				(0.156)		(0.166)
indFE15				0.0849		
				(0.153)		
pre_trend			-0.1060***	-0.1465***	-0.1101***	-0.1489***
			(0.036)	(0.032)	(0.037)	(0.032)
state2		-0.2397**	-0.2496**	-0.2321**	-0.2686*	-0.2536**
		(0.120)	(0.118)	(0.096)	(0.151)	(0.126)
state3		-1.1512***	-1.2322***	-1.1883***	-1.4295***	-1.4255***
		(0.035)	(0.044)	(0.086)	(0.127)	(0.229)
state4		0.4407***	0.3830***	0.4272***	0.2096***	0.2552***
		(0.015)	(0.025)	(0.027)	(0.027)	(0.030)
state5		-0.4660**	-0.5149***	-0.5070**	-0.5500***	-0.5434**
		(0.180)	(0.177)	(0.196)	(0.208)	(0.232)
state6		0.0402	-0.0590	-0.0269	-0.4616***	-0.4352***
		(0.305)	(0.311)	(0.323)	(0.053)	(0.054)
state7		-0.5385***	-0.5955***	-0.6318***	-0.6531***	-0.7015***
		(0.101)	(0.107)	(0.118)	(0.132)	(0.149)
state8		-0.7285***	-0.7772***	-0.7396***	-0.7938***	-0.7566***
		(0.007)	(0.019)	(0.018)	(0.019)	(0.019)
state9		-0.8276***	-0.8770***	-0.8918***	-0.9712***	-0.9981***
		(0.075)	(0.081)	(0.077)	(0.099)	(0.099)
state10		-0.3778**	-0.4096**	-0.4013**	-0.4410**	-0.4412**
		(0.158)	(0.157)	(0.164)	(0.192)	(0.196)
state11		-0.6882***	-0.7325***	-0.7191***	-0.7238***	-0.7172***
		(0.107)	(0.107)	(0.119)	(0.120)	(0.136)
state12		-0.8636***	-0.9019***	-0.9116***	-0.9697***	-0.9826***
		(0.036)	(0.036)	(0.034)	(0.052)	(0.052)
state13		-1.1948***	-1.2260***	-1.1992***	-1.3318***	-1.3081***
		(0.087)	(0.091)	(0.109)	(0.123)	(0.145)
state14		-0.4480***	-0.4943***	-0.5141***	-0.4326***	-0.4605***
		(0.084)	(0.088)	(0.073)	(0.129)	(0.107)
state15		-0.4722***	-0.5102***	-0.4936***	-0.5116***	-0.4933***
		(0.067)	(0.071)	(0.083)	(0.074)	(0.087)
state16		-0.8423***	-0.8757***	-0.8490***	-0.8973***	-0.8664***
		(0.063)	(0.066)	(0.068)	(0.071)	(0.073)
state17		-0.4821**	-0.5222**	-0.5118**	-0.5270**	-0.5147**
		(0.231)	(0.223)	(0.228)	(0.228)	(0.234)
state18		-0.9861***	-1.0233***	-1.0265***	-1.0689***	-1.0722***
		(0.071)	(0.075)	(0.079)	(0.076)	(0.080)
state19		-0.9553***	-0.9912***	-0.9725***	-1.0137***	-0.9940***
		(0.082)	(0.082)	(0.083)	(0.088)	(0.089)
state20		-0.7494***	-0.7851***	-0.7691***	-0.7849***	-0.7656***
		(0.080)	(0.078)	(0.075)	(0.085)	(0.082)
state21		-0.6119***	-0.6397***	-0.6181***	-0.6475***	-0.6240***
		(0.083)	(0.085)	(0.086)	(0.089)	(0.091)
state22		-1.1706***	-1.2199***	-1.1974***	-1.2431***	-1.2171***
		(0.015)	(0.022)	(0.025)	(0.023)	(0.026)
state23		-0.4896**	-0.5172**	-0.4917**	-0.5064**	-0.4765*
		(0.231)	(0.242)	(0.236)	(0.253)	(0.245)
state24		0.1376***	0.1189***	0.1491***	0.1416***	0.1784***
		(0.035)	(0.038)	(0.042)	(0.039)	(0.042)
state25		-0.1745**	-0.2136**	-0.1361*	-0.1845**	-0.0945
		(0.084)	(0.084)	(0.073)	(0.093)	(0.076)
state26		-0.6278***	-0.6718***	-0.6481***	-0.6793***	-0.6555***
		(0.059)	(0.060)	(0.063)	(0.065)	(0.067)
dln_price	1.7899***	1.6662***	1.6691***		2.0174***	
	(0.294)	(0.290)	(0.291)		(0.332)	
indFE5						1.0689***
						(0.221)
o.indFE6						-
						
o.indFE15						-
						
Constant	1.6900***	2.3204***	2.3727***	2.1617***	2.4710***	1.1371***
	(0.050)	(0.037)	(0.044)	(0.139)	(0.054)	(0.171)
						
Observations	4,648	4,648	4,648	4,648	4,174	4,174
R-squared	0.072	0.115	0.119	0.220	0.120	0.222
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
