desc_stats1,desc_stats2,desc_stats3,desc_stats4,desc_stats5
.2580263,.1611465,.1897621,.2572336,.3311872
.3047369,.1744336,.2254957,.3096373,.3955554
.4010202,.1897105,.3053917,.3931217,.5096041
.7117491,.2013633,.5967814,.7007974,.8326135
.2676275,.3771282,.0958029,.2227345,.3939814
.5992101,.5485858,.2998475,.5219908,.7949299
.9764602,.5760367,.6091191,.8779283,1.213394
1.30834,.6142911,.8757223,1.198601,1.623231
.3575757,.2303228,.2231435,.3195484,.456975
.7278108,.3178463,.5352182,.6512876,.8556661
1.054613,.3893936,.7986178,.9772877,1.25329
1.270889,.4435414,.9484271,1.203203,1.520332
-.1796775,.2790878,-.3082938,-.193402,-.0751571
-.2596406,.3867772,-.4322554,-.2836268,-.1203571
-.2196137,.3745858,-.3679857,-.20675,-.0697261
-.1283852,.3840684,-.2694885,-.1095035,.0487669
-1.014427,.3981044,-1.168184,-1.004312,-.8230332
-.8237132,.4205088,-.9738002,-.7781983,-.5852149
-.9660725,.4661421,-1.180548,-.8833117,-.6826747
-1.134513,.5160809,-1.386003,-1.052698,-.7973275
-.6083379,.3874156,-.8068342,-.6173214,-.3904418
-.0986112,.2696746,-.2605034,-.1157389,.0661198
.1430293,.2205202,.0022283,.1479838,.276033
.2988031,.1763735,.169681,.3128848,.425276
-1.205886,.2261194,-1.30021,-1.18317,-1.080554
-1.092486,.2851307,-1.219477,-1.025185,-.926044
-1.183051,.3425037,-1.341843,-1.098998,-.9593676
-1.305371,.4053394,-1.518968,-1.223775,-1.024355
-.3967267,.2871011,-.5436155,-.3997681,-.2206373
.0515312,.1752517,-.0451204,.0316406,.1560427
.2511932,.1394517,.1594616,.2390666,.3459028
.3656671,.1144546,.2860084,.3670363,.449027
.043511,.0391575,.0121939,.0312533,.0658161
30466.25,152267.4,1099,5234,15258
34928.8,161656.6,1623,6617,19507
40099.57,163916.9,2398,8649,25962
51631.42,197205.9,3722,12342,36360
70169.52,269601.5,5294,17198,48836
.3971692,.1942902,.2541891,.4143949,.5390282
.1133426,.0769429,.0564576,.0918205,.1477747
755.9111,272.9986,565.0887,692.0569,878.4006
1105.773,394.6013,828.7399,1008.669,1283.682
944.1751,323.9533,728.2261,862.3305,1081.285
939.9507,480.0132,720.1082,857.9668,1028.112
1152.404,469.9544,888.575,1059.525,1295.011
