	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.2330**	-0.3181***	-0.0833	-0.1926*	-0.2294*	-0.2146	-0.4473***	-0.4665***	-0.5142***	-0.7895***	-0.8150***	-1.0030***	-1.0239***	-1.1191***	-1.2931***	-1.3199***	-1.3338***	-1.3510***	-1.2708***
	(0.097)	(0.097)	(0.117)	(0.115)	(0.121)	(0.137)	(0.136)	(0.139)	(0.144)	(0.140)	(0.135)	(0.148)	(0.142)	(0.147)	(0.153)	(0.163)	(0.168)	(0.163)	(0.172)
delta_86_90	-0.0252	-0.1649***	-0.2405***	-0.2824***	-0.3055***	-0.3012***	-0.3399***	-0.3197***	-0.3430***	-0.3485***	-0.3375***	-0.3452***	-0.3492***	-0.3366***	-0.3575***	-0.3437***	-0.3613***	-0.3589***	-0.3546***
	(0.056)	(0.052)	(0.049)	(0.051)	(0.050)	(0.053)	(0.052)	(0.055)	(0.055)	(0.056)	(0.058)	(0.057)	(0.056)	(0.056)	(0.058)	(0.059)	(0.063)	(0.064)	(0.064)
state2	0.0325***	0.1568***	0.2117***	0.0947***	0.0210	0.0220	0.1152***	0.0641***	0.1002***	0.1694***	0.1806***	0.1362***	0.1356***	0.1426***	0.1426***	0.1507***	0.1561***	0.1475***	0.1131***
	(0.008)	(0.029)	(0.004)	(0.013)	(0.026)	(0.014)	(0.020)	(0.015)	(0.009)	(0.016)	(0.030)	(0.019)	(0.036)	(0.036)	(0.044)	(0.044)	(0.031)	(0.036)	(0.029)
state3	0.0403***	0.1120***	-0.1191**	-0.1144***	-0.2386***	-0.1376***	-0.0594***	-0.1601***	-0.1913***	-0.1310***	-0.1107***	-0.1603***	-0.1195***	-0.1298***	-0.1280***	-0.1074***	-0.1282***	-0.1528***	-0.1275
	(0.014)	(0.021)	(0.053)	(0.042)	(0.025)	(0.016)	(0.020)	(0.036)	(0.032)	(0.040)	(0.009)	(0.019)	(0.020)	(0.042)	(0.043)	(0.022)	(0.032)	(0.052)	(0.078)
state4	-0.1074***	0.0505***	0.0549***	0.0676***	0.0949***	0.0998***	0.1255***	0.0974***	0.0918***	0.0837***	0.0533***	0.0053	0.0139	-0.0382**	-0.0071	-0.0075	-0.0045	0.0103	-0.0319*
	(0.016)	(0.015)	(0.014)	(0.015)	(0.015)	(0.016)	(0.015)	(0.016)	(0.016)	(0.016)	(0.016)	(0.016)	(0.016)	(0.016)	(0.016)	(0.017)	(0.018)	(0.018)	(0.018)
state5	0.1063***	0.1576***	-0.0311*	-0.0450**	-0.0709***	-0.0807***	-0.0721***	-0.0880***	-0.0867***	-0.0644***	-0.0489***	-0.0351***	-0.0195**	-0.0420***	-0.0513***	-0.0536***	-0.0461***	-0.0733***	-0.1147***
	(0.005)	(0.011)	(0.016)	(0.021)	(0.014)	(0.019)	(0.007)	(0.009)	(0.005)	(0.004)	(0.003)	(0.007)	(0.007)	(0.009)	(0.008)	(0.007)	(0.006)	(0.011)	(0.009)
state6	0.0403**	0.2639***	0.1048***	0.3465***	0.0517***	0.0711***	0.0756***	0.0048	-0.0176	0.0417**	0.0186	0.0461**	0.0201	0.0314*	0.0472**	0.0484**	0.0545***	0.0336	0.0124
	(0.019)	(0.017)	(0.016)	(0.017)	(0.017)	(0.019)	(0.018)	(0.018)	(0.019)	(0.018)	(0.019)	(0.018)	(0.018)	(0.018)	(0.019)	(0.019)	(0.021)	(0.020)	(0.021)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0600**	0.1861***	-0.0010	0.0305	0.0173	-0.0186	-0.0113	-0.0291	-0.0469***	-0.0154***	0.0013	0.0179	-0.0019	0.0139**	0.0087	0.0128*	0.0345***	-0.0062	-0.0496***
	(0.023)	(0.038)	(0.039)	(0.023)	(0.025)	(0.028)	(0.033)	(0.025)	(0.011)	(0.005)	(0.008)	(0.015)	(0.010)	(0.005)	(0.010)	(0.007)	(0.009)	(0.010)	(0.008)
state9	0.1200***	0.2820***	0.1819***	0.1895***	0.1776***	0.1588***	0.1489***	0.1302***	0.1207***	0.1440***	0.1739***	0.1715***	0.1706***	0.1902***	0.1876***	0.1879***	0.2099***	0.1918***	0.1478***
	(0.004)	(0.003)	(0.003)	(0.003)	(0.003)	(0.004)	(0.004)	(0.004)	(0.004)	(0.004)	(0.004)	(0.005)	(0.004)	(0.004)	(0.005)	(0.005)	(0.005)	(0.005)	(0.005)
state10	0.1083***	0.2363***	0.0384	0.0916***	0.0877***	0.0808***	0.0850***	0.0479***	0.0332***	0.0879***	0.0914***	0.1006***	0.0774***	0.0852***	0.0847***	0.0818***	0.0652***	0.0690***	0.0034
	(0.016)	(0.010)	(0.027)	(0.011)	(0.013)	(0.016)	(0.018)	(0.013)	(0.010)	(0.012)	(0.010)	(0.010)	(0.012)	(0.011)	(0.009)	(0.009)	(0.012)	(0.017)	(0.010)
state11	0.0778***	0.2095***	0.0437*	0.0495***	0.0598**	0.0495**	0.0595***	0.0224	0.0237	0.0832***	0.0721***	0.0907***	0.0829***	0.0726***	0.0800***	0.0674***	0.0656***	0.0380*	0.0017
	(0.015)	(0.018)	(0.023)	(0.016)	(0.024)	(0.021)	(0.019)	(0.022)	(0.015)	(0.024)	(0.022)	(0.015)	(0.015)	(0.013)	(0.015)	(0.022)	(0.020)	(0.020)	(0.018)
