	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.1898**	-0.2968***	-0.1702*	-0.2299**	-0.1950**	-0.2216**	-0.4378***	-0.4443***	-0.5507***	-0.8611***	-0.9284***	-1.1433***	-1.1895***	-1.3216***	-1.4965***	-1.5324***	-1.5307***	-1.5130***	-1.4537***
	(0.089)	(0.068)	(0.099)	(0.093)	(0.093)	(0.109)	(0.104)	(0.104)	(0.098)	(0.092)	(0.091)	(0.094)	(0.098)	(0.094)	(0.096)	(0.109)	(0.116)	(0.107)	(0.119)
delta_86_90	-0.0388	-0.1654***	-0.2870***	-0.3081***	-0.3493***	-0.3687***	-0.4026***	-0.3765***	-0.3965***	-0.3928***	-0.3934***	-0.4292***	-0.4251***	-0.4112***	-0.4279***	-0.4327***	-0.4585***	-0.4556***	-0.4679***
	(0.048)	(0.052)	(0.059)	(0.056)	(0.063)	(0.067)	(0.074)	(0.070)	(0.076)	(0.074)	(0.076)	(0.079)	(0.073)	(0.077)	(0.077)	(0.076)	(0.079)	(0.079)	(0.077)
state2	0.0337***	0.1443***	0.2011***	0.0794***	0.0040	0.0184	0.1009***	0.0532***	0.0905***	0.1582***	0.1641***	0.1258***	0.1208***	0.1333***	0.1318***	0.1386***	0.1485***	0.1339***	0.0917***
	(0.004)	(0.020)	(0.003)	(0.010)	(0.018)	(0.012)	(0.016)	(0.012)	(0.009)	(0.015)	(0.023)	(0.015)	(0.026)	(0.027)	(0.032)	(0.031)	(0.023)	(0.025)	(0.022)
state3	0.0666*	0.1156***	-0.0960	-0.0836	-0.2238***	-0.1373***	-0.0481*	-0.1532***	-0.1642***	-0.0685	-0.0620**	-0.1069*	-0.0667	-0.0681	-0.0771	-0.0614	-0.0770	-0.1038	-0.0991
	(0.035)	(0.026)	(0.072)	(0.063)	(0.021)	(0.026)	(0.027)	(0.045)	(0.038)	(0.067)	(0.031)	(0.054)	(0.052)	(0.074)	(0.077)	(0.046)	(0.062)	(0.081)	(0.108)
state4	-0.1180***	0.0232*	0.0210	0.0320**	0.0685***	0.0850***	0.1085***	0.0786***	0.0737***	0.0667***	0.0381*	0.0003	0.0090	-0.0371*	-0.0062	-0.0021	-0.0002	0.0082	-0.0384*
	(0.012)	(0.013)	(0.015)	(0.015)	(0.017)	(0.018)	(0.019)	(0.018)	(0.020)	(0.020)	(0.020)	(0.021)	(0.019)	(0.020)	(0.020)	(0.020)	(0.021)	(0.021)	(0.020)
state5	0.1077***	0.1563***	-0.0217	-0.0193	-0.0664***	-0.0644***	-0.0649***	-0.0664***	-0.0676***	-0.0523***	-0.0350***	-0.0096	0.0006	-0.0109	-0.0214**	-0.0176	-0.0079	-0.0417***	-0.0908***
	(0.005)	(0.010)	(0.016)	(0.017)	(0.015)	(0.022)	(0.010)	(0.013)	(0.008)	(0.007)	(0.008)	(0.016)	(0.012)	(0.013)	(0.010)	(0.011)	(0.012)	(0.013)	(0.015)
state6	0.0370**	0.2485***	0.0972***	0.3317***	0.0432*	0.0807***	0.0807***	0.0088	-0.0116	0.0496**	0.0317	0.0717***	0.0453*	0.0617**	0.0785***	0.0837***	0.0916***	0.0642**	0.0403
	(0.016)	(0.017)	(0.020)	(0.020)	(0.022)	(0.023)	(0.025)	(0.023)	(0.026)	(0.025)	(0.026)	(0.026)	(0.025)	(0.026)	(0.026)	(0.026)	(0.027)	(0.027)	(0.026)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0678***	0.1871***	-0.0112	0.0156	-0.0053	-0.0299**	-0.0341**	-0.0499***	-0.0608***	-0.0262**	-0.0130	0.0111	-0.0093	0.0075	0.0061	0.0198**	0.0366***	-0.0066	-0.0492***
	(0.017)	(0.026)	(0.024)	(0.012)	(0.010)	(0.013)	(0.014)	(0.009)	(0.008)	(0.012)	(0.009)	(0.007)	(0.009)	(0.012)	(0.009)	(0.009)	(0.009)	(0.008)	(0.008)
state9	0.0994***	0.2512***	0.1160***	0.1465***	0.1198***	0.1155***	0.0874***	0.0779***	0.0716***	0.0933***	0.1218***	0.1210***	0.1142***	0.1341***	0.1329***	0.1306***	0.1444***	0.1161***	0.0662***
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
state10	0.1028***	0.2284***	0.0518***	0.1033***	0.1001***	0.1005***	0.1120***	0.0771***	0.0641***	0.1086***	0.1177***	0.1288***	0.1156***	0.1274***	0.1291***	0.1212***	0.1036***	0.0862***	0.0333**
	(0.009)	(0.007)	(0.014)	(0.011)	(0.013)	(0.014)	(0.015)	(0.013)	(0.012)	(0.010)	(0.010)	(0.011)	(0.011)	(0.011)	(0.011)	(0.011)	(0.012)	(0.011)	(0.013)
state11	0.0877***	0.1908***	0.0319**	0.0242**	0.0508***	0.0592***	0.0558***	0.0339**	0.0457***	0.1002***	0.1127***	0.1302***	0.1362***	0.1311***	0.1481***	0.1456***	0.1402***	0.1043***	0.0712***
	(0.012)	(0.013)	(0.015)	(0.012)	(0.018)	(0.017)	(0.015)	(0.016)	(0.015)	(0.020)	(0.020)	(0.015)	(0.015)	(0.014)	(0.015)	(0.024)	(0.020)	(0.018)	(0.020)
