	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	-1.70401***	-1.64025***	-1.90133***	-2.81930***	-2.89004***	-2.88453***	-2.79434***	-2.41208***	-2.07875***	-2.12993***	-2.14736***	-1.98148***	-1.87920***	-1.70098***	-1.65784***	-1.54760***	-1.48793***	-1.49223***	-1.31071***
	(0.527)	(0.437)	(0.435)	(0.384)	(0.356)	(0.337)	(0.300)	(0.304)	(0.277)	(0.272)	(0.246)	(0.249)	(0.232)	(0.228)	(0.215)	(0.208)	(0.195)	(0.191)	(0.183)
creat_86_90	0.21660***	0.19881***	0.07224	0.05829	0.01691	-0.01616	0.03257	0.02154	0.01652	-0.01593	-0.00668	0.01166	-0.02048	-0.00921	-0.01004	-0.00967	0.00248	-0.00091	0.00386
	(0.082)	(0.067)	(0.070)	(0.070)	(0.063)	(0.060)	(0.056)	(0.049)	(0.046)	(0.040)	(0.040)	(0.037)	(0.041)	(0.040)	(0.035)	(0.033)	(0.029)	(0.028)	(0.025)
_Istate_2	-0.35643***	-0.61214***	-0.38858***	-0.32972	-0.02484	-0.06477	0.02087	-0.10771**	-0.07980**	-0.05647*	-0.07551***	-0.04662**	-0.05080**	-0.01765	0.00490	0.00627	0.02683*	0.01297	0.01183
	(0.093)	(0.179)	(0.045)	(0.208)	(0.037)	(0.113)	(0.084)	(0.047)	(0.034)	(0.029)	(0.024)	(0.023)	(0.025)	(0.023)	(0.024)	(0.018)	(0.016)	(0.015)	(0.014)
_Istate_3	-0.76142***	-0.47512**	-0.64026**	-0.73239***	-0.74471***	-0.61278***	-0.20179**	-0.16253	-0.25765***	-0.21195***	-0.24002***	-0.29251***	-0.26509***	-0.24988***	-0.30930***	-0.27550***	-0.20949***	-0.17146***	-0.14308***
	(0.179)	(0.214)	(0.261)	(0.233)	(0.171)	(0.200)	(0.089)	(0.137)	(0.081)	(0.052)	(0.047)	(0.055)	(0.045)	(0.042)	(0.073)	(0.068)	(0.042)	(0.038)	(0.032)
_Istate_4	1.04934***	0.87314***	0.51501***	0.25798***	0.53942***	0.25002***	0.30828***	0.21280***	0.18464***	0.21417***	0.21022***	0.20952***	0.19402***	0.19223***	0.19654***	0.18843***	0.17610***	0.14961***	0.14342***
	(0.008)	(0.007)	(0.007)	(0.006)	(0.005)	(0.005)	(0.004)	(0.004)	(0.004)	(0.004)	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)	(0.002)	(0.002)	(0.002)
_Istate_5	-0.31791***	-0.17560***	-0.24131***	-0.31695***	-0.32698***	-0.44227***	-0.30849***	-0.23969***	-0.21622***	-0.21338***	-0.15536***	-0.12786***	-0.12345***	-0.11661***	-0.08599***	-0.08071**	-0.08691*	-0.11388**	-0.09488**
	(0.054)	(0.024)	(0.041)	(0.044)	(0.068)	(0.086)	(0.038)	(0.039)	(0.018)	(0.031)	(0.026)	(0.025)	(0.032)	(0.032)	(0.033)	(0.033)	(0.052)	(0.050)	(0.040)
_Istate_6	0.85650***	0.53906***	0.59819***	0.62785***	0.61070***	0.42905***	0.53387***	0.47394***	0.40716***	0.35596***	0.33650***	0.33636***	0.31417***	0.29806***	0.27470***	0.25091***	0.23443***	0.19944***	0.17623***
	(0.161)	(0.143)	(0.045)	(0.052)	(0.131)	(0.124)	(0.088)	(0.084)	(0.081)	(0.095)	(0.074)	(0.056)	(0.051)	(0.043)	(0.033)	(0.027)	(0.026)	(0.022)	(0.020)
_Istate_7	-0.18212***	-0.30309***	-0.21273***	-0.15780***	-0.14095***	-0.33278***	-0.26471***	-0.25085***	-0.27576***	-0.22636***	-0.22433***	-0.22411***	-0.19232***	-0.14507***	-0.12206***	-0.10928***	-0.10871***	-0.10411***	-0.10093***
	(0.060)	(0.062)	(0.048)	(0.039)	(0.034)	(0.042)	(0.037)	(0.033)	(0.032)	(0.036)	(0.043)	(0.041)	(0.045)	(0.036)	(0.028)	(0.027)	(0.022)	(0.017)	(0.017)
_Istate_8	-0.33707***	-0.46839***	-0.48170***	-0.43243***	-0.22301***	-0.11603***	-0.19993***	-0.19569***	-0.21236***	-0.22628***	-0.18519***	-0.14873***	-0.14237***	-0.11631***	-0.08930***	-0.11299***	-0.07034***	-0.07725***	-0.06756***
	(0.044)	(0.036)	(0.038)	(0.036)	(0.031)	(0.029)	(0.028)	(0.024)	(0.022)	(0.020)	(0.019)	(0.017)	(0.019)	(0.019)	(0.016)	(0.016)	(0.014)	(0.013)	(0.012)
_Istate_9	-0.15994	-0.14961*	-0.26782***	-0.03536	0.08551	-0.09498	0.01054	-0.01528	-0.03554	-0.03438	0.00951	-0.00040	-0.02722	-0.03744	-0.01872	-0.02887	-0.03437	-0.04802	-0.03848
	(0.110)	(0.083)	(0.079)	(0.071)	(0.065)	(0.059)	(0.058)	(0.053)	(0.059)	(0.058)	(0.056)	(0.052)	(0.053)	(0.060)	(0.057)	(0.051)	(0.052)	(0.051)	(0.049)
_Istate_10	-0.24335***	-0.28800**	-0.38995***	-0.04342	-0.05444	-0.11784	0.00317	-0.08353	-0.07261	-0.04340	-0.00469	0.00573	-0.00070	-0.02831	-0.00992	-0.02931	-0.02392	-0.04426	-0.04035
	(0.058)	(0.129)	(0.103)	(0.108)	(0.162)	(0.101)	(0.071)	(0.099)	(0.093)	(0.058)	(0.043)	(0.053)	(0.052)	(0.063)	(0.044)	(0.046)	(0.043)	(0.039)	(0.039)
