	(1)	(2)	(3)	(4)	(5)
VARIABLES	1992	1988	1989	1990	1991
					
rtr_kume_main	-1.64788***	-0.52451	-0.48148	-0.81217*	-0.44496
	(0.485)	(0.510)	(0.481)	(0.417)	(0.432)
_Istate_2	-1.48427**	-1.26084***	-1.04152***	-0.57314***	-0.36328***
	(0.596)	(0.306)	(0.030)	(0.069)	(0.012)
_Istate_3	-0.41155**	-0.44762	-0.68886**	-0.68190	-0.49403
	(0.160)	(0.284)	(0.270)	(0.433)	(0.332)
_Istate_4	0.24130***	-0.07679***	-0.18185***	0.05261***	0.04811***
	(0.006)	(0.006)	(0.006)	(0.005)	(0.005)
_Istate_5	-0.50718***	-0.44983***	-0.54168***	-0.29943***	-0.20620***
	(0.004)	(0.050)	(0.019)	(0.005)	(0.071)
_Istate_6	0.40202***	-0.32190***	-0.66932***	-0.29760***	-0.11188
	(0.144)	(0.052)	(0.059)	(0.048)	(0.249)
_Istate_7	-0.76242***	-0.81938***	-0.73724***	-0.56627***	-0.36073***
	(0.046)	(0.057)	(0.034)	(0.045)	(0.022)
_Istate_8	-0.92500***	-0.91193***	-0.61697***	-0.49925***	-0.32078***
	(0.010)	(0.011)	(0.010)	(0.009)	(0.009)
_Istate_9	-0.95348***	-0.89456***	-0.93417***	-0.61264***	-0.46039***
	(0.094)	(0.080)	(0.107)	(0.057)	(0.055)
_Istate_10	-0.76444***	-0.77630***	-0.84209***	-0.46090***	-0.34206***
	(0.095)	(0.101)	(0.113)	(0.033)	(0.098)
_Istate_11	-0.93512***	-0.90044***	-1.00005***	-0.52154***	-0.40507***
	(0.094)	(0.025)	(0.102)	(0.079)	(0.063)
_Istate_12	-0.88980***	-0.81417***	-0.91388***	-0.58355***	-0.49721***
	(0.110)	(0.069)	(0.049)	(0.042)	(0.069)
_Istate_13	-1.06741***	-1.12035***	-1.17876***	-0.77799***	-0.81544***
	(0.120)	(0.163)	(0.054)	(0.049)	(0.129)
_Istate_14	-0.78731***	-0.59800***	-0.90706***	-0.40501***	-0.39334***
	(0.111)	(0.099)	(0.027)	(0.116)	(0.148)
_Istate_15	-0.74424***	-0.54622***	-0.69237***	-0.32994***	-0.35237***
	(0.067)	(0.053)	(0.051)	(0.046)	(0.023)
_Istate_16	-0.81011***	-0.69735***	-0.75535***	-0.46375***	-0.46611***
	(0.034)	(0.051)	(0.044)	(0.038)	(0.052)
_Istate_17	-0.90998***	-0.74786***	-0.78654***	-0.43805***	-0.39755***
	(0.087)	(0.012)	(0.010)	(0.028)	(0.015)
_Istate_18	-0.79629***	-0.73261***	-0.83352***	-0.51692***	-0.50217***
	(0.067)	(0.085)	(0.100)	(0.081)	(0.072)
_Istate_19	-0.85182***	-0.74110***	-0.81034***	-0.48450***	-0.44568***
	(0.039)	(0.035)	(0.034)	(0.030)	(0.033)
_Istate_20	-0.83704***	-0.69188***	-0.74615***	-0.47811***	-0.45110***
	(0.025)	(0.034)	(0.035)	(0.027)	(0.032)
_Istate_21	-0.83087***	-0.73707***	-0.79641***	-0.54966***	-0.46441***
	(0.048)	(0.043)	(0.050)	(0.055)	(0.059)
_Istate_22	-0.99981***	-0.83548***	-0.91757***	-0.62223***	-0.58976***
	(0.014)	(0.014)	(0.013)	(0.012)	(0.012)
_Istate_23	-0.67064***	-0.46634***	-0.62166***	-0.28365***	-0.18682***
	(0.005)	(0.043)	(0.056)	(0.042)	(0.067)
_Istate_24	-0.27442**	-0.18425**	-0.39701***	-0.07175	-0.08890**
	(0.110)	(0.087)	(0.048)	(0.046)	(0.041)
_Istate_25	-0.70523***	-0.45063***	-0.59538***	-0.27414***	-0.22874***
	(0.088)	(0.062)	(0.082)	(0.062)	(0.064)
_Istate_26	-0.73216***	-0.67577***	-0.73930***	-0.41862***	-0.33406***
	(0.046)	(0.049)	(0.046)	(0.040)	(0.041)
Constant	-0.63840***	-0.47547***	-0.13241***	-0.33149***	-0.32490***
	(0.014)	(0.015)	(0.014)	(0.012)	(0.012)
					
Observations	473	474	474	475	475
R-squared	0.253	0.201	0.153	0.127	0.125
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
