	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.27188	0.37216	-0.21512	1.21679***	2.11669***	2.40980***	2.38955***	2.49475***	2.66454***	2.76006***	3.13995***	3.45899***	3.70449***	3.82851***	3.78897***	3.93814***	3.76708***	3.93035***	3.91342***
	(0.419)	(0.410)	(0.384)	(0.427)	(0.499)	(0.496)	(0.534)	(0.527)	(0.539)	(0.564)	(0.600)	(0.648)	(0.667)	(0.659)	(0.647)	(0.674)	(0.688)	(0.696)	(0.706)
dest_86_90	0.13423***	0.13578**	0.09680*	0.10276	0.03741	0.03574	0.00717	0.01302	-0.03413	0.01308	-0.02259	-0.04031	-0.04502	-0.05237	-0.05415	-0.08038	-0.11572	-0.10212	-0.10923
	(0.049)	(0.066)	(0.055)	(0.063)	(0.076)	(0.085)	(0.102)	(0.105)	(0.098)	(0.109)	(0.120)	(0.127)	(0.126)	(0.127)	(0.127)	(0.131)	(0.143)	(0.143)	(0.144)
_Istate_2	0.25469***	-0.11125	-0.10465	0.04828	-0.14884	-0.20326***	-0.12982***	0.04062	-0.07234	-0.06007	-0.06916	-0.16113	-0.14110	-0.24561*	-0.28600***	-0.31141**	-0.33592***	-0.33097***	-0.33641***
	(0.012)	(0.130)	(0.101)	(0.169)	(0.112)	(0.021)	(0.036)	(0.090)	(0.117)	(0.085)	(0.118)	(0.120)	(0.113)	(0.148)	(0.098)	(0.135)	(0.105)	(0.105)	(0.096)
_Istate_3	-0.46783***	-0.45014***	-0.40505***	-0.17689	-0.09126	-0.11821	0.42040**	0.37945**	0.50573***	0.50526***	0.07487	0.13079***	0.06806	0.15421***	0.13989**	0.02999	0.47663***	0.49468***	0.47230***
	(0.152)	(0.142)	(0.132)	(0.216)	(0.078)	(0.151)	(0.203)	(0.155)	(0.097)	(0.111)	(0.077)	(0.036)	(0.078)	(0.052)	(0.065)	(0.142)	(0.087)	(0.053)	(0.064)
_Istate_4	-1.68645***	-2.62975***	0.00995	-1.08347***	-1.59216***	-1.31335***	-1.45532***	-0.55366***	-0.72558***	-0.48800***	-1.02975***	-1.05673***	-1.27595***	-1.27806***	-1.28101***	-1.44984***	-1.59760***	-1.66036***	-1.74493***
	(0.025)	(0.033)	(0.014)	(0.032)	(0.039)	(0.044)	(0.053)	(0.055)	(0.051)	(0.057)	(0.063)	(0.067)	(0.066)	(0.067)	(0.067)	(0.069)	(0.075)	(0.075)	(0.076)
_Istate_5	-0.41527***	-0.12223	-0.21706	0.07528	-0.02214	0.33294**	0.31807***	0.32290***	0.26844***	0.22949***	0.15299*	0.11007	0.03000	0.08146*	0.08871***	0.10022***	0.18878*	0.27975**	0.28016***
	(0.134)	(0.133)	(0.250)	(0.299)	(0.243)	(0.136)	(0.047)	(0.056)	(0.043)	(0.035)	(0.088)	(0.090)	(0.109)	(0.046)	(0.032)	(0.031)	(0.107)	(0.110)	(0.107)
_Istate_6	-0.01517	0.07797	0.02650	-0.26941	-0.60934	-0.27981	-0.56072	-0.80660	-0.93142	-1.07541	-0.88063	-0.98341*	-1.26711*	-1.34887**	-1.14445**	-1.31868**	-1.25291**	-1.09920**	-0.98336**
	(0.273)	(0.197)	(0.198)	(0.357)	(0.624)	(0.511)	(0.458)	(0.575)	(0.624)	(0.805)	(0.589)	(0.556)	(0.699)	(0.674)	(0.475)	(0.549)	(0.561)	(0.524)	(0.467)
_Istate_7	-0.42906***	-0.04296**	0.04106***	0.08842***	0.01404	0.25470***	0.17146***	0.13633***	0.11940***	0.04105	0.07301***	0.05168*	-0.04371	-0.03193	-0.07328**	-0.07940**	-0.02629	-0.01182	-0.02396
	(0.036)	(0.019)	(0.012)	(0.017)	(0.020)	(0.025)	(0.024)	(0.023)	(0.024)	(0.026)	(0.026)	(0.028)	(0.031)	(0.032)	(0.036)	(0.039)	(0.040)	(0.049)	(0.048)
_Istate_8	-0.42235***	-0.18092***	-0.13517***	0.31594***	-0.05306***	-0.37460***	-0.12429***	-0.16002***	-0.09073***	0.07772***	0.05417***	-0.04999**	-0.09567***	-0.13188***	-0.21677***	-0.10650***	-0.14263***	-0.08258***	-0.17111***
	(0.010)	(0.010)	(0.011)	(0.011)	(0.013)	(0.014)	(0.016)	(0.016)	(0.016)	(0.017)	(0.019)	(0.020)	(0.020)	(0.020)	(0.020)	(0.021)	(0.023)	(0.023)	(0.023)
_Istate_9	-0.61028***	-0.29987***	-0.13702**	-0.11665***	-0.33533***	-0.12182**	-0.10689*	-0.09678	-0.23214***	-0.17862**	-0.23676***	-0.23890***	-0.19360***	-0.16774**	-0.18951**	-0.15784**	-0.10187	-0.08327	-0.11157
	(0.053)	(0.054)	(0.065)	(0.044)	(0.053)	(0.047)	(0.054)	(0.059)	(0.081)	(0.070)	(0.086)	(0.068)	(0.071)	(0.067)	(0.075)	(0.068)	(0.079)	(0.074)	(0.075)
_Istate_10	-0.35620***	-0.15010	-0.11843	-0.04513	-0.29105	-0.02948	-0.11105	-0.06645	-0.09394	-0.05331	-0.12882	-0.19433	-0.25185	-0.22725	-0.23296	-0.17503	-0.12309	-0.05963	-0.02719
	(0.051)	(0.195)	(0.184)	(0.189)	(0.244)	(0.148)	(0.167)	(0.185)	(0.178)	(0.151)	(0.152)	(0.154)	(0.178)	(0.202)	(0.179)	(0.180)	(0.176)	(0.171)	(0.172)
