	(1)	(2)	(3)	(4)	(5)
VARIABLES	1992	1988	1989	1990	1991
					
rtr_kume_main	-1.88682***	-1.97280***	-2.18766***	-1.86751***	-1.69676***
	(0.635)	(0.611)	(0.538)	(0.524)	(0.503)
_Istate_2	0.65585***	-0.32819***	-0.38785*	-0.19428***	-0.11909***
	(0.102)	(0.074)	(0.210)	(0.067)	(0.023)
_Istate_3	0.31983**	0.25855*	0.07483	0.10996	0.03108
	(0.153)	(0.152)	(0.165)	(0.157)	(0.137)
_Istate_4	0.47496***	0.50433***	0.74269***	0.51200***	0.36006***
	(0.008)	(0.008)	(0.007)	(0.007)	(0.006)
_Istate_5	-0.06406	0.14883	0.38176***	0.17784***	0.16285**
	(0.066)	(0.153)	(0.099)	(0.056)	(0.073)
_Istate_6	-0.76429	-0.35584	-0.40935	0.42340***	0.04914
	(0.710)	(0.554)	(0.516)	(0.113)	(0.315)
_Istate_7	-0.07448	-0.11790	0.20080***	0.22193***	-0.07815
	(0.074)	(0.081)	(0.042)	(0.031)	(0.062)
_Istate_8	-0.25691***	-0.04467***	-0.36544***	-0.11319***	-0.35210***
	(0.013)	(0.013)	(0.011)	(0.011)	(0.011)
_Istate_9	-0.10583	-0.00660	0.21952***	0.05141	0.01399
	(0.091)	(0.067)	(0.043)	(0.049)	(0.045)
_Istate_10	0.05999	-0.08757	0.24695***	0.21751*	0.01178
	(0.153)	(0.137)	(0.060)	(0.125)	(0.190)
_Istate_11	-0.06258	0.00088	0.13656	0.05972	-0.03701
	(0.200)	(0.134)	(0.234)	(0.180)	(0.129)
_Istate_12	-0.26616*	-0.18552*	0.05730	-0.25552	0.00709
	(0.154)	(0.107)	(0.123)	(0.198)	(0.106)
_Istate_13	-0.42036**	-0.49582***	-0.19543	-0.37349	-0.39127
	(0.197)	(0.130)	(0.118)	(0.339)	(0.345)
_Istate_14	-0.17618**	-0.18258***	0.06106*	-0.10841*	-0.06827
	(0.071)	(0.051)	(0.037)	(0.061)	(0.119)
_Istate_15	-0.24670***	-0.24875***	0.21003***	-0.10913	0.02158
	(0.067)	(0.094)	(0.073)	(0.072)	(0.051)
_Istate_16	-0.11012***	-0.14135***	-0.00736	-0.07257	-0.09714**
	(0.036)	(0.049)	(0.050)	(0.047)	(0.045)
_Istate_17	-0.01652	-0.03470	0.19672**	-0.04480	-0.13520
	(0.109)	(0.140)	(0.084)	(0.098)	(0.136)
_Istate_18	-0.09652	-0.20125***	0.06535	-0.05432	-0.09574
	(0.076)	(0.072)	(0.080)	(0.061)	(0.064)
_Istate_19	-0.09686**	-0.10134**	0.05768	-0.08908**	-0.08803**
	(0.047)	(0.050)	(0.043)	(0.042)	(0.039)
_Istate_20	-0.17386***	-0.13576***	0.09229***	-0.02884	-0.01741
	(0.041)	(0.041)	(0.033)	(0.037)	(0.034)
_Istate_21	-0.13319	-0.10471	0.05335	-0.02861	0.01530
	(0.098)	(0.098)	(0.065)	(0.074)	(0.065)
_Istate_22	-0.10878***	-0.21718***	0.07060***	-0.02906**	-0.00562
	(0.018)	(0.017)	(0.015)	(0.015)	(0.014)
_Istate_23	0.09283***	0.00899	0.25011***	-0.02273***	0.00639
	(0.012)	(0.016)	(0.007)	(0.006)	(0.014)
_Istate_24	0.00770	-0.04756	0.11695	-0.06630	-0.07906
	(0.126)	(0.298)	(0.355)	(0.368)	(0.388)
_Istate_25	0.20570***	0.21285***	0.36150***	0.11937***	0.11226***
	(0.026)	(0.073)	(0.039)	(0.023)	(0.028)
_Istate_26	-0.24150***	-0.25160***	0.12947**	0.00992	-0.10879**
	(0.060)	(0.058)	(0.051)	(0.050)	(0.048)
Constant	-1.53947***	-1.19033***	-1.19980***	-0.85805***	-0.71754***
	(0.018)	(0.018)	(0.016)	(0.015)	(0.015)
					
Observations	473	473	473	475	474
R-squared	0.142	0.122	0.148	0.133	0.081
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
