	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	-1.76587***	-0.59991	-0.78254*	-1.53262***	-1.56289***	-1.38475***	-1.23376***	-1.14540***	-1.11380***	-1.18760***	-1.22493***	-1.23898***	-1.27483***	-1.27916***	-1.26299***	-1.23086***	-1.19557***	-1.16198***	-1.11623***
	(0.554)	(0.460)	(0.451)	(0.394)	(0.356)	(0.301)	(0.299)	(0.276)	(0.252)	(0.225)	(0.194)	(0.190)	(0.181)	(0.174)	(0.164)	(0.159)	(0.149)	(0.142)	(0.137)
entry_86_90	0.34491***	0.26856***	0.27497***	0.20271**	0.18682***	0.17343***	0.15060**	0.15098***	0.16771***	0.14864***	0.13575***	0.13893***	0.12522***	0.11803***	0.11141***	0.10086***	0.09550***	0.09301***	0.08072***
	(0.089)	(0.079)	(0.085)	(0.086)	(0.063)	(0.056)	(0.057)	(0.048)	(0.050)	(0.038)	(0.039)	(0.037)	(0.036)	(0.033)	(0.032)	(0.030)	(0.027)	(0.025)	(0.023)
_Istate_2	0.05594	-0.08240	0.05474	-0.12932	0.27180***	0.13964***	0.14179***	0.08111**	0.09065*	0.07203	0.05267	0.05194	0.04535	0.04669	0.04234	0.04793	0.04625*	0.04197	0.04015
	(0.043)	(0.147)	(0.084)	(0.086)	(0.042)	(0.027)	(0.029)	(0.034)	(0.047)	(0.049)	(0.055)	(0.052)	(0.043)	(0.041)	(0.033)	(0.036)	(0.027)	(0.030)	(0.028)
_Istate_3	-0.18573	-0.17952	-0.23409	-0.43795*	-0.30984**	-0.37075***	-0.32301***	-0.24314***	-0.29315***	-0.21295***	-0.20717***	-0.18181***	-0.16224***	-0.09534***	-0.08759***	-0.09477***	-0.05586**	-0.03832*	-0.03584*
	(0.161)	(0.132)	(0.155)	(0.221)	(0.120)	(0.071)	(0.065)	(0.044)	(0.098)	(0.036)	(0.033)	(0.033)	(0.033)	(0.033)	(0.033)	(0.031)	(0.024)	(0.023)	(0.021)
_Istate_4	0.63061***	0.24658***	0.11365***	0.08609***	0.12637***	-0.04063***	0.00306	-0.02201***	0.04429***	0.03194***	0.09883***	0.08451***	0.08612***	0.09054***	0.08886***	0.09867***	0.09278***	0.08438***	0.08331***
	(0.011)	(0.009)	(0.010)	(0.009)	(0.007)	(0.006)	(0.006)	(0.005)	(0.005)	(0.004)	(0.004)	(0.004)	(0.004)	(0.004)	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)
_Istate_5	0.05895	-0.00213	-0.04154	-0.12979***	-0.11360***	-0.23493***	-0.20707***	-0.16548***	-0.13490***	-0.10217***	-0.08349***	-0.05249*	-0.03701	-0.03002	-0.03009	-0.02433	-0.02337	-0.02147	-0.01963
	(0.038)	(0.046)	(0.034)	(0.033)	(0.031)	(0.026)	(0.024)	(0.021)	(0.025)	(0.024)	(0.026)	(0.029)	(0.027)	(0.026)	(0.030)	(0.024)	(0.027)	(0.026)	(0.025)
_Istate_6	0.82491***	0.22772***	0.21158**	0.39713**	0.46696***	0.37938***	0.43915***	0.40992***	0.37589***	0.33983***	0.30743***	0.29542***	0.27602***	0.25772***	0.24839***	0.23488***	0.21941***	0.20535***	0.18699***
	(0.164)	(0.054)	(0.091)	(0.157)	(0.120)	(0.066)	(0.076)	(0.071)	(0.057)	(0.042)	(0.037)	(0.030)	(0.029)	(0.023)	(0.022)	(0.019)	(0.018)	(0.016)	(0.014)
_Istate_7	0.19180***	-0.01639	-0.01854	-0.07884**	-0.06379**	-0.20783***	-0.15167***	-0.16282***	-0.11522***	-0.09259***	-0.07672***	-0.05816***	-0.04852***	-0.03439**	-0.01947	-0.02287*	-0.01366	-0.00867	0.00180
	(0.042)	(0.034)	(0.038)	(0.039)	(0.030)	(0.024)	(0.025)	(0.021)	(0.021)	(0.016)	(0.017)	(0.016)	(0.016)	(0.014)	(0.014)	(0.013)	(0.011)	(0.011)	(0.010)
_Istate_8	-0.38245***	-0.28729***	-0.51505***	-0.41474***	-0.26052***	-0.45048***	-0.45389***	-0.39607***	-0.34664***	-0.35669***	-0.36394***	-0.33125***	-0.32010***	-0.26398***	-0.22225***	-0.18509***	-0.15622***	-0.12645***	-0.10159***
	(0.052)	(0.044)	(0.047)	(0.048)	(0.035)	(0.032)	(0.032)	(0.027)	(0.027)	(0.021)	(0.021)	(0.021)	(0.020)	(0.018)	(0.018)	(0.017)	(0.015)	(0.014)	(0.013)
_Istate_9	-0.22995**	-0.32634***	-0.36890***	-0.21000**	-0.12220**	-0.24345***	-0.22654***	-0.19034***	-0.16467***	-0.14416***	-0.07101*	-0.06086	-0.05538	-0.05465*	-0.03792	-0.04173	-0.04227	-0.03291	-0.02676
	(0.112)	(0.082)	(0.098)	(0.083)	(0.060)	(0.053)	(0.055)	(0.051)	(0.053)	(0.045)	(0.037)	(0.037)	(0.035)	(0.033)	(0.032)	(0.031)	(0.031)	(0.030)	(0.027)
_Istate_10	-0.08971	-0.22424***	-0.32627***	-0.08586	-0.06281	-0.17760*	-0.20263*	-0.15340	-0.12831	-0.08676	-0.05867	-0.02951	-0.02574	-0.02446	-0.01283	-0.01437	-0.00726	-0.00128	0.00339
	(0.068)	(0.072)	(0.107)	(0.095)	(0.117)	(0.092)	(0.104)	(0.096)	(0.081)	(0.066)	(0.054)	(0.056)	(0.049)	(0.050)	(0.043)	(0.044)	(0.041)	(0.036)	(0.034)
