	(1)	(2)	(3)	(4)	(5)
VARIABLES	1992	1988	1989	1990	1991
					
rtr_kume_main	0.99592**	1.58627***	1.83111***	1.20914***	1.56918***
	(0.416)	(0.391)	(0.399)	(0.305)	(0.279)
_Istate_2	-1.01930***	-1.32232***	-0.74139***	-0.44116***	-0.17638***
	(0.080)	(0.030)	(0.271)	(0.158)	(0.025)
_Istate_3	-0.31650***	-0.46828***	-0.56402***	-0.71119***	-0.42430*
	(0.098)	(0.159)	(0.179)	(0.196)	(0.231)
_Istate_4	0.50821***	0.31418***	0.28892***	0.08224***	0.18817***
	(0.005)	(0.005)	(0.005)	(0.004)	(0.003)
_Istate_5	-0.37845***	-0.34902***	-0.32115***	-0.27629***	-0.28233***
	(0.056)	(0.031)	(0.057)	(0.024)	(0.024)
_Istate_6	0.37278***	-0.34372***	-0.48406***	-0.61219***	-0.31239
	(0.126)	(0.089)	(0.125)	(0.026)	(0.298)
_Istate_7	-0.70411***	-0.62157***	-0.49744***	-0.41329***	-0.33183***
	(0.037)	(0.040)	(0.049)	(0.028)	(0.014)
_Istate_8	-0.72717***	-0.98346***	-0.52365***	-0.53269***	-0.35600***
	(0.009)	(0.008)	(0.008)	(0.006)	(0.006)
_Istate_9	-0.95619***	-0.82042***	-0.72744***	-0.61056***	-0.52467***
	(0.062)	(0.058)	(0.050)	(0.037)	(0.034)
_Istate_10	-0.60819***	-0.67602***	-0.68455***	-0.48942***	-0.39127***
	(0.051)	(0.070)	(0.096)	(0.077)	(0.072)
_Istate_11	-0.81709***	-0.76083***	-0.79033***	-0.56148***	-0.54391***
	(0.079)	(0.074)	(0.070)	(0.038)	(0.052)
_Istate_12	-0.66920***	-0.61606***	-0.52699***	-0.42517***	-0.35903***
	(0.067)	(0.072)	(0.093)	(0.075)	(0.060)
_Istate_13	-0.81466***	-0.67484***	-0.75304***	-0.62623***	-0.54956***
	(0.154)	(0.011)	(0.094)	(0.032)	(0.033)
_Istate_14	-0.64736***	-0.63834***	-0.68719***	-0.45241***	-0.40708***
	(0.031)	(0.034)	(0.049)	(0.025)	(0.026)
_Istate_15	-0.47605***	-0.44346***	-0.33115***	-0.26661***	-0.22924***
	(0.036)	(0.028)	(0.028)	(0.033)	(0.026)
_Istate_16	-0.54752***	-0.42300***	-0.28105***	-0.27159***	-0.26078***
	(0.024)	(0.034)	(0.037)	(0.026)	(0.023)
_Istate_17	-0.61753***	-0.53825***	-0.40599***	-0.37674***	-0.34589***
	(0.030)	(0.025)	(0.031)	(0.038)	(0.031)
_Istate_18	-0.58975***	-0.56270***	-0.45771***	-0.40697***	-0.38624***
	(0.051)	(0.045)	(0.050)	(0.047)	(0.050)
_Istate_19	-0.59596***	-0.49972***	-0.42447***	-0.38135***	-0.37004***
	(0.030)	(0.026)	(0.030)	(0.024)	(0.024)
_Istate_20	-0.50578***	-0.43985***	-0.33477***	-0.36391***	-0.34613***
	(0.019)	(0.022)	(0.022)	(0.023)	(0.022)
_Istate_21	-0.53591***	-0.49437***	-0.43717***	-0.41871***	-0.37601***
	(0.028)	(0.030)	(0.032)	(0.022)	(0.020)
_Istate_22	-0.59366***	-0.47786***	-0.41097***	-0.41264***	-0.38834***
	(0.012)	(0.011)	(0.011)	(0.008)	(0.008)
_Istate_23	-0.37544***	-0.26497***	-0.24297***	-0.19460***	-0.18018***
	(0.045)	(0.050)	(0.041)	(0.049)	(0.047)
_Istate_24	-0.00136	0.01026	0.07070	0.06720	0.05156
	(0.095)	(0.118)	(0.065)	(0.049)	(0.046)
_Istate_25	-0.61587***	-0.44113***	-0.33697***	-0.28959***	-0.28167***
	(0.044)	(0.035)	(0.054)	(0.045)	(0.043)
_Istate_26	-0.55863***	-0.48539***	-0.46640***	-0.38639***	-0.30280***
	(0.040)	(0.037)	(0.038)	(0.029)	(0.027)
Constant	-0.93214***	-0.70479***	-0.53613***	-0.36410***	-0.32809***
	(0.012)	(0.011)	(0.012)	(0.009)	(0.008)
					
Observations	471	471	472	474	475
R-squared	0.384	0.409	0.441	0.369	0.326
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
