	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.89838***	1.16948***	0.93846***	1.65917***	2.03144***	2.28398***	2.65387***	2.69916***	2.80681***	2.85485***	3.30138***	3.47608***	3.54239***	3.69256***	3.66889***	3.82076***	3.87277***	3.92844***	4.02395***
	(0.302)	(0.318)	(0.346)	(0.356)	(0.385)	(0.438)	(0.425)	(0.445)	(0.409)	(0.487)	(0.504)	(0.545)	(0.543)	(0.552)	(0.565)	(0.576)	(0.579)	(0.595)	(0.611)
exit_86_90	-0.01556	-0.02837	-0.03055	0.09605	0.09485	0.05358	0.11422	0.08912	0.03673	0.09748	0.09750	0.05640	0.05538	0.03092	0.00080	-0.01322	-0.00236	-0.00440	-0.00759
	(0.068)	(0.089)	(0.098)	(0.085)	(0.094)	(0.125)	(0.113)	(0.122)	(0.103)	(0.137)	(0.144)	(0.160)	(0.156)	(0.157)	(0.163)	(0.163)	(0.164)	(0.170)	(0.171)
_Istate_2	0.09084	-0.09062	-0.31445*	-0.24422	-0.72195***	-0.60944***	-0.54842***	-0.47333***	-0.52001***	-0.36816***	-0.40240**	-0.40127**	-0.34068*	-0.35815*	-0.33343*	-0.39771*	-0.39890**	-0.38463*	-0.38860*
	(0.216)	(0.061)	(0.177)	(0.180)	(0.114)	(0.127)	(0.136)	(0.147)	(0.182)	(0.106)	(0.192)	(0.190)	(0.189)	(0.211)	(0.183)	(0.208)	(0.201)	(0.214)	(0.213)
_Istate_3	-0.54192***	-0.87282***	-0.93680***	-0.29121***	-0.29809***	0.07997	0.42345***	0.37908**	0.47987***	0.43283***	0.06083	0.09149*	0.06749	0.09660	0.03594	-0.01968	0.29570***	0.24389**	0.23899**
	(0.092)	(0.215)	(0.136)	(0.051)	(0.064)	(0.079)	(0.159)	(0.146)	(0.137)	(0.118)	(0.049)	(0.054)	(0.045)	(0.066)	(0.049)	(0.077)	(0.107)	(0.108)	(0.096)
_Istate_4	0.16591***	-0.52030***	-0.29730***	-0.72910***	-0.91889***	-0.65134***	-0.73738***	-0.04135***	-0.23800***	0.02719***	-0.52539***	-0.55085***	-0.61972***	-0.69489***	-0.70499***	-0.86377***	-0.86774***	-0.87508***	-0.92650***
	(0.006)	(0.008)	(0.010)	(0.007)	(0.008)	(0.010)	(0.009)	(0.010)	(0.009)	(0.010)	(0.011)	(0.012)	(0.012)	(0.012)	(0.012)	(0.012)	(0.012)	(0.013)	(0.013)
_Istate_5	-0.34053***	-0.26357***	-0.14211***	-0.08382	-0.20475***	0.10997	0.08680*	0.10434***	0.07941***	0.08431***	0.03220	-0.00573	-0.05036*	-0.05008	-0.03418	-0.03139	-0.03853	-0.01603	-0.00486
	(0.067)	(0.057)	(0.022)	(0.057)	(0.057)	(0.069)	(0.044)	(0.036)	(0.028)	(0.020)	(0.020)	(0.023)	(0.028)	(0.030)	(0.029)	(0.036)	(0.055)	(0.060)	(0.069)
_Istate_6	0.21341***	-0.19944*	-0.15935	-0.44648*	-0.57694***	-0.43952*	-0.73265**	-0.78045**	-0.80453**	-0.76241**	-0.77752**	-0.75740**	-0.84222**	-0.82476***	-0.84635***	-0.89131***	-0.92238***	-0.90450***	-0.88891***
	(0.061)	(0.105)	(0.248)	(0.237)	(0.139)	(0.258)	(0.303)	(0.329)	(0.337)	(0.333)	(0.313)	(0.295)	(0.339)	(0.294)	(0.306)	(0.294)	(0.315)	(0.319)	(0.295)
_Istate_7	-0.42893***	-0.30151***	-0.21570***	-0.21654***	-0.39953***	-0.06878	0.02130	-0.06738*	-0.08027**	-0.08109*	-0.11210**	-0.13256***	-0.08003*	-0.08230*	-0.12048**	-0.14621***	-0.15016***	-0.14662***	-0.20172***
	(0.035)	(0.047)	(0.042)	(0.041)	(0.043)	(0.043)	(0.031)	(0.039)	(0.038)	(0.041)	(0.046)	(0.046)	(0.041)	(0.042)	(0.046)	(0.050)	(0.050)	(0.054)	(0.059)
_Istate_8	-0.69761***	-0.65666***	-0.34727***	-0.00638	-0.50141***	-0.18225***	0.03120**	0.03217**	0.02950**	0.15654***	0.14014***	0.13118***	0.20702***	0.15118***	0.11776***	0.11291***	0.09914***	0.05050***	0.06460***
	(0.010)	(0.012)	(0.013)	(0.011)	(0.011)	(0.014)	(0.013)	(0.014)	(0.013)	(0.015)	(0.015)	(0.017)	(0.017)	(0.017)	(0.018)	(0.018)	(0.018)	(0.018)	(0.019)
_Istate_9	-0.61501***	-0.49848***	-0.18330***	-0.33492***	-0.47846***	-0.17286***	-0.06505	-0.05944	-0.06637	-0.03794	-0.11049*	-0.10210*	-0.06583	-0.03306	-0.02123	-0.01848	-0.00472	-0.00246	-0.02126
	(0.078)	(0.058)	(0.042)	(0.043)	(0.044)	(0.035)	(0.051)	(0.051)	(0.050)	(0.059)	(0.063)	(0.058)	(0.057)	(0.057)	(0.061)	(0.057)	(0.065)	(0.070)	(0.067)
_Istate_10	-0.60595***	-0.41973***	-0.36600***	-0.33812***	-0.51891***	-0.18254***	-0.26280***	-0.25560***	-0.26073***	-0.23158***	-0.27270***	-0.30264***	-0.27700***	-0.28131***	-0.28761***	-0.30264***	-0.31197***	-0.29590***	-0.30756***
	(0.102)	(0.087)	(0.057)	(0.050)	(0.074)	(0.044)	(0.039)	(0.038)	(0.050)	(0.063)	(0.063)	(0.080)	(0.087)	(0.089)	(0.089)	(0.090)	(0.083)	(0.077)	(0.074)
