	(1)	(2)	(3)	(4)	(5)
VARIABLES	1992	1988	1989	1990	1991
					
rtr_kume_main	-0.59091**	-0.55218**	-0.57070*	-2.03547***	-0.87904***
	(0.279)	(0.270)	(0.298)	(0.366)	(0.323)
_Istate_2	0.40642*	0.39285***	0.22907***	0.17152**	-0.11328*
	(0.220)	(0.006)	(0.029)	(0.084)	(0.059)
_Istate_3	0.33647**	0.32175***	-0.31635	0.27172***	-0.18635
	(0.158)	(0.062)	(0.191)	(0.075)	(0.143)
_Istate_4	0.04273***	-0.17160***	-0.27707***	-0.07306***	-0.28471***
	(0.003)	(0.003)	(0.004)	(0.005)	(0.004)
_Istate_5	-0.21953***	-0.17206***	-0.07134	0.13529***	0.02887
	(0.058)	(0.065)	(0.085)	(0.013)	(0.056)
_Istate_6	-0.24933**	0.08509	-0.06146	0.67713***	0.11660
	(0.103)	(0.154)	(0.289)	(0.046)	(0.304)
_Istate_7	-0.24835***	-0.26197***	-0.10028***	0.17266***	-0.08958**
	(0.010)	(0.028)	(0.010)	(0.010)	(0.034)
_Istate_8	-0.35520***	-0.15911***	-0.24076***	0.10377***	-0.31627***
	(0.006)	(0.006)	(0.006)	(0.008)	(0.007)
_Istate_9	-0.47844***	-0.44187***	-0.26734***	0.01684	-0.27746***
	(0.063)	(0.067)	(0.069)	(0.052)	(0.061)
_Istate_10	-0.25872***	-0.29096***	-0.25155***	0.22298***	-0.19452***
	(0.089)	(0.054)	(0.043)	(0.060)	(0.046)
_Istate_11	-0.27410***	-0.31521***	-0.09829***	0.16478***	-0.11252***
	(0.055)	(0.028)	(0.016)	(0.050)	(0.020)
_Istate_12	-0.47340***	-0.38798***	-0.31629***	-0.18575***	-0.21043***
	(0.044)	(0.046)	(0.047)	(0.035)	(0.025)
_Istate_13	-0.17975**	-0.28827***	-0.15351*	0.10144***	-0.16236
	(0.070)	(0.068)	(0.088)	(0.029)	(0.100)
_Istate_14	-0.36202***	-0.15510***	-0.02834	0.05114	-0.06673*
	(0.076)	(0.042)	(0.071)	(0.067)	(0.038)
_Istate_15	-0.34234***	-0.36555***	-0.14441***	-0.08902***	-0.16307***
	(0.042)	(0.027)	(0.029)	(0.021)	(0.030)
_Istate_16	-0.24572***	-0.27620***	-0.26907***	-0.10140***	-0.17889***
	(0.011)	(0.021)	(0.019)	(0.024)	(0.020)
_Istate_17	-0.20371***	-0.16610*	-0.10807	-0.01806	-0.10435
	(0.035)	(0.084)	(0.066)	(0.060)	(0.065)
_Istate_18	-0.29505***	-0.30287***	-0.29295***	-0.08344**	-0.17912***
	(0.038)	(0.060)	(0.034)	(0.034)	(0.030)
_Istate_19	-0.31609***	-0.33835***	-0.26495***	-0.10757***	-0.17253***
	(0.023)	(0.019)	(0.020)	(0.027)	(0.022)
_Istate_20	-0.34342***	-0.31900***	-0.25313***	-0.10242***	-0.12784***
	(0.036)	(0.031)	(0.025)	(0.034)	(0.029)
_Istate_21	-0.38514***	-0.37454***	-0.30610***	-0.11525*	-0.19630***
	(0.036)	(0.041)	(0.037)	(0.069)	(0.047)
_Istate_22	-0.31618***	-0.33186***	-0.21235***	-0.09823***	-0.11409***
	(0.008)	(0.008)	(0.008)	(0.010)	(0.009)
_Istate_23	-0.00715	-0.07936***	-0.05704***	0.02771***	-0.00921***
	(0.013)	(0.022)	(0.005)	(0.004)	(0.001)
_Istate_24	-0.02144*	-0.08704	-0.12103	-0.06999	-0.08399
	(0.011)	(0.188)	(0.217)	(0.258)	(0.270)
_Istate_25	-0.18902***	-0.01771	0.04271	0.11162**	0.00535
	(0.053)	(0.060)	(0.050)	(0.053)	(0.033)
_Istate_26	-0.12209***	-0.12995***	-0.04573	0.17379***	0.01293
	(0.027)	(0.026)	(0.028)	(0.035)	(0.031)
Constant	-1.40847***	-1.01461***	-0.89071***	-0.82586***	-0.74858***
	(0.008)	(0.008)	(0.009)	(0.011)	(0.009)
					
Observations	473	472	472	475	474
R-squared	0.321	0.330	0.191	0.369	0.121
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
