	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.1949**	-0.2587***	-0.0694	0.0280	0.1511	0.0586	-0.1639	-0.2444*	-0.4508***	-0.7251***	-0.8154***	-1.0700***	-1.1548***	-1.3802***	-1.6489***	-1.6834***	-1.7701***	-1.8736***	-1.8850***
	(0.077)	(0.089)	(0.103)	(0.104)	(0.102)	(0.118)	(0.132)	(0.138)	(0.152)	(0.155)	(0.170)	(0.180)	(0.183)	(0.205)	(0.239)	(0.254)	(0.273)	(0.286)	(0.316)
Constant	-0.1764***	-0.3404***	-0.1814***	-0.2141***	-0.2663***	-0.2608***	-0.2607***	-0.2899***	-0.2836***	-0.3195***	-0.3238***	-0.4067***	-0.3958***	-0.4090***	-0.4117***	-0.4045***	-0.3915***	-0.3945***	-0.3747***
	(0.010)	(0.010)	(0.012)	(0.012)	(0.011)	(0.013)	(0.013)	(0.013)	(0.014)	(0.014)	(0.015)	(0.016)	(0.016)	(0.017)	(0.019)	(0.020)	(0.021)	(0.022)	(0.024)
																			
Observations	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475
R-squared	0.021	0.031	0.002	0.000	0.006	0.001	0.006	0.013	0.040	0.092	0.112	0.173	0.199	0.248	0.303	0.308	0.326	0.329	0.320
Robust standard errors in parentheses																			
*** p<0.01, ** p<0.05, * p<0.1																			
