	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.1814**	-0.1992*	-0.0775	0.0534	0.1934	0.0675	-0.1710	-0.2449	-0.4301***	-0.7005***	-0.7751***	-1.0261***	-1.0932***	-1.2992***	-1.5609***	-1.5845***	-1.6400***	-1.7423***	-1.7697***
	(0.088)	(0.102)	(0.109)	(0.107)	(0.118)	(0.124)	(0.139)	(0.151)	(0.163)	(0.174)	(0.192)	(0.208)	(0.213)	(0.240)	(0.289)	(0.306)	(0.332)	(0.352)	(0.391)
Constant	-0.1763***	-0.3504***	-0.1898***	-0.2325***	-0.2820***	-0.2726***	-0.2709***	-0.3007***	-0.2955***	-0.3283***	-0.3347***	-0.4158***	-0.4062***	-0.4218***	-0.4240***	-0.4198***	-0.4091***	-0.4102***	-0.3884***
	(0.012)	(0.012)	(0.014)	(0.012)	(0.012)	(0.013)	(0.013)	(0.014)	(0.015)	(0.015)	(0.016)	(0.018)	(0.018)	(0.019)	(0.022)	(0.023)	(0.024)	(0.026)	(0.028)
																			
Observations	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334	334
R-squared	0.019	0.019	0.002	0.001	0.012	0.001	0.007	0.013	0.038	0.086	0.102	0.161	0.181	0.228	0.279	0.281	0.291	0.297	0.289
Robust standard errors in parentheses																			
*** p<0.01, ** p<0.05, * p<0.1																			
