	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.2650**	-0.1314	0.1136	0.1421	0.2735***	0.1712	-0.0234	-0.0930	-0.2678	-0.5364***	-0.6522***	-0.9433***	-1.0277***	-1.3030***	-1.5617***	-1.6589***	-1.7604***	-1.8457***	-1.9043***
	(0.115)	(0.103)	(0.114)	(0.116)	(0.099)	(0.135)	(0.132)	(0.148)	(0.187)	(0.190)	(0.214)	(0.226)	(0.229)	(0.257)	(0.296)	(0.324)	(0.351)	(0.356)	(0.390)
Constant	-0.1781***	-0.3562***	-0.2028***	-0.2170***	-0.2684***	-0.2589***	-0.2684***	-0.2990***	-0.2951***	-0.3362***	-0.3390***	-0.4215***	-0.4102***	-0.4228***	-0.4335***	-0.4187***	-0.4042***	-0.4131***	-0.3901***
	(0.014)	(0.012)	(0.014)	(0.014)	(0.013)	(0.016)	(0.015)	(0.016)	(0.018)	(0.017)	(0.018)	(0.019)	(0.019)	(0.020)	(0.024)	(0.026)	(0.027)	(0.028)	(0.030)
																			
Observations	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224
R-squared	0.039	0.009	0.005	0.007	0.022	0.007	0.000	0.002	0.014	0.051	0.073	0.138	0.166	0.225	0.281	0.295	0.319	0.320	0.322
Robust standard errors in parentheses																			
*** p<0.01, ** p<0.05, * p<0.1																			
