	(1)	(2)	(3)	(4)	(5)
VARIABLES	1992	1988	1989	1990	1991
					
rtr_kume_main	-0.0933	-0.1510	-0.0031	0.3477***	0.5781***
	(0.072)	(0.109)	(0.103)	(0.121)	(0.141)
state2	-0.0894***	-0.0732***	-0.1460***	-0.0818***	-0.0677***
	(0.017)	(0.014)	(0.022)	(0.022)	(0.001)
state3	0.1598*	0.1793***	0.1332***	0.0521	0.1555**
	(0.084)	(0.017)	(0.020)	(0.031)	(0.065)
state4	0.0148***	0.0170***	0.1281***	0.2141***	0.0773***
	(0.001)	(0.002)	(0.002)	(0.003)	(0.003)
state5	0.0629***	0.0678***	0.1269***	0.1043***	0.2490***
	(0.006)	(0.018)	(0.023)	(0.027)	(0.046)
state6	0.1248***	0.2131***	0.2429***	0.3056***	0.2845***
	(0.004)	(0.007)	(0.006)	(0.007)	(0.008)
o.state7	-	-	-	-	-
					
state8	0.0674***	0.1131***	0.1325***	0.0882***	0.1502***
	(0.011)	(0.012)	(0.011)	(0.015)	(0.010)
state9	0.0407***	0.0657***	0.1000***	0.1172***	0.0724***
	(0.000)	(0.001)	(0.000)	(0.001)	(0.001)
state10	0.0192	0.0829***	0.1162***	0.0535***	0.0865***
	(0.016)	(0.013)	(0.012)	(0.012)	(0.015)
state11	0.0681***	0.1564***	0.1102***	0.1118***	0.1445***
	(0.010)	(0.016)	(0.012)	(0.024)	(0.012)
state12	0.0722***	0.0980***	0.0902***	0.0854***	0.1876***
	(0.004)	(0.006)	(0.006)	(0.011)	(0.019)
state13	0.0829***	0.1074***	0.0430***	0.0446***	0.1590***
	(0.013)	(0.022)	(0.010)	(0.009)	(0.023)
state14	0.0251*	-0.0014	-0.0172	0.0209*	0.0840***
	(0.015)	(0.019)	(0.019)	(0.011)	(0.006)
state15	0.0217***	0.0708***	0.0616***	0.0536***	0.0310*
	(0.004)	(0.010)	(0.010)	(0.015)	(0.016)
state16	0.0572***	0.0872***	0.0577***	0.0533***	0.0951***
	(0.004)	(0.009)	(0.009)	(0.010)	(0.016)
state17	0.0200***	0.0770***	0.1093***	0.0808***	0.1747***
	(0.007)	(0.013)	(0.009)	(0.010)	(0.014)
state18	-0.0223	0.0331***	0.0576***	0.0509**	0.1473***
	(0.031)	(0.010)	(0.007)	(0.023)	(0.027)
state19	0.0504***	0.1267***	0.1325***	0.0722***	0.1921***
	(0.017)	(0.017)	(0.028)	(0.018)	(0.017)
state20	0.0246***	0.0705***	0.0631***	0.1330***	0.1867***
	(0.008)	(0.012)	(0.011)	(0.012)	(0.013)
state21	0.0098	0.0502***	0.0825***	0.1483***	0.1791***
	(0.012)	(0.011)	(0.014)	(0.024)	(0.032)
state22	-0.0089	0.0636***	0.1096***	0.1825***	0.2270***
	(0.013)	(0.023)	(0.012)	(0.015)	(0.023)
state23	-0.0386***	-0.0073*	0.0383***	0.1168***	0.1673***
	(0.003)	(0.004)	(0.004)	(0.005)	(0.005)
state24	0.0316***	0.0414***	0.0688***	0.1214***	0.1194***
	(0.008)	(0.011)	(0.008)	(0.009)	(0.016)
state25	-0.0127***	-0.0144	-0.0109	0.1025***	0.0350
	(0.003)	(0.014)	(0.023)	(0.016)	(0.031)
state26	-0.0128	-0.0094	0.0594***	0.0960***	0.1480***
	(0.012)	(0.018)	(0.012)	(0.018)	(0.010)
state27	0.1476***	0.2209***	0.3169***	0.2477***	0.2705***
	(0.006)	(0.010)	(0.009)	(0.011)	(0.013)
Constant	-0.0697***	-0.0973***	-0.0931***	0.0088**	0.1056***
	(0.002)	(0.004)	(0.003)	(0.004)	(0.005)
					
Observations	475	475	475	475	475
R-squared	0.363	0.355	0.353	0.368	0.351
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
