	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	-0.6584***	-0.6729**	-0.5215	-1.8999***	-2.6670***	-3.2195***	-3.4845***	-3.4647***	-3.5330***	-3.7705***	-4.3017***	-4.3867***	-4.6594***	-4.5168***	-4.5253***	-4.6005***	-4.6284***	-4.8051***	-4.6634***
	(0.239)	(0.291)	(0.334)	(0.422)	(0.523)	(0.546)	(0.534)	(0.560)	(0.582)	(0.623)	(0.622)	(0.663)	(0.702)	(0.685)	(0.673)	(0.679)	(0.677)	(0.680)	(0.679)
delta_emp_86_90	0.0273	0.0320	0.0329	-0.0419	-0.0386	-0.0408	-0.0468	-0.0130	-0.0331	-0.0092	-0.0044	0.0060	-0.0169	-0.0066	-0.0068	-0.0295	-0.0362	-0.0359	-0.0319
	(0.034)	(0.042)	(0.079)	(0.132)	(0.129)	(0.147)	(0.151)	(0.144)	(0.147)	(0.147)	(0.147)	(0.148)	(0.155)	(0.151)	(0.147)	(0.152)	(0.157)	(0.159)	(0.156)
state2	-0.1986***	-0.1292***	-0.0717	-0.1284**	0.0663	0.2699	0.1068	-0.1251***	-0.0790	-0.0296	-0.0781	-0.0303	-0.0333	0.0834	0.1550***	0.1581***	0.2185***	0.1947***	0.1733***
	(0.022)	(0.046)	(0.152)	(0.050)	(0.118)	(0.286)	(0.141)	(0.038)	(0.061)	(0.040)	(0.051)	(0.058)	(0.052)	(0.069)	(0.038)	(0.059)	(0.040)	(0.042)	(0.041)
state3	-0.0311	-0.0619	-0.1006	-0.2593	-0.3104***	-0.2295	-0.5360	-0.4839*	-0.6632***	-0.6800**	-0.2719***	-0.3579***	-0.3279***	-0.3625***	-0.4334***	-0.3757***	-0.5425***	-0.5243***	-0.4898***
	(0.052)	(0.104)	(0.181)	(0.237)	(0.100)	(0.168)	(0.326)	(0.281)	(0.244)	(0.267)	(0.058)	(0.108)	(0.067)	(0.077)	(0.124)	(0.129)	(0.167)	(0.100)	(0.117)
state4	2.1193***	2.3277***	1.0635***	0.3066***	0.8728***	0.5574***	0.7458***	0.4755***	0.8075***	0.8394***	1.0053***	0.9608***	1.1563***	1.1838***	1.1731***	1.3245***	1.4656***	1.4818***	1.6483***
	(0.007)	(0.009)	(0.016)	(0.027)	(0.026)	(0.031)	(0.031)	(0.030)	(0.031)	(0.031)	(0.031)	(0.032)	(0.033)	(0.032)	(0.031)	(0.032)	(0.034)	(0.034)	(0.033)
state5	0.0350	-0.1008	-0.1372**	-0.3955**	-0.3489**	-0.5562***	-0.5014***	-0.4629***	-0.4658***	-0.4189***	-0.3322***	-0.2760***	-0.2305***	-0.2489***	-0.2246***	-0.2396***	-0.2971*	-0.4128***	-0.4085***
	(0.034)	(0.063)	(0.067)	(0.162)	(0.147)	(0.150)	(0.065)	(0.076)	(0.054)	(0.054)	(0.042)	(0.041)	(0.044)	(0.060)	(0.078)	(0.079)	(0.152)	(0.152)	(0.144)
state6	0.3011***	0.2031***	0.5961***	0.8613***	1.1345*	0.7842	1.1328**	1.5673**	1.5307**	1.5255*	1.3533**	1.4619**	1.7072**	1.7721***	1.5181***	1.6469***	1.5822***	1.3923***	1.2668***
	(0.028)	(0.033)	(0.056)	(0.198)	(0.600)	(0.596)	(0.504)	(0.608)	(0.607)	(0.833)	(0.627)	(0.578)	(0.710)	(0.664)	(0.466)	(0.523)	(0.535)	(0.489)	(0.421)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0106	-0.1950***	-0.1723***	-0.2552***	-0.1875***	-0.4258***	-0.2974***	-0.3179***	-0.3489***	-0.2260***	-0.2345***	-0.3013***	-0.1827***	-0.1459**	-0.1081*	-0.0891	-0.1379**	-0.1736**	-0.1659**
	(0.018)	(0.034)	(0.034)	(0.059)	(0.057)	(0.071)	(0.066)	(0.064)	(0.064)	(0.064)	(0.065)	(0.072)	(0.069)	(0.066)	(0.063)	(0.065)	(0.067)	(0.069)	(0.067)
state9	-0.0137	-0.1625***	-0.3298***	-0.5172***	-0.3608***	0.1263***	-0.1602***	-0.0929***	-0.2348***	-0.3153***	-0.2869***	-0.2271***	-0.1794***	-0.1550***	-0.1081***	-0.2279***	-0.1337***	-0.1711***	-0.1675***
	(0.009)	(0.011)	(0.016)	(0.027)	(0.027)	(0.029)	(0.029)	(0.028)	(0.029)	(0.030)	(0.029)	(0.029)	(0.031)	(0.030)	(0.030)	(0.031)	(0.031)	(0.031)	(0.031)
state10	0.1143**	0.0118	-0.1798**	-0.0708	0.1805**	-0.0304	0.0181	0.0339	0.0727	0.0144	0.1328	0.0776	0.0466	0.0340	0.0564	0.0123	-0.0494	-0.0859	-0.0524
	(0.046)	(0.040)	(0.072)	(0.071)	(0.078)	(0.068)	(0.085)	(0.083)	(0.105)	(0.085)	(0.091)	(0.088)	(0.097)	(0.114)	(0.119)	(0.109)	(0.126)	(0.122)	(0.117)
state11	0.0398**	-0.0879	-0.1755**	0.0223	0.0466	-0.0495	0.0633	-0.0856	-0.0921	-0.0346	0.0784	0.0998	0.1325	0.0817	0.0957	0.0033	-0.0291	-0.0902	-0.1235
	(0.017)	(0.125)	(0.077)	(0.119)	(0.253)	(0.172)	(0.166)	(0.225)	(0.222)	(0.193)	(0.189)	(0.194)	(0.219)	(0.241)	(0.203)	(0.202)	(0.211)	(0.211)	(0.215)
