	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	-0.5492	-0.5202	0.0633	-1.3759***	-2.2019***	-2.6040***	-2.8889***	-2.8368***	-2.8140***	-2.9197***	-3.4919***	-3.4038***	-3.5589***	-3.4235***	-3.4138***	-3.4169***	-3.5019***	-3.6577***	-3.5530***
	(0.331)	(0.395)	(0.439)	(0.513)	(0.641)	(0.655)	(0.625)	(0.701)	(0.764)	(0.801)	(0.791)	(0.839)	(0.858)	(0.844)	(0.828)	(0.814)	(0.813)	(0.792)	(0.800)
delta_emp_86_90	-0.0026	-0.0390	-0.1165*	-0.3143**	-0.2982**	-0.4168***	-0.4230***	-0.3577***	-0.3631**	-0.3421***	-0.3501***	-0.3491***	-0.3789***	-0.3537***	-0.3394***	-0.3791***	-0.4046***	-0.4214***	-0.4023***
	(0.040)	(0.046)	(0.059)	(0.128)	(0.140)	(0.118)	(0.138)	(0.131)	(0.141)	(0.127)	(0.100)	(0.101)	(0.114)	(0.120)	(0.113)	(0.119)	(0.123)	(0.112)	(0.122)
state2	-0.2193***	-0.1557***	-0.1412	-0.2073***	-0.0193	0.2089	0.0460	-0.1696***	-0.0964	-0.0508	-0.0963*	-0.0305	-0.0353	0.0757	0.1689***	0.1665**	0.2101***	0.1452***	0.1107**
	(0.026)	(0.049)	(0.153)	(0.060)	(0.126)	(0.288)	(0.144)	(0.049)	(0.072)	(0.050)	(0.052)	(0.061)	(0.057)	(0.077)	(0.041)	(0.067)	(0.047)	(0.045)	(0.048)
state3	-0.0554	-0.0973	-0.1877	-0.3723	-0.4288**	-0.3381	-0.6445	-0.5718	-0.7216*	-0.7421*	-0.3329**	-0.4014*	-0.3738**	-0.4121**	-0.4594**	-0.4092*	-0.5955**	-0.6206***	-0.5973**
	(0.061)	(0.125)	(0.225)	(0.342)	(0.195)	(0.293)	(0.482)	(0.403)	(0.380)	(0.386)	(0.151)	(0.229)	(0.173)	(0.182)	(0.222)	(0.229)	(0.292)	(0.204)	(0.230)
state4	2.0974***	2.3016***	0.9866***	0.2313***	0.7916***	0.5047***	0.6939***	0.4365***	0.7917***	0.8160***	0.9870***	0.9559***	1.1463***	1.1672***	1.1766***	1.3214***	1.4489***	1.4246***	1.5780***
	(0.012)	(0.014)	(0.018)	(0.037)	(0.040)	(0.036)	(0.041)	(0.039)	(0.042)	(0.038)	(0.031)	(0.032)	(0.035)	(0.036)	(0.035)	(0.036)	(0.037)	(0.034)	(0.037)
state5	0.0174	-0.1243*	-0.1991***	-0.4654***	-0.4118***	-0.5857***	-0.5408***	-0.4764***	-0.4671***	-0.4263***	-0.3394***	-0.2797***	-0.2378***	-0.2671***	-0.2200**	-0.2386***	-0.3201*	-0.4782***	-0.4745***
	(0.035)	(0.067)	(0.069)	(0.172)	(0.153)	(0.146)	(0.063)	(0.071)	(0.055)	(0.058)	(0.034)	(0.035)	(0.040)	(0.063)	(0.084)	(0.088)	(0.163)	(0.161)	(0.157)
state6	0.2696***	0.1550***	0.4708***	0.7018***	0.9733	0.6160	0.9655*	1.4220**	1.4123**	1.3975*	1.2270*	1.3449**	1.5822**	1.6450**	1.4151***	1.5318***	1.4484***	1.2128**	1.0790**
	(0.033)	(0.038)	(0.058)	(0.189)	(0.586)	(0.585)	(0.496)	(0.602)	(0.605)	(0.835)	(0.628)	(0.581)	(0.719)	(0.672)	(0.475)	(0.529)	(0.539)	(0.493)	(0.426)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	-0.5325***	-0.9071***	-1.1223***	-0.8011***	-0.8948***	-0.9935***	-0.9144***	-1.0360***	-1.1706***	-1.2172***	-1.3143***	-1.2483***	-1.2420***	-1.3040***	-1.2402***	-1.2291***	-1.1680***	-1.2353***	-1.2490***
	(0.007)	(0.008)	(0.009)	(0.012)	(0.013)	(0.015)	(0.015)	(0.016)	(0.017)	(0.017)	(0.017)	(0.018)	(0.018)	(0.018)	(0.018)	(0.018)	(0.018)	(0.017)	(0.018)
state9	0.0443***	-0.1300***	-0.3749***	-0.3921***	-0.5522***	1.7721***	0.9152***	1.2335***	0.8117***	0.7362***	0.7450***	0.7819***	0.9227***	0.7441***	0.6563***	0.4683***	0.5456***	0.6122***	0.3609***
	(0.013)	(0.015)	(0.019)	(0.026)	(0.028)	(0.031)	(0.032)	(0.033)	(0.036)	(0.035)	(0.034)	(0.036)	(0.037)	(0.036)	(0.036)	(0.035)	(0.036)	(0.035)	(0.036)
state10	0.0889*	-0.0238	-0.2735***	-0.1834**	0.0634	-0.1359**	-0.0868	-0.0526	0.0128	-0.0521	0.0690	0.0276	-0.0081	-0.0250	0.0200	-0.0326	-0.1115	-0.1910	-0.1686
	(0.048)	(0.045)	(0.070)	(0.076)	(0.085)	(0.065)	(0.088)	(0.084)	(0.119)	(0.085)	(0.084)	(0.082)	(0.092)	(0.114)	(0.119)	(0.108)	(0.125)	(0.120)	(0.120)
state11	0.0116	-0.1292	-0.2837***	-0.1113	-0.0903	-0.1830	-0.0695	-0.1985	-0.1783	-0.1288	-0.0135	0.0194	0.0459	-0.0083	0.0290	-0.0735	-0.1238	-0.2291	-0.2722
	(0.021)	(0.120)	(0.071)	(0.117)	(0.220)	(0.163)	(0.163)	(0.210)	(0.214)	(0.184)	(0.177)	(0.184)	(0.206)	(0.221)	(0.190)	(0.185)	(0.190)	(0.192)	(0.193)
