	(1)	(2)	(3)	(4)	(5)
VARIABLES	1992	1988	1989	1990	1991
					
rtr_kume_main	0.2133	0.4177	0.3884	0.3532	0.4771
	(0.312)	(0.415)	(0.429)	(0.498)	(0.526)
state2	-0.6499***	-0.3897***	-0.6270***	-0.2549***	-0.2832***
	(0.098)	(0.085)	(0.011)	(0.011)	(0.012)
state3	-0.3825*	-0.3465	-0.4645**	-0.3866	-0.3901
	(0.218)	(0.279)	(0.193)	(0.330)	(0.305)
state4	-0.0044	-0.2472***	-0.6218***	-0.1928***	-0.1662***
	(0.004)	(0.005)	(0.005)	(0.006)	(0.007)
state5	-0.2480***	-0.3433***	-0.6281***	-0.2657***	-0.2060***
	(0.019)	(0.066)	(0.044)	(0.023)	(0.072)
state6	0.4453*	-0.1158	-0.5898***	-0.4903***	-0.1469
	(0.266)	(0.126)	(0.066)	(0.056)	(0.350)
o.state7	-	-	-	-	-
					
state8	-0.2677***	-0.2956***	-0.6494***	-0.4401***	-0.2757***
	(0.022)	(0.025)	(0.009)	(0.008)	(0.018)
state9	-0.3839***	-0.3788***	-0.1913***	-0.2017***	-0.0655***
	(0.007)	(0.009)	(0.009)	(0.011)	(0.011)
state10	-0.3769***	-0.3858***	-0.6970***	-0.3484***	-0.3156***
	(0.031)	(0.022)	(0.046)	(0.036)	(0.034)
state11	-0.4765***	-0.3790***	-0.6709***	-0.4104***	-0.3351***
	(0.053)	(0.061)	(0.046)	(0.068)	(0.106)
state12	-0.4385***	-0.4463***	-0.7391***	-0.3778***	-0.2835***
	(0.082)	(0.044)	(0.106)	(0.091)	(0.073)
state13	-0.3921***	-0.3468***	-0.5870***	-0.2297*	-0.2565
	(0.020)	(0.026)	(0.119)	(0.128)	(0.159)
state14	-0.4209***	-0.2900***	-0.6679***	-0.2963**	-0.3289**
	(0.101)	(0.049)	(0.074)	(0.121)	(0.137)
state15	-0.3370***	-0.1996	-0.6370***	-0.1330	-0.1607
	(0.053)	(0.122)	(0.020)	(0.127)	(0.187)
state16	-0.2666***	-0.2210***	-0.6232***	-0.1834***	-0.2832***
	(0.027)	(0.045)	(0.049)	(0.058)	(0.041)
state17	-0.3257***	-0.3532***	-0.5787***	-0.2673***	-0.2582***
	(0.014)	(0.020)	(0.023)	(0.036)	(0.040)
state18	-0.3608***	-0.4016***	-0.6830***	-0.2744***	-0.2533***
	(0.005)	(0.031)	(0.041)	(0.051)	(0.070)
state19	-0.3471***	-0.3474***	-0.6336***	-0.3041***	-0.2989***
	(0.025)	(0.034)	(0.044)	(0.062)	(0.054)
state20	-0.3422***	-0.3671***	-0.6253***	-0.2642***	-0.2577***
	(0.020)	(0.027)	(0.027)	(0.032)	(0.034)
state21	-0.3263***	-0.3429***	-0.6188***	-0.2849***	-0.2777***
	(0.011)	(0.012)	(0.018)	(0.023)	(0.023)
state22	-0.3254***	-0.3432***	-0.6116***	-0.3030***	-0.2968***
	(0.040)	(0.045)	(0.043)	(0.066)	(0.063)
state23	-0.3597***	-0.3544***	-0.6684***	-0.3403***	-0.3519***
	(0.009)	(0.012)	(0.012)	(0.014)	(0.015)
state24	-0.3118***	-0.2820***	-0.5812***	-0.1745***	-0.1394***
	(0.006)	(0.005)	(0.021)	(0.021)	(0.039)
state25	-0.0229	0.0677	-0.2062	0.1743	0.1415
	(0.227)	(0.373)	(0.413)	(0.416)	(0.438)
state26	-0.3354***	-0.3296***	-0.6089***	-0.2265***	-0.2312***
	(0.046)	(0.037)	(0.052)	(0.037)	(0.046)
state27	-0.2809***	-0.2814***	-0.5957***	-0.2657***	-0.2383***
	(0.030)	(0.039)	(0.041)	(0.047)	(0.050)
Constant	0.3323***	0.3453***	0.6816***	0.2926***	0.2465***
	(0.009)	(0.012)	(0.012)	(0.014)	(0.015)
					
Observations	475	475	475	475	475
R-squared	0.158	0.070	0.076	0.066	0.038
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
