	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	-0.04650	-0.24228	-0.13031	-0.51742	-1.03500***	-1.28969***	-1.41396***	-1.41479***	-1.29121***	-1.35596***	-1.42315***	-1.36495***	-1.32561***	-1.05639**	-0.94032**	-0.92571**	-0.90669**	-0.98086**	-0.73892*
	(0.221)	(0.255)	(0.262)	(0.320)	(0.391)	(0.382)	(0.415)	(0.395)	(0.441)	(0.435)	(0.428)	(0.428)	(0.456)	(0.457)	(0.429)	(0.439)	(0.422)	(0.434)	(0.437)
delta2_86_90	-0.13608**	-0.12489*	-0.16423**	-0.18942**	-0.24731**	-0.28508**	-0.30272***	-0.31929***	-0.34220***	-0.31394***	-0.27179***	-0.25615***	-0.30358***	-0.24948**	-0.23453**	-0.26433***	-0.29333***	-0.29323***	-0.27652***
	(0.066)	(0.072)	(0.069)	(0.079)	(0.101)	(0.110)	(0.108)	(0.102)	(0.094)	(0.093)	(0.090)	(0.092)	(0.099)	(0.104)	(0.104)	(0.101)	(0.101)	(0.099)	(0.101)
_Istate_2	-0.04172**	-0.09392***	-0.16617***	-0.10478*	-0.33843***	-0.14645	-0.13447	-0.26278***	-0.25854***	-0.11803	-0.15121	-0.09990	-0.06353	0.00287	0.07318	0.03660	0.07474	0.07139	0.02779
	(0.017)	(0.007)	(0.051)	(0.055)	(0.014)	(0.149)	(0.146)	(0.085)	(0.074)	(0.096)	(0.115)	(0.127)	(0.124)	(0.103)	(0.117)	(0.105)	(0.108)	(0.122)	(0.126)
_Istate_3	-0.15188***	-0.15195***	-0.12294*	-0.02154	-0.02637	0.25690***	0.29282***	0.26717*	0.20071**	0.00503	0.17258*	0.08676***	0.10837*	-0.00225	-0.09022*	-0.03335	-0.13359***	-0.19773***	-0.17648***
	(0.013)	(0.026)	(0.062)	(0.051)	(0.065)	(0.092)	(0.065)	(0.137)	(0.091)	(0.106)	(0.098)	(0.026)	(0.063)	(0.066)	(0.047)	(0.061)	(0.025)	(0.072)	(0.055)
_Istate_4	1.51684***	1.77424***	0.62306***	-0.05373	0.39068***	0.24569***	0.32317***	0.25121***	0.19007***	0.30904***	0.25951***	0.28284***	0.36258***	0.34956***	0.34271***	0.33235***	0.46567***	0.45215***	0.49701***
	(0.030)	(0.033)	(0.032)	(0.037)	(0.048)	(0.053)	(0.052)	(0.049)	(0.046)	(0.045)	(0.044)	(0.046)	(0.049)	(0.051)	(0.051)	(0.049)	(0.049)	(0.048)	(0.050)
_Istate_5	-0.08469***	-0.09557*	-0.10271	-0.20081*	-0.17734	-0.19721*	-0.12445***	-0.10617	-0.11273**	-0.10573***	-0.06932	-0.07603	-0.07718	-0.10678**	-0.07745**	-0.10029***	-0.15880***	-0.26447***	-0.26579***
	(0.024)	(0.055)	(0.087)	(0.113)	(0.121)	(0.112)	(0.046)	(0.066)	(0.056)	(0.031)	(0.067)	(0.070)	(0.059)	(0.042)	(0.034)	(0.031)	(0.057)	(0.061)	(0.054)
_Istate_6	0.02673	0.02420	0.31167***	0.38409***	0.63692	0.28060	0.27773	0.45396	0.49180	0.63189	0.50208	0.57871	0.79735	0.83748*	0.58182**	0.68263*	0.65925*	0.48227	0.35468
	(0.047)	(0.032)	(0.099)	(0.115)	(0.570)	(0.370)	(0.241)	(0.342)	(0.391)	(0.588)	(0.400)	(0.397)	(0.514)	(0.485)	(0.289)	(0.364)	(0.366)	(0.327)	(0.282)
_Istate_7	-0.15343***	-0.22304***	-0.16564***	-0.11159***	-0.09666***	-0.12244***	-0.05809**	-0.07384***	-0.14160***	-0.02841	-0.06777*	-0.08691***	-0.03383	-0.01447	-0.01079	-0.02214	-0.04764***	-0.12100***	-0.17854***
	(0.022)	(0.034)	(0.025)	(0.027)	(0.027)	(0.040)	(0.027)	(0.026)	(0.024)	(0.018)	(0.035)	(0.030)	(0.027)	(0.023)	(0.016)	(0.016)	(0.014)	(0.013)	(0.017)
_Istate_8	-0.03200***	-0.12213***	-0.02503***	-0.02361**	0.02818**	0.68269***	0.47643***	0.51804***	0.42261***	0.41877***	0.44714***	0.51177***	0.59559***	0.54407***	0.54125***	0.39790***	0.45133***	0.37213***	0.33216***
	(0.006)	(0.006)	(0.007)	(0.009)	(0.011)	(0.013)	(0.013)	(0.013)	(0.013)	(0.013)	(0.013)	(0.013)	(0.014)	(0.014)	(0.014)	(0.014)	(0.014)	(0.013)	(0.014)
_Istate_9	0.01671	-0.02339	0.00919	0.10062**	0.24377***	0.23098***	0.33739***	0.31634***	0.36517***	0.33952***	0.32507***	0.29423***	0.26895***	0.25635***	0.27741***	0.23196***	0.18892***	0.13897***	0.14242***
	(0.044)	(0.041)	(0.025)	(0.048)	(0.063)	(0.047)	(0.063)	(0.050)	(0.093)	(0.060)	(0.070)	(0.043)	(0.046)	(0.062)	(0.060)	(0.051)	(0.059)	(0.046)	(0.050)
_Istate_10	-0.11181***	-0.16701**	-0.15780*	-0.07843	-0.00911	0.02741	0.15200	0.04293	0.08757	0.09119	0.15182	0.14483	0.18262*	0.11639	0.10206	0.01773	-0.01980	-0.10597	-0.16616
	(0.006)	(0.074)	(0.083)	(0.111)	(0.136)	(0.128)	(0.120)	(0.143)	(0.108)	(0.102)	(0.096)	(0.089)	(0.102)	(0.125)	(0.114)	(0.117)	(0.134)	(0.150)	(0.152)
