	(1)	(2)	(3)	(4)	(5)
VARIABLES	1992	1988	1989	1990	1991
					
rtr_kume_main	-0.67481***	-0.49144*	-0.47161*	-0.73405***	-0.73508**
	(0.243)	(0.254)	(0.259)	(0.261)	(0.332)
_Istate_2	0.02743	0.01357	-0.21190**	0.08306***	-0.14634***
	(0.112)	(0.152)	(0.094)	(0.008)	(0.014)
_Istate_3	-0.08239**	0.01175	-0.26681***	0.05941	-0.10399
	(0.038)	(0.084)	(0.049)	(0.265)	(0.234)
_Istate_4	-0.32039***	-0.59088***	-1.00278***	-0.46790***	-0.34573***
	(0.003)	(0.003)	(0.003)	(0.003)	(0.004)
_Istate_5	-0.09661***	-0.13751**	-0.38864***	-0.05981***	0.02202
	(0.011)	(0.055)	(0.049)	(0.016)	(0.056)
_Istate_6	0.24307	-0.01628	-0.29915**	-0.00476	0.08403***
	(0.414)	(0.063)	(0.142)	(0.125)	(0.012)
_Istate_7	-0.01383	-0.05044*	-0.33655***	-0.13065***	-0.02124
	(0.027)	(0.026)	(0.023)	(0.012)	(0.016)
_Istate_8	-0.12268***	-0.06025***	0.03396***	0.06954***	0.04454***
	(0.005)	(0.005)	(0.005)	(0.006)	(0.007)
_Istate_9	-0.14104***	-0.14824***	-0.39753***	-0.05677	-0.06091
	(0.028)	(0.031)	(0.054)	(0.037)	(0.039)
_Istate_10	-0.19903***	-0.14786***	-0.37839***	-0.01233	-0.03596
	(0.028)	(0.047)	(0.022)	(0.022)	(0.022)
_Istate_11	-0.15333***	-0.15705***	-0.36170***	0.01481	0.05849*
	(0.030)	(0.044)	(0.078)	(0.066)	(0.035)
_Istate_12	-0.16782***	-0.18267***	-0.41615***	-0.08634	-0.11802
	(0.018)	(0.027)	(0.074)	(0.090)	(0.111)
_Istate_13	-0.16291***	-0.08269***	-0.36809***	-0.02521	-0.07858
	(0.051)	(0.027)	(0.039)	(0.128)	(0.119)
_Istate_14	-0.15713***	0.05667	-0.29393***	0.11145	0.16903
	(0.057)	(0.124)	(0.046)	(0.131)	(0.167)
_Istate_15	-0.15299***	-0.09961***	-0.40000***	-0.06011*	-0.11780***
	(0.024)	(0.035)	(0.034)	(0.035)	(0.026)
_Istate_16	-0.20222***	-0.27860***	-0.50975***	-0.16972***	-0.15366***
	(0.012)	(0.019)	(0.020)	(0.024)	(0.031)
_Istate_17	-0.19893***	-0.18396***	-0.44095***	-0.05452***	-0.03698***
	(0.008)	(0.005)	(0.017)	(0.017)	(0.011)
_Istate_18	-0.17211***	-0.14765***	-0.42079***	-0.08066***	-0.08506**
	(0.017)	(0.024)	(0.024)	(0.027)	(0.035)
_Istate_19	-0.18669***	-0.22751***	-0.46290***	-0.10123***	-0.08077***
	(0.017)	(0.017)	(0.017)	(0.018)	(0.023)
_Istate_20	-0.19091***	-0.21929***	-0.47466***	-0.12201***	-0.09994***
	(0.016)	(0.014)	(0.011)	(0.022)	(0.023)
_Istate_21	-0.19830***	-0.20080***	-0.44898***	-0.13552***	-0.14321***
	(0.036)	(0.032)	(0.037)	(0.048)	(0.051)
_Istate_22	-0.23429***	-0.24084***	-0.48426***	-0.15171***	-0.14213***
	(0.007)	(0.007)	(0.007)	(0.007)	(0.009)
_Istate_23	-0.18027***	-0.17134***	-0.42883***	-0.07909***	-0.02407***
	(0.016)	(0.010)	(0.009)	(0.013)	(0.005)
_Istate_24	-0.02233	-0.05799	-0.38035***	-0.04807	-0.06212
	(0.165)	(0.111)	(0.130)	(0.112)	(0.125)
_Istate_25	-0.15108***	-0.08933**	-0.36877***	-0.01472	-0.01269
	(0.042)	(0.035)	(0.050)	(0.046)	(0.059)
_Istate_26	-0.11772***	-0.11661***	-0.37044***	-0.00552	0.00372
	(0.023)	(0.024)	(0.025)	(0.025)	(0.032)
Constant	0.12876***	0.09522***	0.37329***	-0.02153***	-0.06427***
	(0.007)	(0.007)	(0.007)	(0.008)	(0.010)
					
Observations	475	475	475	475	475
R-squared	0.115	0.154	0.137	0.086	0.069
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
