	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	-0.57414***	-0.53344***	-0.86033***	-1.72830***	-2.14929***	-2.24792***	-2.36933***	-2.41555***	-2.60472***	-2.76936***	-3.08392***	-3.27554***	-3.52492***	-3.70833***	-3.81146***	-3.94346***	-4.01522***	-4.06716***	-4.05251***
	(0.129)	(0.162)	(0.237)	(0.355)	(0.367)	(0.374)	(0.404)	(0.413)	(0.418)	(0.423)	(0.414)	(0.436)	(0.448)	(0.458)	(0.464)	(0.475)	(0.477)	(0.489)	(0.502)
delta_86_90	0.08596***	0.15014***	0.17698***	0.19877***	0.22517***	0.23726***	0.24893***	0.25581***	0.27443***	0.29645***	0.31592***	0.32895***	0.32161***	0.31361***	0.30041***	0.29376***	0.30672***	0.30535***	0.29795***
	(0.015)	(0.023)	(0.031)	(0.060)	(0.053)	(0.069)	(0.072)	(0.071)	(0.072)	(0.075)	(0.075)	(0.076)	(0.080)	(0.080)	(0.081)	(0.077)	(0.077)	(0.076)	(0.077)
_Istate_2	0.06775***	0.05311	0.11244*	0.06003	0.43552***	0.44868***	0.45910***	0.33423***	0.35011***	0.29186**	0.28221*	0.29249*	0.28083*	0.30357*	0.30001**	0.32230*	0.33666**	0.32827**	0.34364**
	(0.022)	(0.039)	(0.062)	(0.103)	(0.064)	(0.026)	(0.050)	(0.085)	(0.120)	(0.122)	(0.154)	(0.166)	(0.149)	(0.162)	(0.144)	(0.167)	(0.152)	(0.154)	(0.170)
_Istate_3	0.07833***	0.08349**	0.06799*	-0.14240**	-0.19624***	-0.39871***	-0.41913***	-0.40390***	-0.48211***	-0.61349***	-0.39306***	-0.40004***	-0.36885***	-0.31959***	-0.29189***	-0.27644***	-0.32339***	-0.26136***	-0.24565***
	(0.016)	(0.035)	(0.039)	(0.061)	(0.052)	(0.063)	(0.080)	(0.070)	(0.084)	(0.148)	(0.052)	(0.046)	(0.047)	(0.081)	(0.079)	(0.066)	(0.083)	(0.074)	(0.063)
_Istate_4	0.09724***	0.03267***	0.04876***	-0.01371	0.02424	-0.15031***	-0.05326*	-0.17792***	-0.03874	-0.09845***	0.22020***	0.23809***	0.28370***	0.36048***	0.36215***	0.51223***	0.51417***	0.53103***	0.55935***
	(0.006)	(0.009)	(0.012)	(0.024)	(0.022)	(0.028)	(0.029)	(0.029)	(0.029)	(0.031)	(0.030)	(0.031)	(0.032)	(0.032)	(0.033)	(0.031)	(0.031)	(0.031)	(0.031)
_Istate_5	0.09396***	0.09235***	0.05676***	-0.05855*	-0.11292**	-0.27429***	-0.27573***	-0.24692***	-0.23392***	-0.19443***	-0.15434***	-0.08736	-0.04868	-0.03127	-0.03716	-0.01875	-0.01366	-0.02497	-0.01446
	(0.006)	(0.005)	(0.013)	(0.033)	(0.046)	(0.042)	(0.031)	(0.027)	(0.027)	(0.030)	(0.043)	(0.056)	(0.061)	(0.065)	(0.077)	(0.078)	(0.091)	(0.097)	(0.099)
_Istate_6	0.18842***	0.16619**	0.32422*	0.50308*	0.60616**	0.64894**	0.97576***	1.03739***	1.06367***	0.99792***	0.97103***	0.96833***	1.03637***	1.02658***	1.03950***	1.04690***	1.03113***	1.01386***	0.99769***
	(0.058)	(0.072)	(0.195)	(0.278)	(0.255)	(0.269)	(0.350)	(0.357)	(0.371)	(0.337)	(0.300)	(0.277)	(0.301)	(0.266)	(0.272)	(0.245)	(0.243)	(0.245)	(0.222)
_Istate_7	0.12643***	0.08723***	0.08531***	0.03295	0.00920	-0.16469***	-0.13791***	-0.16038***	-0.13992***	-0.10895***	-0.08490***	-0.04562*	-0.04132	-0.01677	0.01275	0.03094	0.05374*	0.06263*	0.12427***
	(0.012)	(0.016)	(0.023)	(0.031)	(0.031)	(0.027)	(0.028)	(0.024)	(0.026)	(0.028)	(0.029)	(0.027)	(0.026)	(0.027)	(0.028)	(0.029)	(0.030)	(0.035)	(0.038)
_Istate_8	0.05077***	0.07160***	-0.03200***	-0.14141***	-0.11588***	-0.30880***	-0.37871***	-0.39249***	-0.42311***	-0.47221***	-0.50820***	-0.51715***	-0.54227***	-0.47645***	-0.43689***	-0.40530***	-0.36576***	-0.32108***	-0.27132***
	(0.005)	(0.007)	(0.010)	(0.019)	(0.018)	(0.022)	(0.023)	(0.023)	(0.024)	(0.025)	(0.024)	(0.025)	(0.026)	(0.026)	(0.026)	(0.025)	(0.025)	(0.025)	(0.026)
_Istate_9	0.07320***	0.05252**	-0.00124	0.00834	0.01895	-0.14780***	-0.17625***	-0.16636**	-0.17831***	-0.17818**	-0.08058	-0.07789	-0.08347	-0.09333	-0.08395	-0.07729	-0.08263	-0.07162	-0.03876
	(0.016)	(0.023)	(0.034)	(0.053)	(0.053)	(0.054)	(0.058)	(0.064)	(0.065)	(0.069)	(0.066)	(0.070)	(0.072)	(0.073)	(0.075)	(0.076)	(0.081)	(0.087)	(0.085)
_Istate_10	0.07089***	0.04781***	0.01018	0.07654	0.10607	-0.06492	-0.07280	-0.05629	-0.07603	-0.04090	0.00102	0.04271	0.04853	0.05589	0.06581	0.07542	0.09306	0.10218	0.13705
	(0.008)	(0.011)	(0.017)	(0.053)	(0.087)	(0.071)	(0.084)	(0.090)	(0.091)	(0.089)	(0.085)	(0.104)	(0.101)	(0.106)	(0.104)	(0.110)	(0.110)	(0.105)	(0.104)
