	(1)	(2)	(3)	(4)	(5)
VARIABLES	1992	1988	1989	1990	1991
					
rtr_kume_main	0.28177	0.39623	0.63823*	0.64467*	0.92924***
	(0.173)	(0.302)	(0.329)	(0.343)	(0.354)
_Istate_2	-0.34954***	-0.37203***	-0.35686***	-0.34062***	-0.10387***
	(0.098)	(0.103)	(0.099)	(0.014)	(0.023)
_Istate_3	-0.04455	-0.08335	-0.12202	-0.31094*	-0.15475
	(0.062)	(0.099)	(0.141)	(0.170)	(0.209)
_Istate_4	0.32972***	0.30027***	0.42495***	0.38184***	0.50222***
	(0.002)	(0.004)	(0.004)	(0.004)	(0.004)
_Istate_5	-0.08819***	-0.12091***	-0.18102***	-0.20257***	-0.19937***
	(0.012)	(0.006)	(0.015)	(0.003)	(0.002)
_Istate_6	0.23670*	0.08208***	-0.12365	-0.31866*	-0.15998
	(0.139)	(0.008)	(0.092)	(0.177)	(0.319)
_Istate_7	-0.14188***	-0.17471***	-0.23019***	-0.25576***	-0.20443***
	(0.003)	(0.006)	(0.014)	(0.011)	(0.008)
_Istate_8	-0.16765***	-0.25254***	-0.22117***	-0.27384***	-0.13073***
	(0.004)	(0.006)	(0.007)	(0.007)	(0.007)
_Istate_9	-0.16315***	-0.18794***	-0.24518***	-0.28032***	-0.23847***
	(0.016)	(0.020)	(0.020)	(0.022)	(0.013)
_Istate_10	-0.14121***	-0.19678***	-0.24034***	-0.24070***	-0.19830***
	(0.017)	(0.021)	(0.039)	(0.039)	(0.043)
_Istate_11	-0.14425***	-0.19152***	-0.31249***	-0.31333***	-0.30090***
	(0.019)	(0.016)	(0.024)	(0.021)	(0.023)
_Istate_12	-0.09085***	-0.09175**	-0.11972**	-0.13928**	-0.10474
	(0.032)	(0.038)	(0.056)	(0.056)	(0.075)
_Istate_13	-0.11881**	-0.20479***	-0.29373***	-0.29367***	-0.24907***
	(0.054)	(0.032)	(0.027)	(0.030)	(0.037)
_Istate_14	-0.10464***	-0.20770***	-0.28098***	-0.25846***	-0.23784***
	(0.013)	(0.014)	(0.023)	(0.025)	(0.023)
_Istate_15	-0.07621***	-0.09616***	-0.11828***	-0.11257***	-0.07855***
	(0.007)	(0.010)	(0.016)	(0.024)	(0.028)
_Istate_16	-0.04899***	0.05337	0.00262	-0.05074	-0.07392**
	(0.010)	(0.042)	(0.036)	(0.033)	(0.028)
_Istate_17	-0.11602***	-0.10192***	-0.16918***	-0.19788***	-0.18212***
	(0.008)	(0.012)	(0.040)	(0.045)	(0.051)
_Istate_18	-0.08052***	-0.09148***	-0.12670***	-0.16146***	-0.16565***
	(0.016)	(0.027)	(0.030)	(0.035)	(0.037)
_Istate_19	-0.07647***	-0.03555*	-0.09191***	-0.12731***	-0.14013***
	(0.011)	(0.019)	(0.020)	(0.021)	(0.022)
_Istate_20	-0.06791***	-0.03594**	-0.08248***	-0.14101***	-0.15563***
	(0.011)	(0.017)	(0.015)	(0.017)	(0.020)
_Istate_21	-0.09418***	-0.10621***	-0.13656***	-0.17037***	-0.16035***
	(0.010)	(0.017)	(0.018)	(0.020)	(0.019)
_Istate_22	-0.06987***	-0.04106***	-0.11884***	-0.17298***	-0.18466***
	(0.005)	(0.008)	(0.009)	(0.010)	(0.010)
_Istate_23	-0.08521***	-0.03195*	-0.08591***	-0.08679***	-0.08318***
	(0.010)	(0.019)	(0.020)	(0.030)	(0.029)
_Istate_24	0.10015	0.20318	0.24369	0.26795	0.26308
	(0.128)	(0.291)	(0.302)	(0.318)	(0.329)
_Istate_25	-0.15674***	-0.19606***	-0.19303***	-0.20080***	-0.19130***
	(0.007)	(0.022)	(0.029)	(0.031)	(0.035)
_Istate_26	-0.11048***	-0.09885***	-0.17248***	-0.20480***	-0.15871***
	(0.016)	(0.029)	(0.031)	(0.033)	(0.034)
Constant	0.24573***	0.28983***	0.32890***	0.39770***	0.37508***
	(0.005)	(0.009)	(0.010)	(0.010)	(0.010)
					
Observations	475	475	475	475	475
R-squared	0.245	0.217	0.223	0.200	0.152
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
