	(1)	(2)	(3)	(4)
VARIABLES	OLS	d_ln_w	d_ln_w	d_ln_w
				
IS_mt		-0.0340***		-0.0339***
		(0.010)		(0.010)
rtr_kume_main	-1.0682***	-0.9293***	-1.0687***	-0.9308***
	(0.111)	(0.123)	(0.107)	(0.122)
delta_86_90	-0.0765	-0.0636	-0.0762	-0.0632
	(0.053)	(0.055)	(0.051)	(0.055)
state2	-0.1068**	-0.1066**	-0.1067**	-0.1063**
	(0.048)	(0.046)	(0.046)	(0.046)
state3	-0.1577***	-0.1552***	-0.1575***	-0.1548***
	(0.007)	(0.007)	(0.007)	(0.007)
state4	-0.1973***	-0.2022***	-0.1971***	-0.2017***
	(0.010)	(0.011)	(0.010)	(0.011)
state5	-0.0009	-0.0062	-0.0013	-0.0069
	(0.005)	(0.006)	(0.005)	(0.006)
state6	-0.1084***	-0.1194***	-0.1081***	-0.1189***
	(0.014)	(0.015)	(0.013)	(0.015)
o.state7	-	-	-	-
				
state8	0.0697***	0.0660***	0.0692***	0.0651***
	(0.004)	(0.005)	(0.004)	(0.005)
state9	0.0431***	0.0428***	0.0433***	0.0432***
	(0.005)	(0.005)	(0.005)	(0.005)
state10	0.0310***	0.0265**	0.0313***	0.0270**
	(0.011)	(0.012)	(0.010)	(0.012)
state11	0.0595***	0.0522***	0.0595***	0.0522***
	(0.013)	(0.011)	(0.012)	(0.011)
state12	0.0264**	0.0243**	0.0266***	0.0247**
	(0.010)	(0.011)	(0.010)	(0.011)
state13	-0.0171	-0.0207	-0.0168	-0.0202
	(0.015)	(0.015)	(0.015)	(0.015)
state14	0.0240***	0.0206***	0.0241***	0.0209***
	(0.004)	(0.004)	(0.004)	(0.004)
state15	0.0635***	0.0573***	0.0636***	0.0576***
	(0.013)	(0.012)	(0.012)	(0.012)
state16	-0.0039	-0.0044	-0.0038	-0.0043
	(0.008)	(0.008)	(0.008)	(0.008)
state17	-0.0102	-0.0058	-0.0105	-0.0064
	(0.017)	(0.015)	(0.016)	(0.015)
state18	0.0059	0.0043	0.0051	0.0028
	(0.015)	(0.015)	(0.016)	(0.017)
state19	-0.0300	-0.0322	-0.0303	-0.0326
	(0.028)	(0.027)	(0.027)	(0.026)
state20	-0.1410***	-0.1316***	-0.1409***	-0.1313***
	(0.011)	(0.010)	(0.011)	(0.011)
state21	-0.0499***	-0.0494***	-0.0499***	-0.0495***
	(0.017)	(0.017)	(0.016)	(0.017)
state22	-0.0360	-0.0314	-0.0359	-0.0312
	(0.024)	(0.023)	(0.023)	(0.023)
state23	-0.1114***	-0.1074***	-0.1116***	-0.1079***
	(0.006)	(0.006)	(0.006)	(0.006)
state24	-0.0703***	-0.0706***	-0.0706***	-0.0710***
	(0.005)	(0.005)	(0.005)	(0.006)
state25	-0.0269***	-0.0293***	-0.0268***	-0.0292***
	(0.004)	(0.005)	(0.004)	(0.005)
state26	0.0249	0.0212	0.0250	0.0213
	(0.017)	(0.016)	(0.016)	(0.016)
state27	-0.1063***	-0.1217***	-0.1061***	-0.1211***
	(0.014)	(0.016)	(0.014)	(0.016)
XD_mt			0.0005	0.0010
			(0.002)	(0.002)
Constant	-0.0507***	-0.0521***	-0.0509***	-0.0526***
	(0.003)	(0.003)	(0.003)	(0.003)
				
Observations	405	405	405	405
R-squared	0.733	0.738	0.733	0.739
K-P rk LM statistic		5.937	3.119	6.143
p-value		0.0148	0.0774	0.0132
K-P rk Wald F statistic		22.16	441.6	11.31
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
