	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.2668**	-0.2721**	-0.0334	-0.0172	0.0577	-0.1202	-0.3205*	-0.3689**	-0.5336***	-0.7802***	-0.9184***	-1.1411***	-1.2299***	-1.4235***	-1.6805***	-1.7715***	-1.8377***	-1.8674***	-1.8289***
	(0.108)	(0.109)	(0.139)	(0.148)	(0.133)	(0.178)	(0.167)	(0.163)	(0.165)	(0.151)	(0.158)	(0.156)	(0.160)	(0.163)	(0.174)	(0.195)	(0.214)	(0.198)	(0.213)
delta_86_90	-0.0255	-0.0770	-0.3001***	-0.2852***	-0.2955***	-0.3275***	-0.3900***	-0.4421***	-0.4431***	-0.4577***	-0.4497***	-0.5026***	-0.4912***	-0.4716***	-0.4617***	-0.4610***	-0.4639***	-0.4823***	-0.5112***
	(0.047)	(0.067)	(0.075)	(0.064)	(0.090)	(0.109)	(0.119)	(0.125)	(0.132)	(0.142)	(0.140)	(0.145)	(0.141)	(0.148)	(0.148)	(0.152)	(0.160)	(0.166)	(0.162)
state2	-0.0898***	0.1474***	0.0934***	-0.1710***	-0.2022***	-0.0901***	-0.0447***	-0.0710***	-0.0129	0.0060	-0.0317	-0.0106	-0.0321*	-0.0481**	-0.0142	0.0052	-0.0039	-0.1035***	-0.1868***
	(0.006)	(0.009)	(0.010)	(0.009)	(0.012)	(0.015)	(0.016)	(0.017)	(0.018)	(0.019)	(0.019)	(0.020)	(0.019)	(0.020)	(0.020)	(0.021)	(0.022)	(0.023)	(0.022)
o.state3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state4	-0.1749***	-0.0873***	-0.1122***	-0.1352***	-0.0907***	-0.0180	-0.0064	-0.0121	0.0038	0.0392	-0.0767***	-0.0254	-0.0357	-0.0887***	-0.0741***	-0.0693**	-0.0726**	-0.1289***	-0.2202***
	(0.008)	(0.012)	(0.014)	(0.011)	(0.016)	(0.020)	(0.022)	(0.023)	(0.024)	(0.026)	(0.026)	(0.026)	(0.026)	(0.027)	(0.027)	(0.028)	(0.029)	(0.030)	(0.030)
state5	-0.0138	0.1074***	-0.1210***	-0.1999***	-0.2263***	-0.1446***	-0.1301***	-0.1227***	-0.0979***	-0.0715***	-0.0587**	0.0197	0.0239	0.0276	0.0462*	0.0700***	0.0804***	0.0073	-0.0901***
	(0.009)	(0.010)	(0.014)	(0.015)	(0.016)	(0.018)	(0.022)	(0.023)	(0.026)	(0.026)	(0.025)	(0.025)	(0.025)	(0.024)	(0.026)	(0.026)	(0.027)	(0.026)	(0.028)
state6	-0.1240***	0.0754***	-0.0787***	-0.0396**	-0.1794***	-0.0342	0.0104	-0.0259	-0.0068	-0.0441	-0.0727*	0.0106	0.0090	-0.0102	0.0128	0.0381	0.0207	-0.0410	-0.1291***
	(0.013)	(0.018)	(0.021)	(0.018)	(0.025)	(0.030)	(0.034)	(0.035)	(0.038)	(0.040)	(0.039)	(0.041)	(0.039)	(0.041)	(0.041)	(0.043)	(0.045)	(0.046)	(0.046)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	-0.0087	0.1001***	-0.1385***	-0.1885***	-0.1615***	-0.1336***	-0.1186***	-0.1209***	-0.0896***	-0.0391*	-0.0439*	0.0445**	0.0402*	0.0592**	0.0825***	0.1387***	0.1589***	0.0466**	-0.0348*
	(0.013)	(0.008)	(0.013)	(0.021)	(0.026)	(0.014)	(0.020)	(0.021)	(0.021)	(0.023)	(0.026)	(0.022)	(0.022)	(0.023)	(0.021)	(0.020)	(0.020)	(0.021)	(0.020)
state9	-0.0050	0.1988***	-0.0212***	0.0081	-0.0141*	0.0308***	0.0321***	0.0297***	0.0535***	0.0828***	0.0847***	0.1403***	0.1591***	0.1768***	0.1925***	0.1928***	0.2203***	0.1548***	0.0543***
	(0.004)	(0.006)	(0.007)	(0.006)	(0.008)	(0.009)	(0.010)	(0.010)	(0.010)	(0.011)	(0.011)	(0.011)	(0.011)	(0.012)	(0.012)	(0.012)	(0.013)	(0.013)	(0.013)
state10	-0.0174	0.1752***	-0.0844***	-0.1034***	-0.0868***	0.0066	0.0372	0.0242	0.0531**	0.1041***	0.1074***	0.1801***	0.1817***	0.2041***	0.2227***	0.2473***	0.2483***	0.1952***	0.0872***
	(0.014)	(0.010)	(0.013)	(0.012)	(0.014)	(0.022)	(0.026)	(0.024)	(0.020)	(0.016)	(0.016)	(0.016)	(0.015)	(0.015)	(0.016)	(0.018)	(0.020)	(0.020)	(0.020)
state11	-0.0369***	0.1263***	-0.1019***	-0.1689***	-0.1106***	-0.0219	-0.0080	-0.0045	0.0219	0.0763***	0.0957***	0.1683***	0.1820***	0.2044***	0.2249***	0.2499***	0.2569***	0.1911***	0.1111***
	(0.014)	(0.009)	(0.016)	(0.013)	(0.019)	(0.017)	(0.017)	(0.017)	(0.019)	(0.017)	(0.019)	(0.019)	(0.016)	(0.018)	(0.020)	(0.022)	(0.022)	(0.024)	(0.027)
state12	-0.0473***	0.1215***	-0.0339*	-0.1070***	-0.1334***	-0.0403***	-0.0370***	-0.0199	-0.0028	0.0317**	0.0325**	0.0880***	0.0855***	0.1050***	0.1457***	0.1628***	0.1988***	0.1224***	0.0196
