	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.1081	-0.3041*	-0.1252	0.0057	0.1290	-0.0906	-0.1574	-0.1505	-0.3469	-0.6185**	-0.7219***	-1.0320***	-1.0825***	-1.3787***	-1.7346***	-1.9302***	-2.1163***	-2.0251***	-2.1526***
	(0.224)	(0.177)	(0.250)	(0.267)	(0.238)	(0.299)	(0.256)	(0.241)	(0.262)	(0.257)	(0.269)	(0.262)	(0.280)	(0.280)	(0.299)	(0.355)	(0.372)	(0.351)	(0.373)
delta_86_90	-0.0066	-0.0526	-0.2920**	-0.3082***	-0.3246**	-0.4269**	-0.4984**	-0.5757***	-0.5758***	-0.5793**	-0.5826**	-0.6665***	-0.6247***	-0.6213***	-0.6002**	-0.6152**	-0.6161**	-0.6235**	-0.6568**
	(0.071)	(0.101)	(0.123)	(0.104)	(0.150)	(0.182)	(0.199)	(0.198)	(0.212)	(0.224)	(0.220)	(0.222)	(0.222)	(0.233)	(0.232)	(0.234)	(0.239)	(0.261)	(0.253)
state2	-0.0889***	0.1505***	0.0935***	-0.1739***	-0.2054***	-0.1035***	-0.0578**	-0.0870***	-0.0291	-0.0090	-0.0478	-0.0319	-0.0489	-0.0682**	-0.0339	-0.0178	-0.0280	-0.1247***	-0.2105***
	(0.010)	(0.014)	(0.016)	(0.014)	(0.020)	(0.024)	(0.027)	(0.027)	(0.029)	(0.030)	(0.030)	(0.030)	(0.030)	(0.032)	(0.031)	(0.032)	(0.032)	(0.035)	(0.034)
o.state3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
o.state4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state5	-0.0073	0.1005***	-0.1067***	-0.1870***	-0.2206***	-0.1307***	-0.1214***	-0.1121***	-0.0801***	-0.0589**	-0.0474	0.0358	0.0419	0.0503	0.0737**	0.1101***	0.1285***	0.0426	-0.0398
	(0.017)	(0.016)	(0.020)	(0.021)	(0.022)	(0.026)	(0.027)	(0.026)	(0.029)	(0.029)	(0.030)	(0.030)	(0.031)	(0.032)	(0.033)	(0.035)	(0.037)	(0.036)	(0.037)
state6	-0.1230***	0.0698**	-0.0774**	-0.0340	-0.1740***	-0.0073	0.0345	0.0032	0.0233	-0.0162	-0.0430	0.0525	0.0408	0.0303	0.0541	0.0879	0.0747	0.0052	-0.0751
	(0.020)	(0.028)	(0.033)	(0.029)	(0.041)	(0.049)	(0.054)	(0.054)	(0.059)	(0.061)	(0.060)	(0.061)	(0.061)	(0.064)	(0.064)	(0.065)	(0.066)	(0.071)	(0.070)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0087	0.1017***	-0.1263***	-0.2041***	-0.1831***	-0.1281***	-0.1289***	-0.1326***	-0.0986***	-0.0497**	-0.0597**	0.0427*	0.0319	0.0590**	0.0892***	0.1576***	0.1969***	0.0631**	0.0004
	(0.014)	(0.014)	(0.016)	(0.017)	(0.018)	(0.021)	(0.022)	(0.022)	(0.025)	(0.024)	(0.025)	(0.025)	(0.026)	(0.027)	(0.027)	(0.029)	(0.031)	(0.030)	(0.031)
o.state9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state10	0.0046	0.1819***	-0.0717***	-0.1065***	-0.0940***	0.0178	0.0374	0.0208	0.0485*	0.0930***	0.0951***	0.1775***	0.1727***	0.2028***	0.2310***	0.2682***	0.2823***	0.2108***	0.1284***
	(0.023)	(0.018)	(0.024)	(0.027)	(0.023)	(0.029)	(0.025)	(0.024)	(0.027)	(0.025)	(0.027)	(0.027)	(0.029)	(0.029)	(0.030)	(0.036)	(0.038)	(0.035)	(0.038)
state11	-0.0181	0.1259***	-0.0960***	-0.1817***	-0.1147***	-0.0188	-0.0317	-0.0226	0.0042	0.0567*	0.0819***	0.1649***	0.1733***	0.2083***	0.2348***	0.2752***	0.2943***	0.2223***	0.1587***
	(0.020)	(0.017)	(0.022)	(0.026)	(0.028)	(0.027)	(0.030)	(0.028)	(0.033)	(0.029)	(0.030)	(0.030)	(0.032)	(0.032)	(0.033)	(0.038)	(0.038)	(0.037)	(0.040)
state12	-0.0393***	0.1166***	-0.0388**	-0.1095***	-0.1399***	-0.0391**	-0.0428**	-0.0263	-0.0070	0.0287	0.0286	0.0917***	0.0853***	0.1115***	0.1567***	0.1811***	0.2203***	0.1412***	0.0488*
	(0.013)	(0.014)	(0.019)	(0.016)	(0.015)	(0.018)	(0.018)	(0.018)	(0.020)	(0.019)	(0.020)	(0.020)	(0.021)	(0.022)	(0.022)	(0.025)	(0.026)	(0.025)	(0.026)
state13	-0.0260	0.1261***	-0.0965***	-0.1522***	-0.1104***	-0.0513**	-0.0746***	-0.0876***	-0.0476**	-0.0170	-0.0101	0.0641***	0.0533**	0.0747***	0.0922***	0.1212***	0.1544***	0.0667**	0.0008
	(0.019)	(0.015)	(0.020)	(0.023)	(0.020)	(0.024)	(0.021)	(0.020)	(0.022)	(0.021)	(0.022)	(0.022)	(0.024)	(0.024)	(0.025)	(0.030)	(0.031)	(0.029)	(0.031)
state14	-0.0197*	0.1347***	-0.0743***	-0.1096***	-0.1555***	-0.0738***	-0.0942***	-0.1050***	-0.1073***	-0.0757***	-0.0686***	0.0032	0.0071	0.0353**	0.0568***	0.0831***	0.1029***	0.0315	-0.0779***
