	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.4028***	-0.1494	-0.2129	-0.5143***	-0.4160**	-0.4889**	-0.7442***	-0.8480***	-0.9737***	-1.2953***	-1.3428***	-1.6403***	-1.7165***	-1.8860***	-2.1303***	-2.2322***	-2.2797***	-2.3855***	-2.2564***
	(0.141)	(0.131)	(0.140)	(0.159)	(0.168)	(0.208)	(0.198)	(0.198)	(0.193)	(0.200)	(0.208)	(0.207)	(0.217)	(0.215)	(0.211)	(0.226)	(0.240)	(0.239)	(0.263)
delta_86_90	-0.0682	-0.1175*	-0.2264***	-0.2392***	-0.2687***	-0.2493**	-0.3541***	-0.3599***	-0.3548***	-0.3613***	-0.3010**	-0.2960**	-0.3305***	-0.3252***	-0.3319***	-0.3408***	-0.3007**	-0.3708***	-0.3792***
	(0.051)	(0.068)	(0.075)	(0.075)	(0.091)	(0.103)	(0.101)	(0.109)	(0.103)	(0.113)	(0.117)	(0.128)	(0.113)	(0.115)	(0.118)	(0.124)	(0.119)	(0.130)	(0.134)
state2	0.0470***	-0.0355***	0.0321	0.0625	-0.0196	0.0106	-0.0176	-0.0173	-0.0577	-0.0170	-0.0435	-0.0070	-0.0206	-0.0000	-0.0074	0.0023	0.0356	0.0798**	0.0353
	(0.013)	(0.007)	(0.083)	(0.042)	(0.038)	(0.039)	(0.038)	(0.043)	(0.035)	(0.033)	(0.029)	(0.035)	(0.037)	(0.031)	(0.032)	(0.031)	(0.039)	(0.039)	(0.032)
state3	0.2164***	0.0898***	-0.1868***	-0.2998***	-0.2856***	-0.3069***	-0.2591***	-0.2911***	-0.3703***	-0.5956***	-0.4381***	-0.4954***	-0.3985***	-0.3959***	-0.2624***	-0.3161***	-0.3381***	-0.2965***	-0.3722***
	(0.023)	(0.014)	(0.002)	(0.006)	(0.033)	(0.003)	(0.008)	(0.009)	(0.004)	(0.024)	(0.013)	(0.018)	(0.008)	(0.018)	(0.001)	(0.010)	(0.014)	(0.015)	(0.024)
state4	-0.1471***	-0.0699***	0.1202***	-0.0761***	-0.1019***	0.0130	0.1059***	0.0701**	0.0730***	0.0163	-0.0949***	-0.1164***	-0.0886***	-0.1616***	-0.0639**	-0.1394***	-0.0921***	-0.0238	-0.0130
	(0.012)	(0.016)	(0.018)	(0.017)	(0.022)	(0.025)	(0.025)	(0.027)	(0.025)	(0.027)	(0.028)	(0.031)	(0.027)	(0.028)	(0.028)	(0.030)	(0.028)	(0.031)	(0.032)
state5	0.1187***	0.0436**	0.0433***	0.0120	-0.0012	-0.0496*	-0.0862***	-0.0790**	-0.1058***	-0.1083***	-0.1083***	-0.0766***	-0.0663**	-0.0550*	-0.0482*	-0.0584**	-0.0357	-0.0070	-0.0481
	(0.010)	(0.021)	(0.010)	(0.025)	(0.020)	(0.026)	(0.029)	(0.038)	(0.021)	(0.036)	(0.030)	(0.029)	(0.025)	(0.031)	(0.028)	(0.026)	(0.026)	(0.027)	(0.031)
state6	-0.0663***	-0.0763***	0.0937***	0.0980***	-0.0195	-0.2215***	-0.2956***	-0.1234***	-0.2124***	-0.1975***	-0.2844***	-0.2053***	-0.1635***	-0.1944***	-0.2457***	-0.2521***	-0.3052***	-0.1860***	-0.1998***
	(0.019)	(0.025)	(0.028)	(0.028)	(0.035)	(0.040)	(0.040)	(0.044)	(0.041)	(0.044)	(0.045)	(0.049)	(0.043)	(0.045)	(0.045)	(0.048)	(0.045)	(0.049)	(0.051)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	-0.0555***	-0.0165	-0.1358***	-0.0184	0.0288	-0.0816	-0.0252	-0.0078	-0.0324	-0.0113	-0.0327	0.0222	-0.0591**	-0.0497*	0.0343	0.0294	0.0320	0.0239	0.0126
	(0.011)	(0.033)	(0.027)	(0.041)	(0.064)	(0.054)	(0.054)	(0.044)	(0.044)	(0.055)	(0.064)	(0.067)	(0.023)	(0.027)	(0.043)	(0.039)	(0.060)	(0.054)	(0.069)
state9	0.0664***	0.0153	0.0416**	0.0812***	0.0264	-0.0673***	-0.0756***	-0.0841***	-0.1066***	-0.1070***	-0.1020***	-0.0570**	-0.0748***	-0.0478*	-0.0473*	-0.0565**	-0.0375	0.0342	-0.0122
	(0.011)	(0.015)	(0.017)	(0.017)	(0.020)	(0.023)	(0.022)	(0.024)	(0.022)	(0.024)	(0.025)	(0.028)	(0.024)	(0.024)	(0.025)	(0.026)	(0.025)	(0.028)	(0.028)
state10	0.0684***	0.0690***	0.0211	0.0507**	0.0398	0.0175	0.0441	0.0460	0.0482	0.0914***	0.0481	0.1244***	0.1199***	0.1464***	0.1553***	0.1636***	0.1474***	0.2083***	0.1835***
	(0.020)	(0.019)	(0.023)	(0.025)	(0.026)	(0.033)	(0.034)	(0.034)	(0.029)	(0.033)	(0.034)	(0.036)	(0.034)	(0.034)	(0.032)	(0.036)	(0.033)	(0.039)	(0.038)
state11	-0.0055	0.0490**	-0.0544***	-0.0161	-0.0365	-0.0309	-0.0042	0.0120	0.0258	0.0861**	0.0996**	0.0953***	0.1337***	0.1481***	0.1460***	0.1809***	0.1355***	0.1770***	0.1855***
	(0.022)	(0.021)	(0.020)	(0.021)	(0.026)	(0.032)	(0.030)	(0.033)	(0.035)	(0.043)	(0.043)	(0.034)	(0.038)	(0.033)	(0.031)	(0.037)	(0.033)	(0.036)	(0.038)
