	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	-0.0245	-0.5161***	-0.2222	-0.0519	0.0375	-0.0757	-0.1672	-0.1794	-0.2902	-0.5401**	-0.6383***	-0.8345***	-0.9370***	-1.2694***	-1.5909***	-1.7150***	-1.8680***	-1.7887***	-1.9266***
	(0.186)	(0.170)	(0.232)	(0.259)	(0.245)	(0.286)	(0.244)	(0.221)	(0.257)	(0.235)	(0.243)	(0.243)	(0.251)	(0.276)	(0.319)	(0.343)	(0.350)	(0.340)	(0.372)
q2	-0.0254	-0.0098	-0.0021	0.0032	0.0095	0.0138	0.0239	0.0321*	0.0315*	0.0323*	0.0348*	0.0343*	0.0355*	0.0278	0.0176	0.0116	-0.0022	0.0063	-0.0081
	(0.016)	(0.015)	(0.016)	(0.017)	(0.017)	(0.018)	(0.017)	(0.016)	(0.018)	(0.019)	(0.018)	(0.018)	(0.018)	(0.019)	(0.019)	(0.021)	(0.023)	(0.024)	(0.023)
q3	-0.0192	-0.0021	-0.0070	0.0100	0.0181	0.0093	0.0108	0.0227	0.0254	0.0286	0.0228	0.0260	0.0159	0.0088	-0.0060	-0.0157	-0.0334	-0.0237	-0.0424
	(0.019)	(0.019)	(0.025)	(0.026)	(0.024)	(0.026)	(0.025)	(0.025)	(0.027)	(0.026)	(0.026)	(0.027)	(0.027)	(0.028)	(0.030)	(0.033)	(0.034)	(0.035)	(0.035)
q4	-0.0044	-0.0188	0.0145	-0.0036	0.0231	-0.0122	0.0148	0.0135	0.0060	0.0122	-0.0050	-0.0087	-0.0143	-0.0286	-0.0514	-0.0631	-0.0856**	-0.0743*	-0.0948**
	(0.031)	(0.027)	(0.031)	(0.029)	(0.030)	(0.032)	(0.028)	(0.029)	(0.031)	(0.032)	(0.031)	(0.033)	(0.032)	(0.034)	(0.036)	(0.039)	(0.041)	(0.043)	(0.044)
adao_shock	-0.1414	-0.5233**	-0.4574**	0.0334	-0.0892	-0.1457	0.0047	-0.3004	-0.0397	0.0844	0.0496	0.0796	0.0404	0.1181	0.0654	0.0747	0.0496	-0.0306	0.0454
	(0.120)	(0.219)	(0.198)	(0.207)	(0.197)	(0.325)	(0.154)	(0.285)	(0.167)	(0.092)	(0.089)	(0.073)	(0.060)	(0.092)	(0.098)	(0.100)	(0.074)	(0.115)	(0.127)
delta_86_90	0.0598	0.0022	-0.1635	-0.1548	-0.1540	-0.2213*	-0.2773**	-0.3010**	-0.3138**	-0.3111**	-0.3091*	-0.3349**	-0.3171*	-0.3082*	-0.3242*	-0.3242*	-0.3890***	-0.4000***	-0.4209***
	(0.056)	(0.080)	(0.111)	(0.111)	(0.121)	(0.131)	(0.139)	(0.148)	(0.148)	(0.156)	(0.157)	(0.163)	(0.161)	(0.162)	(0.165)	(0.168)	(0.139)	(0.145)	(0.142)
state2	-0.0150	0.1201***	0.1209***	-0.0897***	-0.1165***	-0.0705***	-0.0348*	-0.0573***	-0.0219	-0.0060	-0.0355**	-0.0180	-0.0434**	-0.0647***	-0.0454*	-0.0318	-0.0502*	-0.1025***	-0.1328***
	(0.011)	(0.010)	(0.033)	(0.014)	(0.014)	(0.017)	(0.020)	(0.021)	(0.023)	(0.020)	(0.017)	(0.017)	(0.020)	(0.023)	(0.024)	(0.028)	(0.029)	(0.033)	(0.036)
state3	0.0455**	0.0613**	-0.1525**	-0.1250***	-0.2279***	-0.0938**	-0.0849***	-0.1864***	-0.1580***	-0.2095***	-0.1503***	-0.1328***	-0.1467***	-0.1750***	-0.1642***	-0.1547***	-0.0998***	-0.1528***	-0.1514***
	(0.021)	(0.025)	(0.063)	(0.044)	(0.033)	(0.036)	(0.023)	(0.042)	(0.056)	(0.067)	(0.050)	(0.042)	(0.044)	(0.051)	(0.049)	(0.050)	(0.034)	(0.051)	(0.052)
state4	-0.0970***	-0.0810***	-0.0290	-0.0984***	-0.0673*	-0.0634	-0.0462	-0.0283	-0.0641	-0.0474	-0.1716***	-0.1405***	-0.1609***	-0.2293***	-0.2164***	-0.2129***	-0.1835***	-0.1644**	-0.2418***
	(0.016)	(0.026)	(0.038)	(0.032)	(0.036)	(0.057)	(0.036)	(0.053)	(0.041)	(0.040)	(0.043)	(0.043)	(0.044)	(0.048)	(0.069)	(0.062)	(0.050)	(0.080)	(0.091)
state5	0.0649***	0.0708***	-0.1019***	-0.1584***	-0.1908***	-0.1624***	-0.1509***	-0.1585***	-0.1634***	-0.1508***	-0.1421***	-0.0973***	-0.0975***	-0.1035***	-0.0791*	-0.0636	-0.0386	-0.0805*	-0.1218**
	(0.013)	(0.021)	(0.029)	(0.026)	(0.026)	(0.024)	(0.022)	(0.028)	(0.033)	(0.027)	(0.030)	(0.036)	(0.037)	(0.039)	(0.042)	(0.042)	(0.042)	(0.046)	(0.050)
state6	-0.0732***	0.0365	-0.0633*	-0.0111	-0.1584***	-0.0622	-0.0231	-0.0644	-0.0686	-0.1233**	-0.1510***	-0.0897*	-0.1012*	-0.1226**	-0.0996*	-0.0830	-0.0784*	-0.1002**	-0.1383***
	(0.016)	(0.026)	(0.037)	(0.037)	(0.040)	(0.043)	(0.046)	(0.049)	(0.048)	(0.051)	(0.051)	(0.053)	(0.052)	(0.052)	(0.052)	(0.054)	(0.044)	(0.046)	(0.045)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
