	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	-0.0230	-0.3479***	-0.0280	0.0233	0.0130	-0.0081	-0.3299**	-0.5117***	-0.5906***	-0.6727***	-0.7196***	-0.8373***	-1.1505***	-1.2093***	-1.4677***	-2.0117***	-2.1239***	-1.8274***	-1.7181***
	(0.114)	(0.093)	(0.118)	(0.143)	(0.177)	(0.161)	(0.134)	(0.160)	(0.188)	(0.193)	(0.167)	(0.158)	(0.138)	(0.137)	(0.184)	(0.270)	(0.262)	(0.201)	(0.330)
com_shock	0.8146***	0.3645*	0.1511	0.1792	0.0827	0.1985*	0.2270	0.3256*	0.1598	-0.2124	-0.2983	-0.6543***	-0.6286**	0.4212	0.0646	-0.4996**	-0.3618***	-0.1794	-0.0688
	(0.178)	(0.194)	(0.131)	(0.120)	(0.163)	(0.109)	(0.144)	(0.186)	(0.266)	(0.234)	(0.182)	(0.222)	(0.274)	(0.277)	(0.230)	(0.226)	(0.119)	(0.112)	(0.149)
delta_86_90	0.0440	-0.0147	-0.1608	-0.1467	-0.1577	-0.2121	-0.2679*	-0.2981*	-0.3135**	-0.3051*	-0.2901*	-0.3042*	-0.2977*	-0.3030*	-0.3238*	-0.3241*	-0.3954***	-0.4057***	-0.4236***
	(0.056)	(0.080)	(0.111)	(0.111)	(0.123)	(0.133)	(0.143)	(0.151)	(0.149)	(0.157)	(0.159)	(0.162)	(0.163)	(0.164)	(0.168)	(0.166)	(0.137)	(0.149)	(0.147)
state2	-0.0279***	0.1198***	0.1406***	-0.0886***	-0.1248***	-0.0653***	-0.0282	-0.0509***	-0.0318*	-0.0174	-0.0382**	-0.0073	-0.0385*	-0.0742***	-0.0498***	-0.0366	-0.0514*	-0.0970***	-0.1229***
	(0.008)	(0.008)	(0.032)	(0.011)	(0.011)	(0.015)	(0.020)	(0.016)	(0.018)	(0.018)	(0.015)	(0.019)	(0.023)	(0.015)	(0.017)	(0.032)	(0.029)	(0.031)	(0.030)
state3	0.0175	0.0569**	-0.1354**	-0.1256***	-0.2190***	-0.0984***	-0.0734***	-0.1753***	-0.1613***	-0.1970***	-0.1390***	-0.1035**	-0.1200***	-0.1942***	-0.1801***	-0.1275***	-0.1247***	-0.1877***	-0.1790***
	(0.014)	(0.024)	(0.066)	(0.038)	(0.030)	(0.029)	(0.019)	(0.041)	(0.052)	(0.062)	(0.044)	(0.040)	(0.043)	(0.036)	(0.040)	(0.048)	(0.029)	(0.047)	(0.044)
state4	-0.1283***	-0.1217***	-0.0853***	-0.0992***	-0.0585**	-0.0300	-0.0134	-0.0240	-0.0474	-0.0227	-0.1405***	-0.0970***	-0.0855**	-0.2160***	-0.1772***	-0.0679	-0.1006***	-0.1468***	-0.1936***
	(0.011)	(0.018)	(0.025)	(0.024)	(0.028)	(0.029)	(0.029)	(0.033)	(0.034)	(0.034)	(0.035)	(0.034)	(0.033)	(0.047)	(0.062)	(0.057)	(0.036)	(0.038)	(0.047)
state5	0.0504***	0.0526***	-0.0947***	-0.1596***	-0.1863***	-0.1601***	-0.1369***	-0.1396***	-0.1582***	-0.1384***	-0.1339***	-0.0845*	-0.0866**	-0.1034**	-0.0905*	-0.0690*	-0.0547	-0.0929*	-0.1423**
	(0.009)	(0.017)	(0.022)	(0.024)	(0.022)	(0.021)	(0.017)	(0.023)	(0.032)	(0.029)	(0.033)	(0.046)	(0.040)	(0.050)	(0.048)	(0.041)	(0.041)	(0.052)	(0.058)
state6	-0.0824***	0.0224	-0.0665*	-0.0114	-0.1596***	-0.0595	-0.0171	-0.0592	-0.0716	-0.1181**	-0.1471***	-0.0798	-0.0969*	-0.1198**	-0.0994*	-0.0863*	-0.0910**	-0.1011**	-0.1349***
	(0.015)	(0.025)	(0.036)	(0.034)	(0.039)	(0.041)	(0.043)	(0.047)	(0.047)	(0.048)	(0.048)	(0.049)	(0.049)	(0.050)	(0.051)	(0.051)	(0.041)	(0.044)	(0.044)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0459***	0.0857***	-0.0802***	-0.1181***	-0.0960***	-0.1129***	-0.1041***	-0.0995***	-0.1092***	-0.0798***	-0.0815***	-0.0267	-0.0335*	0.0018	0.0091	0.0372*	0.0930***	0.0232	-0.0171
	(0.007)	(0.009)	(0.016)	(0.015)	(0.017)	(0.015)	(0.016)	(0.018)	(0.020)	(0.020)	(0.021)	(0.020)	(0.020)	(0.020)	(0.020)	(0.019)	(0.018)	(0.020)	(0.016)
state9	0.0516***	0.1658***	0.0258*	0.0545***	0.0278*	0.0330**	0.0320**	0.0308*	0.0248	0.0247	0.0313	0.0647***	0.0777***	0.1251***	0.1237***	0.1003***	0.1759***	0.1392***	0.0874***
	(0.007)	(0.010)	(0.015)	(0.013)	(0.014)	(0.016)	(0.016)	(0.018)	(0.019)	(0.021)	(0.021)	(0.021)	(0.022)	(0.019)	(0.019)	(0.021)	(0.018)	(0.019)	(0.017)
state10	0.0533***	0.1468***	-0.0363**	-0.0484***	-0.0305*	0.0081	0.0418*	0.0288	0.0238	0.0663***	0.0627***	0.1226***	0.1116***	0.1302***	0.1331***	0.1594***	0.1644***	0.1493***	0.0965***
	(0.013)	(0.010)	(0.016)	(0.014)	(0.016)	(0.021)	(0.022)	(0.025)	(0.021)	(0.019)	(0.019)	(0.020)	(0.020)	(0.018)	(0.018)	(0.020)	(0.018)	(0.020)	(0.020)
