	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rec_kume_main	0.1127*	-0.2371***	-0.0645	-0.0468	-0.0126	-0.0681	-0.2042**	-0.2330***	-0.3282***	-0.4900***	-0.5372***	-0.6692***	-0.7092***	-0.8231***	-0.9567***	-1.0043***	-1.0280***	-1.0423***	-1.0168***
	(0.067)	(0.062)	(0.071)	(0.076)	(0.069)	(0.088)	(0.088)	(0.089)	(0.091)	(0.088)	(0.092)	(0.091)	(0.093)	(0.090)	(0.095)	(0.101)	(0.102)	(0.101)	(0.107)
delta_86_90	0.0613	-0.0063	-0.1677	-0.1585	-0.1611	-0.2257*	-0.2808**	-0.3007**	-0.3201**	-0.3255**	-0.3218**	-0.3515**	-0.3315**	-0.3299**	-0.3457**	-0.3446**	-0.4070***	-0.4146***	-0.4383***
	(0.054)	(0.079)	(0.112)	(0.110)	(0.121)	(0.131)	(0.141)	(0.149)	(0.150)	(0.157)	(0.158)	(0.165)	(0.163)	(0.165)	(0.167)	(0.171)	(0.142)	(0.149)	(0.145)
state2	-0.0066	0.1287***	0.1354***	-0.0946***	-0.1264***	-0.0779***	-0.0383**	-0.0575***	-0.0311*	-0.0200	-0.0461***	-0.0320**	-0.0510***	-0.0733***	-0.0458**	-0.0280	-0.0363*	-0.0859***	-0.1158***
	(0.007)	(0.006)	(0.030)	(0.010)	(0.012)	(0.012)	(0.017)	(0.016)	(0.018)	(0.016)	(0.013)	(0.014)	(0.016)	(0.019)	(0.018)	(0.022)	(0.022)	(0.028)	(0.027)
state3	0.0362***	0.0685***	-0.1360**	-0.1244***	-0.2177***	-0.1011***	-0.0803***	-0.1817***	-0.1565***	-0.2089***	-0.1559***	-0.1409***	-0.1522***	-0.1795***	-0.1738***	-0.1640***	-0.1259***	-0.1832***	-0.1817***
	(0.012)	(0.022)	(0.067)	(0.040)	(0.032)	(0.031)	(0.020)	(0.041)	(0.051)	(0.062)	(0.043)	(0.034)	(0.036)	(0.040)	(0.036)	(0.035)	(0.022)	(0.044)	(0.042)
state4	-0.1184***	-0.1314***	-0.0900***	-0.0981***	-0.0601**	-0.0356	-0.0261	-0.0372	-0.0465	-0.0276	-0.1404***	-0.1086***	-0.1258***	-0.1839***	-0.1696***	-0.1712***	-0.1572***	-0.1727***	-0.2111***
	(0.011)	(0.017)	(0.025)	(0.024)	(0.027)	(0.029)	(0.031)	(0.033)	(0.033)	(0.034)	(0.035)	(0.036)	(0.036)	(0.036)	(0.036)	(0.037)	(0.031)	(0.032)	(0.032)
state5	0.0584***	0.0593***	-0.0968***	-0.1620***	-0.1871***	-0.1648***	-0.1417***	-0.1477***	-0.1581***	-0.1408***	-0.1368***	-0.0919**	-0.0918**	-0.1024**	-0.0865*	-0.0728	-0.0538	-0.0901	-0.1404**
	(0.011)	(0.018)	(0.023)	(0.024)	(0.022)	(0.022)	(0.019)	(0.024)	(0.033)	(0.028)	(0.033)	(0.044)	(0.044)	(0.049)	(0.049)	(0.052)	(0.053)	(0.057)	(0.061)
state6	-0.0760***	0.0317	-0.0672*	-0.0133	-0.1609***	-0.0623	-0.0165	-0.0608	-0.0635	-0.1143**	-0.1405***	-0.0767	-0.0851*	-0.1055**	-0.0792	-0.0600	-0.0543	-0.0762*	-0.1128**
	(0.015)	(0.025)	(0.036)	(0.034)	(0.038)	(0.041)	(0.044)	(0.046)	(0.047)	(0.048)	(0.049)	(0.051)	(0.050)	(0.051)	(0.051)	(0.053)	(0.044)	(0.046)	(0.045)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0505***	0.0836***	-0.0860***	-0.1229***	-0.0971***	-0.1205***	-0.1080***	-0.1101***	-0.1144***	-0.0729***	-0.0732***	-0.0100	-0.0203	-0.0062	0.0101	0.0483**	0.0798***	0.0183	-0.0157
	(0.008)	(0.009)	(0.016)	(0.014)	(0.016)	(0.015)	(0.016)	(0.017)	(0.017)	(0.018)	(0.021)	(0.019)	(0.020)	(0.020)	(0.020)	(0.020)	(0.015)	(0.017)	(0.016)
state9	0.0595***	0.1616***	0.0185	0.0502***	0.0287**	0.0240	0.0281*	0.0217	0.0197	0.0342*	0.0412**	0.0832***	0.0969***	0.1102***	0.1244***	0.1192***	0.1601***	0.1364***	0.0915***
	(0.006)	(0.009)	(0.013)	(0.013)	(0.014)	(0.015)	(0.017)	(0.018)	(0.018)	(0.018)	(0.019)	(0.019)	(0.019)	(0.019)	(0.020)	(0.020)	(0.017)	(0.017)	(0.017)
state10	0.0573***	0.1549***	-0.0368**	-0.0497***	-0.0305**	0.0048	0.0349	0.0154	0.0200	0.0608***	0.0573***	0.1120***	0.1044***	0.1197***	0.1298***	0.1503***	0.1570***	0.1444***	0.0909***
	(0.012)	(0.011)	(0.016)	(0.014)	(0.015)	(0.021)	(0.023)	(0.024)	(0.020)	(0.020)	(0.019)	(0.020)	(0.020)	(0.019)	(0.018)	(0.020)	(0.019)	(0.021)	(0.019)
state11	0.0224	0.0985***	-0.0615***	-0.1063***	-0.0509**	-0.0201	-0.0003	-0.0115	-0.0053	0.0364*	0.0479**	0.1046***	0.1096***	0.1193***	0.1333***	0.1519***	0.1661***	0.1412***	0.1081***
	(0.014)	(0.013)	(0.018)	(0.016)	(0.022)	(0.020)	(0.021)	(0.021)	(0.022)	(0.022)	(0.022)	(0.024)	(0.023)	(0.024)	(0.026)	(0.024)	(0.023)	(0.021)	(0.021)
