	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.1876	-0.4410***	-0.2445*	-0.2426*	-0.2307	-0.3776**	-0.5849***	-0.6222***	-0.7697***	-1.0343***	-1.0757***	-1.2481***	-1.3125***	-1.4982***	-1.6820***	-1.7542***	-1.8372***	-1.8774***	-1.8136***
	(0.137)	(0.143)	(0.134)	(0.130)	(0.140)	(0.170)	(0.164)	(0.168)	(0.184)	(0.188)	(0.187)	(0.187)	(0.183)	(0.186)	(0.188)	(0.197)	(0.193)	(0.196)	(0.199)
delta_70_80	0.0588	-0.0384	-0.0284	-0.0169	-0.0812	-0.1335	-0.1831*	-0.2327**	-0.2408**	-0.2667**	-0.2417**	-0.2391**	-0.2414**	-0.2224**	-0.2116*	-0.1911	-0.1981	-0.2145*	-0.1887
	(0.054)	(0.068)	(0.070)	(0.067)	(0.083)	(0.093)	(0.094)	(0.096)	(0.107)	(0.104)	(0.105)	(0.106)	(0.101)	(0.108)	(0.110)	(0.118)	(0.120)	(0.122)	(0.124)
delta_80_91	0.0238	0.1363***	0.1957***	0.1400**	0.1645*	0.2234**	0.2183**	0.1632	0.1573	0.1759	0.1408	0.1408	0.1126	0.1546	0.1275	0.1537	0.1827	0.1873	0.1661
	(0.055)	(0.047)	(0.066)	(0.070)	(0.086)	(0.090)	(0.099)	(0.102)	(0.111)	(0.121)	(0.120)	(0.127)	(0.114)	(0.122)	(0.121)	(0.123)	(0.119)	(0.131)	(0.128)
delta_86_90	0.0635	-0.0283	-0.2072	-0.2008	-0.2112	-0.2982*	-0.3381**	-0.3386*	-0.3547**	-0.3521*	-0.3472*	-0.3673*	-0.3351*	-0.3496*	-0.3524*	-0.3551*	-0.4393***	-0.4427**	-0.4739***
	(0.055)	(0.090)	(0.132)	(0.134)	(0.149)	(0.162)	(0.170)	(0.177)	(0.178)	(0.181)	(0.186)	(0.193)	(0.188)	(0.193)	(0.193)	(0.200)	(0.167)	(0.174)	(0.172)
state2	-0.0426***	0.1260***	0.1075***	-0.1156***	-0.1348***	-0.0715***	-0.0253	-0.0275	0.0095	0.0213	-0.0075	0.0075	-0.0088	-0.0373	-0.0090	0.0042	-0.0084	-0.0647*	-0.1177***
	(0.011)	(0.015)	(0.033)	(0.017)	(0.019)	(0.020)	(0.023)	(0.022)	(0.024)	(0.023)	(0.023)	(0.023)	(0.025)	(0.028)	(0.028)	(0.032)	(0.032)	(0.036)	(0.036)
state3	-0.0500**	0.1516***	0.1944***	0.0513**	-0.0376	0.1985***	0.1148***	0.1206***	0.2332***	0.1577***	0.1224***	0.0926**	0.1074**	0.0786*	0.0824*	0.0772	0.0598	0.0745	0.0713
	(0.024)	(0.024)	(0.029)	(0.026)	(0.030)	(0.035)	(0.035)	(0.038)	(0.038)	(0.041)	(0.041)	(0.042)	(0.041)	(0.044)	(0.046)	(0.050)	(0.050)	(0.050)	(0.052)
state4	-0.1485***	-0.0635**	-0.1246***	-0.1225***	-0.0631*	-0.0143	0.0076	0.0225	0.0261	0.0458	-0.0676	-0.0377	-0.0507	-0.1172**	-0.1012**	-0.1138**	-0.1016**	-0.1226**	-0.1800***
	(0.022)	(0.025)	(0.031)	(0.028)	(0.032)	(0.037)	(0.038)	(0.039)	(0.041)	(0.043)	(0.043)	(0.043)	(0.042)	(0.045)	(0.046)	(0.048)	(0.046)	(0.047)	(0.047)
state5	0.0094	0.0622***	-0.1112***	-0.1482***	-0.1547***	-0.1111***	-0.0765**	-0.0613*	-0.0584	-0.0389	-0.0368	0.0011	0.0065	-0.0104	0.0021	0.0095	0.0332	-0.0111	-0.0781**
	(0.017)	(0.023)	(0.024)	(0.021)	(0.028)	(0.031)	(0.033)	(0.034)	(0.037)	(0.037)	(0.036)	(0.037)	(0.034)	(0.037)	(0.036)	(0.038)	(0.037)	(0.039)	(0.039)
state6	-0.1163***	0.0046	-0.1211***	-0.0432	-0.1794***	-0.0719*	-0.0258	-0.0518	-0.0464	-0.1020**	-0.1309***	-0.0731	-0.0747	-0.1055**	-0.0803	-0.0689	-0.0630	-0.0972**	-0.1486***
	(0.020)	(0.026)	(0.037)	(0.035)	(0.038)	(0.041)	(0.043)	(0.044)	(0.044)	(0.048)	(0.048)	(0.049)	(0.048)	(0.049)	(0.050)	(0.051)	(0.046)	(0.047)	(0.046)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0110	0.0786***	-0.1185***	-0.1414***	-0.1030***	-0.1080***	-0.0910***	-0.0786***	-0.0740***	-0.0310	-0.0314	0.0317*	0.0245	0.0333*	0.0519***	0.0846***	0.1151***	0.0456**	-0.0095
	(0.010)	(0.013)	(0.014)	(0.012)	(0.014)	(0.017)	(0.017)	(0.017)	(0.018)	(0.020)	(0.019)	(0.019)	(0.018)	(0.019)	(0.019)	(0.020)	(0.020)	(0.020)	(0.020)
state9	0.0128	0.1655***	-0.0059	0.0339*	0.0339	0.0556**	0.0721**	0.0855***	0.0953***	0.1136***	0.1166***	0.1585***	0.1746***	0.1819***	0.1960***	0.1838***	0.2242***	0.1946***	0.1255***
	(0.017)	(0.018)	(0.022)	(0.020)	(0.024)	(0.027)	(0.028)	(0.029)	(0.031)	(0.031)	(0.031)	(0.032)	(0.030)	(0.033)	(0.033)	(0.036)	(0.035)	(0.036)	(0.036)
