	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																		
rtr_kume_main	-0.6385***	-0.4742***	-0.4779***	-0.4673***	-0.6148***	-0.8248***	-0.8586***	-1.0092***	-1.2637***	-1.3054***	-1.4699***	-1.5488***	-1.7373***	-1.9169***	-1.9959***	-2.0669***	-2.1153***	-2.0385***
	(0.083)	(0.102)	(0.115)	(0.131)	(0.157)	(0.176)	(0.174)	(0.197)	(0.204)	(0.203)	(0.207)	(0.190)	(0.195)	(0.203)	(0.207)	(0.205)	(0.205)	(0.215)
delta_70_80	-0.0966**	-0.0856*	-0.0627	-0.1280*	-0.1790**	-0.2310**	-0.2804***	-0.2919***	-0.3203***	-0.2992***	-0.2971***	-0.3015***	-0.2824***	-0.2691***	-0.2479**	-0.2542**	-0.2734**	-0.2462**
	(0.040)	(0.048)	(0.057)	(0.072)	(0.084)	(0.089)	(0.093)	(0.103)	(0.099)	(0.098)	(0.100)	(0.094)	(0.098)	(0.097)	(0.104)	(0.105)	(0.108)	(0.111)
delta_80_91	0.1174**	0.1813***	0.1252	0.1493	0.2062**	0.2076*	0.1540	0.1490	0.1667	0.1284	0.1273	0.1024	0.1440	0.1167	0.1458	0.1742	0.1793	0.1554
	(0.050)	(0.062)	(0.078)	(0.096)	(0.101)	(0.118)	(0.117)	(0.125)	(0.134)	(0.135)	(0.142)	(0.125)	(0.131)	(0.130)	(0.128)	(0.124)	(0.138)	(0.134)
delta_86_90	-0.0792	-0.2369*	-0.2195	-0.2185	-0.2982*	-0.3458*	-0.3446*	-0.3634*	-0.3616*	-0.3613*	-0.3876*	-0.3487*	-0.3599*	-0.3665*	-0.3700*	-0.4721***	-0.4699**	-0.5082***
	(0.094)	(0.135)	(0.139)	(0.151)	(0.164)	(0.174)	(0.180)	(0.183)	(0.187)	(0.195)	(0.205)	(0.197)	(0.201)	(0.204)	(0.212)	(0.179)	(0.184)	(0.186)
state2	0.1694***	0.1520***	-0.0685***	-0.0864***	-0.0235	0.0213	0.0190	0.0555*	0.0680**	0.0400*	0.0548**	0.0398	0.0118	0.0393	0.0525*	0.0382	-0.0165	-0.0703**
	(0.013)	(0.039)	(0.017)	(0.017)	(0.021)	(0.026)	(0.025)	(0.029)	(0.026)	(0.023)	(0.023)	(0.024)	(0.026)	(0.026)	(0.030)	(0.029)	(0.034)	(0.034)
state3	0.1853***	0.1884***	0.0642**	-0.0444	0.1986***	0.1347***	0.1368***	0.2426***	0.1885***	0.1537***	0.1197***	0.1314***	0.1068**	0.1037**	0.0993**	0.0813*	0.1075**	0.0993**
	(0.020)	(0.024)	(0.025)	(0.030)	(0.034)	(0.037)	(0.040)	(0.039)	(0.041)	(0.042)	(0.044)	(0.041)	(0.043)	(0.044)	(0.046)	(0.046)	(0.046)	(0.048)
state4	0.0815***	0.0156	0.0124	0.0699**	0.1173***	0.1402***	0.1543***	0.1594***	0.1799***	0.0692	0.1005**	0.0865**	0.0195	0.0353	0.0223	0.0378	0.0165	-0.0396
	(0.022)	(0.028)	(0.028)	(0.032)	(0.036)	(0.039)	(0.040)	(0.042)	(0.043)	(0.043)	(0.045)	(0.042)	(0.044)	(0.044)	(0.045)	(0.043)	(0.044)	(0.045)
state5	0.0515***	-0.1206***	-0.1623***	-0.1711***	-0.1289***	-0.0932***	-0.0778**	-0.0733**	-0.0555	-0.0515	-0.0115	-0.0056	-0.0225	-0.0101	-0.0019	0.0226	-0.0212	-0.0876**
	(0.014)	(0.019)	(0.020)	(0.025)	(0.030)	(0.032)	(0.034)	(0.036)	(0.035)	(0.035)	(0.035)	(0.033)	(0.034)	(0.033)	(0.034)	(0.032)	(0.034)	(0.035)
state6	0.1145***	-0.0176	0.0568	-0.0836**	0.0229	0.0693	0.0415	0.0479	-0.0076	-0.0332	0.0249	0.0222	-0.0092	0.0159	0.0267	0.0373	0.0024	-0.0476
	(0.027)	(0.036)	(0.035)	(0.037)	(0.041)	(0.043)	(0.045)	(0.045)	(0.047)	(0.049)	(0.051)	(0.049)	(0.050)	(0.051)	(0.052)	(0.047)	(0.047)	(0.048)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																		
state8	0.0664***	-0.1304***	-0.1585***	-0.1224***	-0.1260***	-0.1080***	-0.0959***	-0.0893***	-0.0471**	-0.0455**	0.0183	0.0120	0.0205	0.0381**	0.0716***	0.1033***	0.0338*	-0.0202
	(0.010)	(0.012)	(0.012)	(0.014)	(0.016)	(0.018)	(0.018)	(0.018)	(0.019)	(0.019)	(0.019)	(0.018)	(0.018)	(0.018)	(0.019)	(0.018)	(0.018)	(0.019)
state9	0.1508***	-0.0226	0.0116	0.0116	0.0318	0.0497*	0.0624**	0.0733**	0.0921***	0.0970***	0.1401***	0.1559***	0.1628***	0.1764***	0.1639***	0.2063***	0.1768***	0.1088***
	(0.014)	(0.018)	(0.019)	(0.022)	(0.025)	(0.028)	(0.029)	(0.031)	(0.030)	(0.030)	(0.031)	(0.029)	(0.031)	(0.031)	(0.032)	(0.032)	(0.032)	(0.033)
state10	0.1665***	-0.0359	-0.0565*	-0.0046	0.0692	0.1142**	0.1152**	0.1308**	0.1757***	0.1584***	0.2112***	0.2068***	0.2146***	0.2167***	0.2303***	0.2405***	0.2304***	0.1435***
	(0.018)	(0.026)	(0.029)	(0.039)	(0.045)	(0.049)	(0.051)	(0.055)	(0.054)	(0.052)	(0.053)	(0.049)	(0.051)	(0.049)	(0.050)	(0.048)	(0.052)	(0.051)
