	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_NT	0.8313*	-0.2639	-0.1344	-0.7980	-0.5856	-0.8478	-1.3690**	-1.5438***	-1.7578***	-2.3353***	-2.4427***	-2.8866***	-3.0791***	-3.3493***	-3.9900***	-4.1740***	-4.4884***	-4.6522***	-4.6242***
	(0.487)	(0.559)	(0.408)	(0.489)	(0.479)	(0.550)	(0.568)	(0.542)	(0.577)	(0.576)	(0.590)	(0.623)	(0.644)	(0.643)	(0.670)	(0.674)	(0.700)	(0.663)	(0.696)
delta_86_90	0.0603	-0.0376	-0.1747	-0.1469	-0.1491	-0.2166*	-0.2810**	-0.3017**	-0.3320**	-0.3492**	-0.3502**	-0.3905**	-0.3735**	-0.3830**	-0.4045**	-0.4064**	-0.4655***	-0.4715***	-0.4918***
	(0.053)	(0.081)	(0.111)	(0.108)	(0.119)	(0.128)	(0.139)	(0.147)	(0.148)	(0.157)	(0.159)	(0.168)	(0.167)	(0.171)	(0.174)	(0.179)	(0.151)	(0.158)	(0.153)
state2	-0.0039	0.1241***	0.1339***	-0.0960***	-0.1269***	-0.0799***	-0.0434**	-0.0634***	-0.0391**	-0.0316**	-0.0587***	-0.0475***	-0.0676***	-0.0921***	-0.0679***	-0.0510*	-0.0599**	-0.1100***	-0.1394***
	(0.007)	(0.007)	(0.030)	(0.009)	(0.011)	(0.012)	(0.017)	(0.015)	(0.017)	(0.014)	(0.013)	(0.015)	(0.019)	(0.022)	(0.022)	(0.026)	(0.026)	(0.032)	(0.032)
state3	0.0336***	0.0751***	-0.1344**	-0.1238***	-0.2181***	-0.1003***	-0.0761***	-0.1771***	-0.1495***	-0.1981***	-0.1441***	-0.1259***	-0.1362***	-0.1605***	-0.1519***	-0.1408***	-0.1026***	-0.1597***	-0.1587***
	(0.011)	(0.023)	(0.067)	(0.039)	(0.030)	(0.029)	(0.019)	(0.039)	(0.049)	(0.060)	(0.042)	(0.032)	(0.035)	(0.039)	(0.035)	(0.034)	(0.020)	(0.042)	(0.039)
state4	-0.1235***	-0.1274***	-0.0887***	-0.0942***	-0.0575**	-0.0312	-0.0180	-0.0279	-0.0352	-0.0120	-0.1239***	-0.0887**	-0.1043***	-0.1602***	-0.1417***	-0.1420***	-0.1262***	-0.1408***	-0.1796***
	(0.011)	(0.018)	(0.025)	(0.024)	(0.026)	(0.029)	(0.031)	(0.033)	(0.033)	(0.035)	(0.035)	(0.037)	(0.037)	(0.038)	(0.038)	(0.039)	(0.033)	(0.035)	(0.034)
state5	0.0627***	0.0461***	-0.1002***	-0.1626***	-0.1863***	-0.1666***	-0.1501***	-0.1567***	-0.1712***	-0.1613***	-0.1587***	-0.1194***	-0.1204***	-0.1361***	-0.1256***	-0.1138***	-0.0952***	-0.1320***	-0.1807***
	(0.007)	(0.012)	(0.021)	(0.022)	(0.022)	(0.020)	(0.017)	(0.019)	(0.022)	(0.018)	(0.019)	(0.022)	(0.022)	(0.022)	(0.021)	(0.021)	(0.019)	(0.020)	(0.023)
state6	-0.0684***	0.0193	-0.0708**	-0.0180	-0.1632***	-0.0681	-0.0305	-0.0767	-0.0846*	-0.1451***	-0.1741***	-0.1180**	-0.1285**	-0.1556***	-0.1378**	-0.1215**	-0.1178**	-0.1408***	-0.1761***
	(0.016)	(0.026)	(0.035)	(0.035)	(0.038)	(0.041)	(0.044)	(0.047)	(0.048)	(0.050)	(0.051)	(0.054)	(0.053)	(0.055)	(0.056)	(0.057)	(0.048)	(0.050)	(0.049)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0566***	0.0727***	-0.0890***	-0.1260***	-0.0984***	-0.1246***	-0.1188***	-0.1222***	-0.1309***	-0.0970***	-0.0994***	-0.0423	-0.0536*	-0.0449	-0.0357	0.0005	0.0305	-0.0320	-0.0650**
	(0.011)	(0.009)	(0.015)	(0.015)	(0.017)	(0.015)	(0.018)	(0.020)	(0.022)	(0.025)	(0.031)	(0.029)	(0.031)	(0.034)	(0.036)	(0.037)	(0.026)	(0.033)	(0.029)
state9	0.0592***	0.1667***	0.0196	0.0488***	0.0271*	0.0230	0.0287*	0.0225	0.0221	0.0386**	0.0464**	0.0903***	0.1045***	0.1197***	0.1350***	0.1304***	0.1710***	0.1472***	0.1017***
	(0.006)	(0.009)	(0.013)	(0.013)	(0.014)	(0.015)	(0.016)	(0.017)	(0.018)	(0.018)	(0.019)	(0.020)	(0.020)	(0.020)	(0.020)	(0.021)	(0.018)	(0.018)	(0.018)
state10	0.0579***	0.1306***	-0.0426***	-0.0429***	-0.0229	0.0097	0.0318	0.0117	0.0089	0.0398*	0.0331	0.0794***	0.0704***	0.0767**	0.0811**	0.0990***	0.1076***	0.0958**	0.0449
	(0.013)	(0.015)	(0.015)	(0.014)	(0.015)	(0.021)	(0.021)	(0.022)	(0.019)	(0.023)	(0.022)	(0.025)	(0.027)	(0.030)	(0.032)	(0.035)	(0.031)	(0.037)	(0.031)
state11	0.0277**	0.0771***	-0.0669***	-0.1057***	-0.0483**	-0.0212	-0.0113	-0.0244	-0.0257	0.0042	0.0118	0.0586*	0.0615**	0.0615*	0.0665*	0.0820***	0.0955***	0.0703**	0.0398
	(0.012)	(0.014)	(0.017)	(0.016)	(0.021)	(0.019)	(0.023)	(0.022)	(0.025)	(0.025)	(0.024)	(0.031)	(0.031)	(0.033)	(0.037)	(0.031)	(0.035)	(0.029)	(0.027)
