	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.2315**	-0.2045*	0.0785	0.1310	0.1278	0.0925	-0.1676	-0.2582	-0.4215***	-0.7554***	-0.8960***	-1.1738***	-1.2349***	-1.4195***	-1.7085***	-1.8104***	-1.8409***	-1.8962***	-1.8953***
	(0.114)	(0.106)	(0.113)	(0.148)	(0.144)	(0.170)	(0.158)	(0.161)	(0.151)	(0.152)	(0.156)	(0.157)	(0.164)	(0.163)	(0.172)	(0.191)	(0.200)	(0.193)	(0.209)
delta_86_90	0.0227	-0.0324	-0.1606**	-0.1554*	-0.1887**	-0.2515**	-0.3096***	-0.3344***	-0.3399***	-0.3685***	-0.3646***	-0.3925***	-0.3904***	-0.4008***	-0.4136***	-0.4179***	-0.4789***	-0.4807***	-0.5130***
	(0.047)	(0.065)	(0.081)	(0.079)	(0.095)	(0.100)	(0.108)	(0.117)	(0.118)	(0.131)	(0.131)	(0.137)	(0.139)	(0.141)	(0.143)	(0.148)	(0.129)	(0.132)	(0.128)
state2	-0.0412***	0.0609***	-0.0557***	-0.1623***	-0.2337***	-0.1511***	-0.0819***	-0.1087***	-0.0812***	-0.0766***	-0.1152***	-0.0966***	-0.1217***	-0.1433***	-0.1134***	-0.1016***	-0.1070***	-0.1601***	-0.1943***
	(0.006)	(0.012)	(0.008)	(0.011)	(0.020)	(0.012)	(0.008)	(0.009)	(0.009)	(0.010)	(0.016)	(0.018)	(0.024)	(0.026)	(0.024)	(0.030)	(0.031)	(0.037)	(0.037)
state3	0.0328*	0.0092	-0.2159***	-0.2214***	-0.2505***	-0.1519***	-0.1518***	-0.2692***	-0.2526***	-0.2941***	-0.2279***	-0.2370***	-0.2332***	-0.2503***	-0.2208***	-0.2188***	-0.2251***	-0.2702***	-0.2805***
	(0.017)	(0.037)	(0.066)	(0.038)	(0.023)	(0.013)	(0.040)	(0.026)	(0.023)	(0.024)	(0.029)	(0.032)	(0.030)	(0.030)	(0.031)	(0.031)	(0.042)	(0.023)	(0.023)
state4	-0.1598***	-0.1744***	-0.1743***	-0.1623***	-0.1060***	-0.0657***	-0.0518**	-0.0723***	-0.0940***	-0.0738**	-0.1767***	-0.1438***	-0.1603***	-0.2121***	-0.1968***	-0.1981***	-0.1788***	-0.1910***	-0.2468***
	(0.010)	(0.014)	(0.019)	(0.018)	(0.022)	(0.023)	(0.025)	(0.027)	(0.028)	(0.030)	(0.030)	(0.032)	(0.032)	(0.032)	(0.033)	(0.034)	(0.030)	(0.030)	(0.029)
state5	0.0213*	0.0190	-0.1287***	-0.1760***	-0.1936***	-0.1593***	-0.1327***	-0.1364***	-0.1445***	-0.1206***	-0.1189***	-0.0680*	-0.0645*	-0.0700	-0.0540	-0.0375	-0.0187	-0.0601	-0.1131*
	(0.012)	(0.016)	(0.012)	(0.015)	(0.014)	(0.014)	(0.011)	(0.016)	(0.025)	(0.022)	(0.030)	(0.040)	(0.039)	(0.043)	(0.044)	(0.047)	(0.050)	(0.056)	(0.061)
state6	-0.1285***	-0.0848***	0.1698***	0.1454***	-0.0409*	-0.1483***	-0.0969***	0.0188	0.0068	-0.1875***	-0.2200***	-0.1558***	-0.1525***	-0.1574***	-0.1374***	-0.1115***	-0.1045***	-0.1393***	-0.1794***
	(0.011)	(0.016)	(0.022)	(0.021)	(0.024)	(0.026)	(0.028)	(0.031)	(0.031)	(0.033)	(0.034)	(0.035)	(0.035)	(0.036)	(0.036)	(0.038)	(0.034)	(0.034)	(0.034)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0003	0.0198	-0.1135***	-0.1257***	-0.1011***	-0.1150***	-0.1029***	-0.0974***	-0.1005***	-0.0554*	-0.0613*	0.0070	-0.0011	0.0156	0.0295	0.0666**	0.1054***	0.0315	0.0015
	(0.006)	(0.016)	(0.012)	(0.024)	(0.027)	(0.020)	(0.024)	(0.027)	(0.031)	(0.030)	(0.034)	(0.028)	(0.031)	(0.032)	(0.029)	(0.029)	(0.019)	(0.025)	(0.022)
state9	0.0093**	0.1185***	0.0102	0.0588***	0.0344***	0.0351***	0.0457***	0.0318***	0.0284***	0.0408***	0.0407***	0.0821***	0.0964***	0.1134***	0.1214***	0.1174***	0.1560***	0.1261***	0.0786***
	(0.004)	(0.005)	(0.007)	(0.007)	(0.008)	(0.009)	(0.009)	(0.010)	(0.010)	(0.011)	(0.012)	(0.012)	(0.012)	(0.012)	(0.012)	(0.013)	(0.011)	(0.011)	(0.011)
state10	0.0242**	0.1005***	-0.0927***	-0.0757***	-0.0615***	-0.0123	0.0263	0.0129	0.0102	0.0607***	0.0616***	0.1203***	0.1142***	0.1254***	0.1459***	0.1622***	0.1700***	0.1503***	0.0938***
	(0.011)	(0.014)	(0.024)	(0.015)	(0.015)	(0.018)	(0.019)	(0.020)	(0.017)	(0.016)	(0.016)	(0.017)	(0.017)	(0.016)	(0.017)	(0.019)	(0.020)	(0.020)	(0.020)
state11	-0.0098	0.0328***	-0.1042***	-0.1414***	-0.0699***	-0.0495***	-0.0351*	-0.0458**	-0.0470**	0.0042	0.0241	0.0823***	0.0925***	0.1080***	0.1349***	0.1576***	0.1690***	0.1377***	0.1038***
	(0.011)	(0.009)	(0.014)	(0.013)	(0.017)	(0.015)	(0.021)	(0.019)	(0.021)	(0.020)	(0.017)	(0.023)	(0.022)	(0.023)	(0.026)	(0.021)	(0.028)	(0.023)	(0.021)
