	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																
rtr_kume_main	-0.0903	-0.0489	-0.1331	-0.3201**	-0.3450**	-0.4901***	-0.7359***	-0.7902***	-0.9745***	-1.0587***	-1.2352***	-1.4460***	-1.5465***	-1.5712***	-1.6106***	-1.5800***
	(0.134)	(0.113)	(0.155)	(0.155)	(0.153)	(0.163)	(0.157)	(0.163)	(0.171)	(0.166)	(0.172)	(0.181)	(0.195)	(0.203)	(0.194)	(0.205)
delta_86_90	-0.1534	-0.1545	-0.2183	-0.2673*	-0.2857*	-0.3031**	-0.3023*	-0.2962*	-0.3236**	-0.3049*	-0.3009*	-0.3144*	-0.3157*	-0.3764***	-0.3822**	-0.4072***
	(0.111)	(0.122)	(0.132)	(0.141)	(0.149)	(0.149)	(0.155)	(0.157)	(0.163)	(0.162)	(0.163)	(0.165)	(0.170)	(0.140)	(0.146)	(0.143)
state2	-0.0983***	-0.1339***	-0.0860***	-0.0564***	-0.0794***	-0.0538***	-0.0503***	-0.0811***	-0.0694***	-0.0847***	-0.1089***	-0.0803***	-0.0552**	-0.0652**	-0.1156***	-0.1432***
	(0.012)	(0.014)	(0.015)	(0.020)	(0.018)	(0.020)	(0.018)	(0.015)	(0.016)	(0.018)	(0.020)	(0.020)	(0.024)	(0.025)	(0.030)	(0.030)
state3	-0.1270***	-0.2225***	-0.1060***	-0.0908***	-0.1936***	-0.1686***	-0.2244***	-0.1729***	-0.1587***	-0.1684***	-0.1968***	-0.1901***	-0.1770***	-0.1393***	-0.1974***	-0.1953***
	(0.041)	(0.034)	(0.033)	(0.023)	(0.045)	(0.055)	(0.067)	(0.050)	(0.040)	(0.042)	(0.046)	(0.042)	(0.040)	(0.026)	(0.048)	(0.046)
state4	-0.0972***	-0.0582**	-0.0333	-0.0209	-0.0312	-0.0398	-0.0186	-0.1304***	-0.0979***	-0.1154***	-0.1728***	-0.1583***	-0.1612***	-0.1470***	-0.1621***	-0.2011***
	(0.024)	(0.026)	(0.028)	(0.030)	(0.032)	(0.032)	(0.034)	(0.034)	(0.035)	(0.035)	(0.035)	(0.035)	(0.036)	(0.030)	(0.031)	(0.030)
state5	-0.1610***	-0.1842***	-0.1623***	-0.1402***	-0.1472***	-0.1578***	-0.1405***	-0.1373***	-0.0939**	-0.0928**	-0.1036**	-0.0884*	-0.0737	-0.0556	-0.0911*	-0.1408**
	(0.024)	(0.022)	(0.022)	(0.019)	(0.024)	(0.033)	(0.027)	(0.032)	(0.042)	(0.042)	(0.046)	(0.047)	(0.049)	(0.050)	(0.054)	(0.059)
state6	-0.0143	-0.1568***	-0.0608	-0.0264	-0.0769	-0.0809	-0.1363***	-0.1671***	-0.1106**	-0.1120**	-0.1353**	-0.1118**	-0.0845	-0.0837*	-0.1044**	-0.1381***
	(0.039)	(0.043)	(0.046)	(0.048)	(0.050)	(0.050)	(0.052)	(0.052)	(0.055)	(0.054)	(0.055)	(0.056)	(0.058)	(0.050)	(0.051)	(0.051)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																
