	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.1382	-0.3554***	-0.1396	-0.1128	-0.0442	-0.0922	-0.2948**	-0.4662***	-0.4815***	-0.7819***	-0.8610***	-1.1251***	-1.2310***	-1.4746***	-1.6598***	-1.6644***	-1.7047***	-1.8372***	-1.7278***
	(0.107)	(0.098)	(0.118)	(0.118)	(0.108)	(0.144)	(0.141)	(0.149)	(0.161)	(0.158)	(0.186)	(0.168)	(0.188)	(0.184)	(0.175)	(0.187)	(0.205)	(0.213)	(0.207)
rer_imports	0.2957**	0.1116	0.1495	0.1358	0.1581	0.2903*	0.3840**	0.4458	0.5700*	0.3689	0.1222	0.1329	0.1377	0.2424*	0.2821*	0.2919*	0.3121*	0.3619**	0.3738*
	(0.138)	(0.170)	(0.176)	(0.133)	(0.149)	(0.175)	(0.193)	(0.291)	(0.327)	(0.332)	(0.088)	(0.102)	(0.124)	(0.141)	(0.155)	(0.162)	(0.162)	(0.167)	(0.201)
rer_exports	-0.3579	0.1062	0.1670	0.0505	0.0843	0.1702	0.3520**	0.2585	-0.1641	0.1268	-0.4838*	-0.4893*	-0.3679	0.0840	0.2003	0.3520	0.1954	-0.1256	-0.1661
	(0.234)	(0.311)	(0.189)	(0.160)	(0.182)	(0.174)	(0.166)	(0.213)	(0.280)	(0.259)	(0.262)	(0.285)	(0.309)	(0.385)	(0.396)	(0.429)	(0.438)	(0.421)	(0.355)
delta_86_90	0.0487	-0.0118	-0.1649	-0.1571	-0.1581	-0.2216*	-0.2716*	-0.3028**	-0.3287**	-0.3226**	-0.2900*	-0.3161*	-0.2981*	-0.2933*	-0.3010*	-0.2996*	-0.3602***	-0.3638**	-0.3887***
	(0.051)	(0.082)	(0.116)	(0.115)	(0.126)	(0.132)	(0.138)	(0.152)	(0.156)	(0.159)	(0.160)	(0.167)	(0.166)	(0.162)	(0.162)	(0.165)	(0.135)	(0.142)	(0.137)
state2	-0.0016	0.1276***	0.1362***	-0.0950***	-0.1264***	-0.0779***	-0.0413*	-0.0578***	-0.0231	-0.0144	-0.0456***	-0.0361***	-0.0549***	-0.0785***	-0.0528***	-0.0379***	-0.0457***	-0.0957***	-0.1258***
	(0.008)	(0.007)	(0.031)	(0.010)	(0.012)	(0.013)	(0.023)	(0.016)	(0.017)	(0.015)	(0.013)	(0.013)	(0.015)	(0.015)	(0.013)	(0.014)	(0.015)	(0.022)	(0.023)
state3	0.0450***	0.0750***	-0.1603**	-0.1518***	-0.2578***	-0.1778***	-0.1986***	-0.2131***	-0.1689***	-0.2057***	-0.1714***	-0.1586***	-0.1627***	-0.2128***	-0.2370***	-0.2632***	-0.2220***	-0.2440***	-0.2439***
	(0.016)	(0.024)	(0.071)	(0.047)	(0.045)	(0.047)	(0.043)	(0.045)	(0.056)	(0.063)	(0.042)	(0.033)	(0.035)	(0.047)	(0.055)	(0.066)	(0.066)	(0.072)	(0.073)
state4	-0.1628***	-0.1245***	-0.1139***	-0.1169**	-0.0915	-0.0979*	-0.1386**	-0.0629*	-0.0481	-0.0437	-0.1845***	-0.1536***	-0.1523***	-0.2111***	-0.2177***	-0.2564***	-0.2244**	-0.1788*	-0.1946*
	(0.026)	(0.023)	(0.039)	(0.047)	(0.057)	(0.058)	(0.058)	(0.038)	(0.043)	(0.035)	(0.041)	(0.046)	(0.044)	(0.052)	(0.071)	(0.091)	(0.103)	(0.096)	(0.106)
state5	0.0592***	0.0600***	-0.1033***	-0.1711***	-0.2012***	-0.1931***	-0.1873***	-0.1615***	-0.1693***	-0.1414***	-0.1452***	-0.1006**	-0.0976**	-0.1160**	-0.1129**	-0.1161*	-0.0977*	-0.1185**	-0.1714***
	(0.011)	(0.017)	(0.026)	(0.029)	(0.029)	(0.029)	(0.029)	(0.022)	(0.026)	(0.023)	(0.035)	(0.048)	(0.046)	(0.051)	(0.055)	(0.060)	(0.058)	(0.057)	(0.063)
state6	-0.0767***	0.0318	-0.0744**	-0.0240	-0.1762***	-0.0928**	-0.0682	-0.0775*	-0.0796*	-0.1222**	-0.1668***	-0.1066**	-0.1107**	-0.1372**	-0.1250**	-0.1230**	-0.1194**	-0.1283**	-0.1625***
	(0.013)	(0.027)	(0.036)	(0.038)	(0.042)	(0.044)	(0.046)	(0.046)	(0.047)	(0.049)	(0.050)	(0.052)	(0.052)	(0.053)	(0.054)	(0.057)	(0.050)	(0.050)	(0.048)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0619***	0.0850***	-0.0819***	-0.1178***	-0.0922***	-0.1136***	-0.0977***	-0.0913***	-0.0905***	-0.0543*	-0.0860***	-0.0273	-0.0352*	-0.0156	-0.0032	0.0352	0.0638***	-0.0006	-0.0410**
	(0.007)	(0.012)	(0.018)	(0.018)	(0.021)	(0.019)	(0.026)	(0.029)	(0.033)	(0.032)	(0.020)	(0.020)	(0.021)	(0.023)	(0.024)	(0.026)	(0.018)	(0.018)	(0.020)
state9	0.0705***	0.1633***	0.0276	0.0605***	0.0418**	0.0462**	0.0655***	0.0574**	0.0550*	0.0576*	0.0312*	0.0658***	0.0822***	0.1150***	0.1307***	0.1331***	0.1700***	0.1387***	0.0830***
	(0.006)	(0.013)	(0.017)	(0.013)	(0.016)	(0.019)	(0.022)	(0.028)	(0.032)	(0.033)	(0.019)	(0.022)	(0.022)	(0.022)	(0.022)	(0.026)	(0.023)	(0.019)	(0.022)
