	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.1754*	-0.3395***	-0.1086	-0.0962	-0.0784	-0.1787	-0.3720**	-0.3994***	-0.5413***	-0.7534***	-0.8259***	-0.9813***	-1.0258***	-1.2334***	-1.4681***	-1.4933***	-1.7896***	-1.8325***	-1.8085***
	(0.103)	(0.095)	(0.111)	(0.120)	(0.124)	(0.154)	(0.162)	(0.139)	(0.137)	(0.163)	(0.159)	(0.198)	(0.209)	(0.171)	(0.158)	(0.169)	(0.195)	(0.208)	(0.218)
rtc_post					0.8242	1.8772	1.3114	1.9203	3.7064	1.0047	1.7470	2.0669	2.4201	2.4191	1.5119	2.6983	2.2104	1.9976	2.1247
					(1.912)	(2.735)	(3.075)	(3.425)	(3.273)	(2.715)	(3.957)	(3.624)	(3.627)	(3.872)	(2.612)	(2.792)	(1.464)	(1.512)	(1.425)
delta_86_90	0.0592	-0.0051	-0.1655	-0.1548	-0.1568	-0.2193*	-0.2723*	-0.2891*	-0.2999**	-0.3088*	-0.3009*	-0.3266*	-0.3042*	-0.3040*	-0.3209*	-0.3152*	-0.3783***	-0.3879***	-0.4136***
	(0.055)	(0.079)	(0.112)	(0.110)	(0.121)	(0.131)	(0.140)	(0.149)	(0.149)	(0.157)	(0.159)	(0.165)	(0.164)	(0.164)	(0.165)	(0.168)	(0.138)	(0.144)	(0.140)
state2	-0.0062	0.1274***	0.1352***	-0.0946***	-0.1268***	-0.0788***	-0.0389**	-0.0577***	-0.0303	-0.0209	-0.0467***	-0.0331**	-0.0520***	-0.0755***	-0.0490***	-0.0298	-0.0378*	-0.0878***	-0.1181***
	(0.007)	(0.006)	(0.030)	(0.009)	(0.012)	(0.012)	(0.017)	(0.016)	(0.019)	(0.016)	(0.013)	(0.014)	(0.017)	(0.019)	(0.018)	(0.022)	(0.021)	(0.027)	(0.027)
state3	0.0362***	0.0690***	-0.1362**	-0.1249***	-0.2164***	-0.0984***	-0.0819***	-0.1854***	-0.1635***	-0.2117***	-0.1557***	-0.1425***	-0.1538***	-0.1780***	-0.1734***	-0.1617***	-0.1237***	-0.1817***	-0.1804***
	(0.012)	(0.022)	(0.067)	(0.040)	(0.032)	(0.031)	(0.020)	(0.041)	(0.051)	(0.062)	(0.043)	(0.033)	(0.036)	(0.040)	(0.036)	(0.035)	(0.021)	(0.042)	(0.040)
state4	-0.1189***	-0.1302***	-0.0898***	-0.0980***	-0.0585**	-0.0327	-0.0277	-0.0416	-0.0574	-0.0299	-0.1413***	-0.1124***	-0.1306***	-0.1828***	-0.1667***	-0.1687***	-0.1460***	-0.1608***	-0.1987***
	(0.011)	(0.017)	(0.025)	(0.024)	(0.027)	(0.029)	(0.031)	(0.035)	(0.036)	(0.037)	(0.036)	(0.039)	(0.039)	(0.036)	(0.036)	(0.036)	(0.030)	(0.032)	(0.031)
state5	0.0589***	0.0574***	-0.0968***	-0.1613***	-0.1863***	-0.1649***	-0.1429***	-0.1501***	-0.1627***	-0.1437***	-0.1395***	-0.0968**	-0.0975**	-0.1079**	-0.0910*	-0.0787	-0.0592	-0.0943*	-0.1448**
	(0.010)	(0.017)	(0.023)	(0.024)	(0.022)	(0.021)	(0.018)	(0.024)	(0.032)	(0.028)	(0.032)	(0.042)	(0.041)	(0.045)	(0.046)	(0.048)	(0.049)	(0.053)	(0.058)
state6	-0.0736***	0.0261	-0.0685*	-0.0139	-0.1654***	-0.0723*	-0.0258	-0.0711	-0.0800*	-0.1261**	-0.1552***	-0.0991*	-0.1099**	-0.1309**	-0.1036**	-0.0892*	-0.0707*	-0.0907**	-0.1261***
	(0.015)	(0.024)	(0.035)	(0.034)	(0.039)	(0.043)	(0.046)	(0.048)	(0.048)	(0.049)	(0.050)	(0.054)	(0.054)	(0.053)	(0.051)	(0.052)	(0.042)	(0.045)	(0.044)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0508***	0.0821***	-0.0859***	-0.1224***	-0.0970***	-0.1217***	-0.1082***	-0.1107***	-0.1156***	-0.0745***	-0.0769***	-0.0129	-0.0235	-0.0109	0.0067	0.0441**	0.0735***	0.0137	-0.0209
	(0.008)	(0.009)	(0.016)	(0.014)	(0.016)	(0.015)	(0.016)	(0.017)	(0.018)	(0.019)	(0.023)	(0.019)	(0.020)	(0.021)	(0.020)	(0.020)	(0.014)	(0.016)	(0.015)
state9	0.0598***	0.1615***	0.0181	0.0496***	0.0291**	0.0249	0.0311*	0.0257	0.0272	0.0336*	0.0378*	0.0843***	0.0985***	0.1072***	0.1212***	0.1160***	0.1443***	0.1208***	0.0745***
	(0.007)	(0.009)	(0.013)	(0.013)	(0.015)	(0.016)	(0.019)	(0.019)	(0.018)	(0.018)	(0.019)	(0.019)	(0.019)	(0.019)	(0.020)	(0.020)	(0.018)	(0.019)	(0.018)
state10	0.0570***	0.1532***	-0.0360**	-0.0478***	-0.0274*	0.0077	0.0378	0.0169	0.0211	0.0609***	0.0585***	0.1144***	0.1066***	0.1174***	0.1294***	0.1461***	0.1199***	0.1103***	0.0533*
	(0.012)	(0.011)	(0.016)	(0.014)	(0.015)	(0.022)	(0.023)	(0.024)	(0.020)	(0.022)	(0.020)	(0.019)	(0.019)	(0.021)	(0.019)	(0.021)	(0.032)	(0.036)	(0.032)
