	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.3935***	0.0345	0.3672***	0.3165*	0.2163	0.3045	0.1201	0.0461	0.0456	-0.4106***	-0.6244***	-0.9046***	-0.9539***	-1.1923***	-1.4855***	-1.6767***	-1.7507***	-1.8361***	-1.9054***
	(0.107)	(0.117)	(0.123)	(0.171)	(0.169)	(0.187)	(0.164)	(0.169)	(0.214)	(0.152)	(0.144)	(0.144)	(0.151)	(0.147)	(0.164)	(0.178)	(0.177)	(0.167)	(0.182)
delta_86_90	0.0908**	0.0950	-0.0391	-0.0934	-0.1358	-0.2023*	-0.2460**	-0.2922**	-0.3247***	-0.3069**	-0.3109**	-0.3349***	-0.3312***	-0.3621***	-0.3865***	-0.4024***	-0.4544***	-0.4516***	-0.4927***
	(0.038)	(0.071)	(0.082)	(0.089)	(0.095)	(0.108)	(0.114)	(0.118)	(0.124)	(0.125)	(0.123)	(0.125)	(0.126)	(0.129)	(0.129)	(0.132)	(0.108)	(0.113)	(0.112)
state2	-0.0563***	0.1172***	0.0026	-0.1417***	-0.2063***	-0.1327***	-0.1359***	-0.1493***	-0.1272***	-0.1311***	-0.1650***	-0.1463***	-0.1679***	-0.2037***	-0.1682***	-0.1591***	-0.1659***	-0.2161***	-0.2303***
	(0.006)	(0.009)	(0.011)	(0.013)	(0.016)	(0.013)	(0.013)	(0.014)	(0.013)	(0.013)	(0.019)	(0.021)	(0.026)	(0.029)	(0.026)	(0.033)	(0.033)	(0.042)	(0.040)
state3	0.0106	0.0081	-0.2365***	-0.2458***	-0.2694***	-0.2223***	-0.2017***	-0.2667***	-0.2519***	-0.2565***	-0.2276***	-0.2598***	-0.2581***	-0.2815***	-0.2529***	-0.2747***	-0.2852***	-0.3069***	-0.3198***
	(0.026)	(0.033)	(0.072)	(0.050)	(0.020)	(0.019)	(0.068)	(0.047)	(0.034)	(0.043)	(0.052)	(0.056)	(0.058)	(0.052)	(0.051)	(0.054)	(0.074)	(0.045)	(0.045)
state4	-0.1770***	-0.2005***	-0.2138***	-0.1799***	-0.1511***	-0.1199***	-0.1495***	-0.1429***	-0.1590***	-0.1070***	-0.2560***	-0.1867***	-0.1967***	-0.2443***	-0.2313***	-0.2217***	-0.2075***	-0.2354***	-0.2654***
	(0.007)	(0.015)	(0.017)	(0.019)	(0.020)	(0.022)	(0.024)	(0.025)	(0.026)	(0.026)	(0.026)	(0.026)	(0.026)	(0.027)	(0.027)	(0.027)	(0.023)	(0.023)	(0.023)
state5	-0.0020	0.0075	-0.1477***	-0.1626***	-0.2000***	-0.1509***	-0.1455***	-0.1473***	-0.1752***	-0.1589***	-0.1600***	-0.1221***	-0.1215***	-0.1332***	-0.1161**	-0.1008**	-0.0815	-0.1254**	-0.1600***
	(0.012)	(0.017)	(0.011)	(0.020)	(0.013)	(0.014)	(0.011)	(0.015)	(0.025)	(0.020)	(0.028)	(0.038)	(0.038)	(0.042)	(0.046)	(0.048)	(0.054)	(0.055)	(0.059)
state6	-0.2234***	-0.2241***	0.2340***	0.2825***	-0.0655**	-0.2659***	-0.2386***	0.0052	-0.0110	-0.3057***	-0.3306***	-0.2701***	-0.2708***	-0.2563***	-0.2335***	-0.2014***	-0.2017***	-0.2346***	-0.2577***
	(0.010)	(0.021)	(0.025)	(0.027)	(0.027)	(0.031)	(0.033)	(0.035)	(0.036)	(0.037)	(0.036)	(0.036)	(0.036)	(0.037)	(0.037)	(0.039)	(0.032)	(0.033)	(0.033)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	-0.0005	0.0136	-0.1259***	-0.1152***	-0.1234***	-0.1179***	-0.1241***	-0.1184***	-0.1448***	-0.1302***	-0.1342***	-0.0820**	-0.0866**	-0.0823*	-0.0765*	-0.0425	-0.0090	-0.0907**	-0.1176***
	(0.005)	(0.011)	(0.011)	(0.025)	(0.020)	(0.017)	(0.025)	(0.029)	(0.038)	(0.042)	(0.045)	(0.039)	(0.041)	(0.045)	(0.044)	(0.045)	(0.033)	(0.045)	(0.044)
state9	-0.0095**	0.1620***	-0.0367***	0.0128	-0.0708***	-0.0550***	-0.0590***	-0.0652***	-0.0726***	-0.0721***	-0.0727***	-0.0212	0.0022	0.0114	0.0209	0.0006	0.0435***	0.0051	-0.0408***
	(0.004)	(0.007)	(0.008)	(0.010)	(0.010)	(0.012)	(0.012)	(0.013)	(0.014)	(0.013)	(0.013)	(0.013)	(0.013)	(0.014)	(0.014)	(0.014)	(0.011)	(0.012)	(0.012)
state10	-0.0025	0.0792***	-0.1052***	-0.0847***	-0.0616***	-0.0228	-0.0338*	-0.0350*	-0.0606***	-0.0046	0.0129	0.0686***	0.0701***	0.0833***	0.1013***	0.1187***	0.1297***	0.1110***	0.0724***
	(0.011)	(0.017)	(0.018)	(0.017)	(0.017)	(0.021)	(0.018)	(0.020)	(0.021)	(0.016)	(0.018)	(0.018)	(0.018)	(0.016)	(0.018)	(0.019)	(0.020)	(0.017)	(0.021)
state11	-0.0314***	0.0321***	-0.1087***	-0.1383***	-0.0888***	-0.0586***	-0.0751***	-0.0778***	-0.0967***	-0.0435**	-0.0153	0.0310*	0.0410**	0.0553***	0.0779***	0.1017***	0.1154***	0.1005***	0.0894***
