	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.0452	-0.6923***	-0.4913***	-0.2425	-0.3429**	-0.2233	-0.4505**	-0.4024**	-0.4878**	-0.6868***	-0.7128***	-0.8228***	-0.9326***	-1.0723***	-1.2772***	-1.3146***	-1.4101***	-1.5334***	-1.5445***
	(0.156)	(0.150)	(0.187)	(0.169)	(0.158)	(0.195)	(0.185)	(0.184)	(0.197)	(0.203)	(0.204)	(0.210)	(0.200)	(0.215)	(0.209)	(0.217)	(0.218)	(0.224)	(0.225)
delta_86_90	-0.0171	-0.1394*	-0.1150	-0.2023**	-0.1976**	-0.3048***	-0.3546***	-0.3188***	-0.3595***	-0.3590***	-0.3598***	-0.3757***	-0.3714***	-0.3583***	-0.3584***	-0.3519***	-0.3895***	-0.4012***	-0.3859***
	(0.043)	(0.080)	(0.112)	(0.099)	(0.089)	(0.100)	(0.107)	(0.102)	(0.102)	(0.111)	(0.109)	(0.113)	(0.116)	(0.117)	(0.112)	(0.115)	(0.106)	(0.102)	(0.100)
state2	-0.0295	0.1394***	-0.0255	-0.1943***	-0.2054***	-0.2069**	-0.2490***	-0.2710***	-0.2353***	-0.2094***	-0.1822***	-0.1601**	-0.1677***	-0.1700***	-0.1420**	-0.1217***	-0.0983*	-0.1062**	-0.1367***
	(0.042)	(0.027)	(0.091)	(0.071)	(0.024)	(0.081)	(0.093)	(0.077)	(0.086)	(0.074)	(0.047)	(0.068)	(0.062)	(0.047)	(0.055)	(0.041)	(0.050)	(0.052)	(0.043)
state3	0.0521**	0.1376**	0.0495	-0.0026	-0.1149***	0.0599**	0.1418	0.0440	0.0432	0.0319	0.0240	0.0174	0.0225	-0.0050	0.0055	-0.0098	-0.0105	0.0063	0.0486
	(0.026)	(0.053)	(0.094)	(0.060)	(0.041)	(0.030)	(0.106)	(0.093)	(0.066)	(0.060)	(0.057)	(0.047)	(0.030)	(0.027)	(0.038)	(0.023)	(0.025)	(0.034)	(0.076)
state4	0.2493***	0.3811***	0.2755***	0.1709***	0.2198***	0.1203***	0.0536***	0.0915***	0.0658***	0.0180	-0.0825***	-0.0949***	-0.1035***	-0.1458***	-0.1480***	-0.1713***	-0.1873***	-0.1550***	-0.1111***
	(0.006)	(0.012)	(0.016)	(0.014)	(0.013)	(0.015)	(0.016)	(0.015)	(0.015)	(0.016)	(0.016)	(0.016)	(0.017)	(0.017)	(0.016)	(0.017)	(0.015)	(0.015)	(0.014)
state5	0.0815***	0.0435	-0.1005***	-0.2294***	-0.1929***	-0.2016***	-0.1882***	-0.2255***	-0.2366***	-0.2074***	-0.1946***	-0.1668***	-0.1636***	-0.1853***	-0.1709***	-0.1697***	-0.1579***	-0.1836***	-0.2276***
	(0.006)	(0.039)	(0.032)	(0.022)	(0.057)	(0.025)	(0.032)	(0.031)	(0.041)	(0.025)	(0.032)	(0.035)	(0.041)	(0.039)	(0.042)	(0.043)	(0.042)	(0.046)	(0.041)
state6	0.0574***	-0.0683	-0.2319***	-0.2054***	-0.4202***	-0.2597***	-0.1848**	-0.2312***	-0.2631***	-0.3176***	-0.3694***	-0.3578***	-0.2523***	-0.2875***	-0.3390***	-0.3479***	-0.2899***	-0.3154***	-0.3625***
	(0.015)	(0.063)	(0.047)	(0.013)	(0.063)	(0.080)	(0.078)	(0.054)	(0.071)	(0.072)	(0.110)	(0.097)	(0.023)	(0.030)	(0.061)	(0.072)	(0.040)	(0.060)	(0.072)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0512***	0.1014***	0.0354**	-0.0577***	-0.0348***	-0.0827***	-0.0676***	-0.0735***	-0.1129***	-0.0503***	-0.0332***	0.0096	0.0053	0.0310***	0.0274***	0.0381***	0.0726***	0.0535***	0.0172*
	(0.007)	(0.007)	(0.016)	(0.011)	(0.011)	(0.009)	(0.010)	(0.009)	(0.009)	(0.010)	(0.010)	(0.010)	(0.010)	(0.010)	(0.010)	(0.011)	(0.010)	(0.011)	(0.010)
state9	0.1023***	0.1948***	0.0885***	-0.0268***	0.0794***	0.0861***	0.1320***	0.0906***	0.0956***	0.1023***	0.0968***	0.1637***	0.1545***	0.2389***	0.2365***	0.2159***	0.2490***	0.2453***	0.2014***
	(0.005)	(0.006)	(0.010)	(0.008)	(0.007)	(0.009)	(0.009)	(0.008)	(0.009)	(0.010)	(0.009)	(0.010)	(0.010)	(0.010)	(0.010)	(0.010)	(0.010)	(0.009)	(0.009)
state10	0.0986***	0.2108***	0.0447	-0.0618	-0.0233	-0.0161	-0.0006	-0.0554	-0.0202	0.0233	-0.0036	0.0363	0.0264	0.0419	0.0551*	0.0780**	0.0837**	0.0835***	0.0466
	(0.023)	(0.011)	(0.044)	(0.042)	(0.050)	(0.054)	(0.023)	(0.035)	(0.040)	(0.041)	(0.042)	(0.041)	(0.041)	(0.037)	(0.031)	(0.035)	(0.034)	(0.032)	(0.033)
state11	0.0716***	0.1799***	-0.0005	-0.0700**	0.0298	0.0298	0.1003***	0.0268	0.0483	0.0598	0.0579	0.1333***	0.1357***	0.1267***	0.1269***	0.1283***	0.1415***	0.1144***	0.0920***
	(0.015)	(0.027)	(0.035)	(0.034)	(0.027)	(0.038)	(0.032)	(0.019)	(0.038)	(0.040)	(0.036)	(0.028)	(0.023)	(0.017)	(0.016)	(0.016)	(0.014)	(0.017)	(0.013)
