	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	0.1781*	-0.3065***	-0.0889	-0.0198	0.0462	0.0017	-0.1730	-0.2000	-0.3447**	-0.6083***	-0.7155***	-0.9433***	-0.9988***	-1.2163***	-1.4831***	-1.5730***	-1.6144***	-1.6382***	-1.6312***
	(0.101)	(0.097)	(0.119)	(0.128)	(0.123)	(0.150)	(0.148)	(0.149)	(0.147)	(0.135)	(0.141)	(0.145)	(0.148)	(0.143)	(0.150)	(0.163)	(0.169)	(0.163)	(0.175)
delta_86_90	0.0081	-0.0228	-0.1903	-0.2353**	-0.2408*	-0.3239**	-0.3589**	-0.3946**	-0.4002**	-0.3836**	-0.3888**	-0.4246**	-0.4164**	-0.4102**	-0.4133**	-0.4096**	-0.4645***	-0.4723***	-0.4959***
	(0.045)	(0.088)	(0.119)	(0.115)	(0.131)	(0.147)	(0.155)	(0.162)	(0.166)	(0.169)	(0.172)	(0.179)	(0.177)	(0.178)	(0.177)	(0.180)	(0.162)	(0.172)	(0.167)
state2	-0.0204***	0.1288***	0.1256***	-0.1133***	-0.1453***	-0.0880***	-0.0445**	-0.0662***	-0.0322*	-0.0189	-0.0492***	-0.0349**	-0.0564***	-0.0788***	-0.0500***	-0.0330	-0.0424**	-0.1011***	-0.1398***
	(0.006)	(0.008)	(0.030)	(0.011)	(0.014)	(0.014)	(0.017)	(0.017)	(0.018)	(0.017)	(0.016)	(0.017)	(0.018)	(0.019)	(0.018)	(0.020)	(0.019)	(0.023)	(0.023)
state3	0.0490***	0.0891***	-0.1763**	-0.1218**	-0.2196***	-0.0953***	-0.0575*	-0.1589***	-0.1397**	-0.1828***	-0.1405***	-0.1216***	-0.1261***	-0.1509***	-0.1471***	-0.1358***	-0.1054***	-0.1668***	-0.1735***
	(0.015)	(0.030)	(0.079)	(0.048)	(0.034)	(0.029)	(0.030)	(0.043)	(0.057)	(0.063)	(0.042)	(0.032)	(0.034)	(0.037)	(0.033)	(0.032)	(0.020)	(0.040)	(0.040)
state4	-0.1157***	-0.1230***	-0.0915***	-0.0932***	-0.0544*	-0.0161	-0.0101	-0.0181	-0.0239	-0.0059	-0.1163***	-0.0793**	-0.0929**	-0.1493***	-0.1348***	-0.1356***	-0.1243***	-0.1471***	-0.1941***
	(0.009)	(0.018)	(0.025)	(0.024)	(0.027)	(0.031)	(0.032)	(0.034)	(0.035)	(0.036)	(0.036)	(0.038)	(0.037)	(0.038)	(0.038)	(0.038)	(0.034)	(0.036)	(0.036)
state5	0.0538***	0.0570***	-0.0989***	-0.1767***	-0.2015***	-0.1678***	-0.1491***	-0.1501***	-0.1520***	-0.1373***	-0.1268***	-0.0743	-0.0708	-0.0770	-0.0587	-0.0415	-0.0222	-0.0662	-0.1202*
	(0.008)	(0.020)	(0.023)	(0.036)	(0.030)	(0.030)	(0.025)	(0.031)	(0.038)	(0.032)	(0.037)	(0.046)	(0.047)	(0.050)	(0.051)	(0.054)	(0.054)	(0.056)	(0.061)
state6	-0.0661***	0.0337	-0.0688*	-0.0049	-0.1506***	-0.0383	-0.0023	-0.0434	-0.0463	-0.1035**	-0.1266**	-0.0590	-0.0640	-0.0847	-0.0605	-0.0414	-0.0395	-0.0691	-0.1127**
	(0.013)	(0.026)	(0.036)	(0.035)	(0.039)	(0.044)	(0.046)	(0.049)	(0.050)	(0.051)	(0.052)	(0.054)	(0.054)	(0.054)	(0.054)	(0.055)	(0.050)	(0.052)	(0.052)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0518***	0.0812***	-0.0934***	-0.1393***	-0.1116***	-0.1219***	-0.1155***	-0.1178***	-0.1181***	-0.0762***	-0.0787***	-0.0071	-0.0164	-0.0002	0.0194	0.0619***	0.0941***	0.0189	-0.0194
	(0.008)	(0.010)	(0.014)	(0.016)	(0.017)	(0.016)	(0.018)	(0.019)	(0.020)	(0.020)	(0.022)	(0.021)	(0.022)	(0.022)	(0.022)	(0.022)	(0.018)	(0.020)	(0.019)
state9	0.0570***	0.1670***	0.0136	0.0478***	0.0271*	0.0345**	0.0365**	0.0320*	0.0342*	0.0485**	0.0556***	0.1002***	0.1162***	0.1291***	0.1424***	0.1375***	0.1761***	0.1449***	0.0903***
	(0.005)	(0.010)	(0.013)	(0.013)	(0.015)	(0.016)	(0.017)	(0.018)	(0.019)	(0.019)	(0.019)	(0.020)	(0.020)	(0.020)	(0.020)	(0.020)	(0.018)	(0.019)	(0.019)
state10	0.0583***	0.1550***	-0.0378**	-0.0595***	-0.0437***	0.0024	0.0296*	0.0136	0.0181	0.0541***	0.0577***	0.1179***	0.1119***	0.1286***	0.1460***	0.1670***	0.1727***	0.1527***	0.0958***
	(0.010)	(0.011)	(0.015)	(0.014)	(0.014)	(0.017)	(0.018)	(0.018)	(0.017)	(0.016)	(0.016)	(0.017)	(0.018)	(0.017)	(0.018)	(0.019)	(0.020)	(0.020)	(0.021)
state11	0.0269**	0.1007***	-0.0677***	-0.1197***	-0.0578***	-0.0222	-0.0142	-0.0184	-0.0134	0.0282	0.0489**	0.1078***	0.1156***	0.1327***	0.1497***	0.1726***	0.1847***	0.1549***	0.1190***
	(0.012)	(0.013)	(0.017)	(0.017)	(0.020)	(0.020)	(0.022)	(0.021)	(0.023)	(0.022)	(0.022)	(0.024)	(0.024)	(0.024)	(0.025)	(0.025)	(0.025)	(0.024)	(0.026)
