	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
frtr_kume_main	-0.0177	-0.3711***	-0.2326	-0.0890	0.0366	-0.0305	-0.1522	-0.1900	-0.3581	-0.6950***	-0.7608***	-1.0347***	-1.1136***	-1.2695***	-1.5507***	-1.6985***	-1.7295***	-1.7070***	-1.6644***
	(0.162)	(0.139)	(0.165)	(0.189)	(0.172)	(0.210)	(0.211)	(0.201)	(0.217)	(0.212)	(0.226)	(0.239)	(0.238)	(0.246)	(0.263)	(0.276)	(0.294)	(0.280)	(0.298)
delta_86_90	0.0800	-0.0148	-0.1594	-0.1589	-0.1661	-0.2345*	-0.3018**	-0.3232**	-0.3443**	-0.3486**	-0.3468**	-0.3766**	-0.3563**	-0.3602**	-0.3749**	-0.3699**	-0.4326***	-0.4440***	-0.4671***
	(0.055)	(0.079)	(0.112)	(0.110)	(0.123)	(0.132)	(0.142)	(0.150)	(0.150)	(0.156)	(0.158)	(0.164)	(0.162)	(0.164)	(0.165)	(0.168)	(0.142)	(0.148)	(0.144)
state2	-0.0045	0.1255***	0.1349***	-0.0954***	-0.1269***	-0.0793***	-0.0420***	-0.0617***	-0.0366**	-0.0276**	-0.0544***	-0.0421***	-0.0616***	-0.0854***	-0.0598***	-0.0423	-0.0508*	-0.1008***	-0.1303***
	(0.006)	(0.007)	(0.030)	(0.009)	(0.012)	(0.011)	(0.016)	(0.014)	(0.016)	(0.013)	(0.013)	(0.015)	(0.020)	(0.023)	(0.023)	(0.027)	(0.028)	(0.034)	(0.033)
state3	0.0323**	0.0634***	-0.1404**	-0.1260***	-0.2161***	-0.1001***	-0.0796***	-0.1812***	-0.1593***	-0.2178***	-0.1650***	-0.1546***	-0.1667***	-0.1967***	-0.1964***	-0.1911***	-0.1514***	-0.2075***	-0.2061***
	(0.014)	(0.024)	(0.068)	(0.041)	(0.032)	(0.032)	(0.023)	(0.044)	(0.055)	(0.067)	(0.049)	(0.041)	(0.044)	(0.049)	(0.047)	(0.046)	(0.034)	(0.056)	(0.053)
state4	-0.1202***	-0.1400***	-0.0965***	-0.1004***	-0.0588**	-0.0357	-0.0285	-0.0405	-0.0541	-0.0438	-0.1583***	-0.1333***	-0.1526***	-0.2143***	-0.2072***	-0.2128***	-0.1997***	-0.2143***	-0.2517***
	(0.013)	(0.018)	(0.026)	(0.026)	(0.029)	(0.030)	(0.033)	(0.035)	(0.035)	(0.036)	(0.036)	(0.038)	(0.037)	(0.038)	(0.038)	(0.038)	(0.033)	(0.034)	(0.033)
state5	0.0649***	0.0401***	-0.1039***	-0.1660***	-0.1873***	-0.1692***	-0.1557***	-0.1637***	-0.1817***	-0.1783***	-0.1774***	-0.1437***	-0.1470***	-0.1660***	-0.1617***	-0.1525***	-0.1357***	-0.1727***	-0.2205***
	(0.008)	(0.014)	(0.022)	(0.023)	(0.022)	(0.021)	(0.018)	(0.020)	(0.025)	(0.020)	(0.022)	(0.029)	(0.028)	(0.029)	(0.027)	(0.029)	(0.028)	(0.030)	(0.035)
state6	-0.0711***	0.0053	-0.0799**	-0.0192	-0.1600***	-0.0668	-0.0326	-0.0799	-0.0943*	-0.1667***	-0.1981***	-0.1515***	-0.1652***	-0.1977***	-0.1892***	-0.1782***	-0.1753***	-0.1970***	-0.2306***
	(0.019)	(0.026)	(0.037)	(0.037)	(0.041)	(0.044)	(0.047)	(0.049)	(0.050)	(0.051)	(0.052)	(0.054)	(0.053)	(0.054)	(0.054)	(0.055)	(0.047)	(0.049)	(0.047)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0557***	0.0705***	-0.0904***	-0.1256***	-0.0974***	-0.1237***	-0.1181***	-0.1216***	-0.1314***	-0.0991***	-0.1020***	-0.0462*	-0.0583**	-0.0502*	-0.0421	-0.0068	0.0233	-0.0389	-0.0716***
	(0.011)	(0.009)	(0.015)	(0.015)	(0.017)	(0.015)	(0.018)	(0.019)	(0.021)	(0.023)	(0.028)	(0.025)	(0.027)	(0.029)	(0.031)	(0.031)	(0.020)	(0.027)	(0.023)
state9	0.0565***	0.1644***	0.0181	0.0505***	0.0293**	0.0254	0.0317*	0.0257	0.0243	0.0397**	0.0471**	0.0901***	0.1039***	0.1186***	0.1334***	0.1281***	0.1694***	0.1463***	0.1011***
	(0.006)	(0.009)	(0.013)	(0.013)	(0.014)	(0.015)	(0.017)	(0.018)	(0.018)	(0.018)	(0.018)	(0.019)	(0.019)	(0.019)	(0.019)	(0.020)	(0.016)	(0.017)	(0.017)
state10	0.0713***	0.1322***	-0.0411***	-0.0540***	-0.0325**	-0.0028	0.0132	-0.0089	-0.0128	0.0139	0.0063	0.0496**	0.0386*	0.0430	0.0415	0.0588*	0.0629**	0.0484	-0.0027
	(0.012)	(0.010)	(0.013)	(0.011)	(0.013)	(0.017)	(0.017)	(0.018)	(0.016)	(0.021)	(0.020)	(0.022)	(0.023)	(0.027)	(0.028)	(0.031)	(0.027)	(0.034)	(0.028)
state11	0.0333***	0.0743***	-0.0686***	-0.1112***	-0.0520**	-0.0269	-0.0208	-0.0351	-0.0385*	-0.0134	-0.0069	0.0364	0.0373	0.0353	0.0353	0.0491**	0.0606***	0.0344	0.0040
	(0.013)	(0.012)	(0.017)	(0.016)	(0.022)	(0.019)	(0.022)	(0.021)	(0.023)	(0.022)	(0.022)	(0.025)	(0.024)	(0.025)	(0.027)	(0.023)	(0.023)	(0.021)	(0.020)
