	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rec_kume_main	-0.4200***	-0.4408**	-0.3203	-1.2009***	-1.6809***	-2.0595***	-2.2577***	-2.2754***	-2.3364***	-2.4655***	-2.8098***	-2.8741***	-3.0498***	-2.9592***	-2.9695***	-3.0186***	-3.0412***	-3.1507***	-3.0741***
	(0.158)	(0.188)	(0.219)	(0.274)	(0.337)	(0.349)	(0.342)	(0.358)	(0.369)	(0.398)	(0.394)	(0.420)	(0.452)	(0.438)	(0.427)	(0.432)	(0.433)	(0.432)	(0.430)
delta_emp_86_90	0.0274	0.0321	0.0329	-0.0418	-0.0384	-0.0405	-0.0463	-0.0124	-0.0324	-0.0086	-0.0037	0.0068	-0.0162	-0.0059	-0.0060	-0.0288	-0.0354	-0.0351	-0.0311
	(0.034)	(0.042)	(0.079)	(0.132)	(0.129)	(0.148)	(0.151)	(0.144)	(0.148)	(0.148)	(0.147)	(0.149)	(0.156)	(0.152)	(0.148)	(0.153)	(0.158)	(0.160)	(0.157)
state2	-0.1967***	-0.1275***	-0.0699	-0.1226**	0.0747	0.2793	0.1162	-0.1164***	-0.0706	-0.0199	-0.0670	-0.0191	-0.0214	0.0949	0.1664***	0.1697***	0.2300***	0.2068***	0.1847***
	(0.022)	(0.046)	(0.152)	(0.051)	(0.117)	(0.286)	(0.141)	(0.039)	(0.061)	(0.040)	(0.051)	(0.058)	(0.052)	(0.069)	(0.038)	(0.059)	(0.041)	(0.042)	(0.041)
state3	-0.0300	-0.0611	-0.0994	-0.2557	-0.3053***	-0.2243	-0.5312	-0.4801*	-0.6598***	-0.6755**	-0.2667***	-0.3528***	-0.3224***	-0.3573***	-0.4284***	-0.3705***	-0.5374***	-0.5189***	-0.4850***
	(0.052)	(0.104)	(0.181)	(0.236)	(0.099)	(0.166)	(0.325)	(0.280)	(0.243)	(0.265)	(0.058)	(0.107)	(0.067)	(0.076)	(0.123)	(0.128)	(0.166)	(0.100)	(0.116)
state4	2.1164***	2.3248***	1.0610***	0.2980***	0.8606***	0.5432***	0.7307***	0.4609***	0.7928***	0.8234***	0.9869***	0.9423***	1.1365***	1.1647***	1.1541***	1.3051***	1.4461***	1.4615***	1.6288***
	(0.007)	(0.008)	(0.016)	(0.026)	(0.025)	(0.029)	(0.030)	(0.029)	(0.030)	(0.030)	(0.030)	(0.030)	(0.031)	(0.031)	(0.030)	(0.031)	(0.032)	(0.032)	(0.032)
state5	0.0353	-0.1004	-0.1370**	-0.3947**	-0.3478**	-0.5547***	-0.4996***	-0.4608***	-0.4637***	-0.4167***	-0.3297***	-0.2735***	-0.2278***	-0.2463***	-0.2219***	-0.2369***	-0.2943*	-0.4101***	-0.4057***
	(0.034)	(0.063)	(0.067)	(0.163)	(0.149)	(0.152)	(0.067)	(0.079)	(0.057)	(0.053)	(0.044)	(0.041)	(0.044)	(0.057)	(0.075)	(0.077)	(0.149)	(0.149)	(0.141)
state6	0.3029***	0.2053***	0.5970***	0.8659***	1.1407*	0.7928	1.1432**	1.5788**	1.5431**	1.5376*	1.3670**	1.4762**	1.7223**	1.7868***	1.5330***	1.6620***	1.5976***	1.4080***	1.2827***
	(0.028)	(0.033)	(0.056)	(0.198)	(0.600)	(0.596)	(0.502)	(0.605)	(0.604)	(0.830)	(0.624)	(0.575)	(0.707)	(0.660)	(0.462)	(0.519)	(0.531)	(0.485)	(0.416)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0112	-0.1947***	-0.1716***	-0.2533***	-0.1848***	-0.4232***	-0.2952***	-0.3163***	-0.3476***	-0.2241***	-0.2322***	-0.2991***	-0.1804**	-0.1437**	-0.1060*	-0.0869	-0.1359**	-0.1713**	-0.1641**
	(0.018)	(0.034)	(0.034)	(0.059)	(0.058)	(0.071)	(0.066)	(0.064)	(0.064)	(0.064)	(0.065)	(0.072)	(0.070)	(0.067)	(0.063)	(0.065)	(0.067)	(0.070)	(0.068)
state9	-0.0131	-0.1622***	-0.3290***	-0.5152***	-0.3578***	0.1290***	-0.1581***	-0.0919***	-0.2342***	-0.3138***	-0.2851***	-0.2256***	-0.1777***	-0.1534***	-0.1066***	-0.2264***	-0.1323***	-0.1694***	-0.1664***
	(0.009)	(0.011)	(0.016)	(0.027)	(0.027)	(0.029)	(0.030)	(0.028)	(0.029)	(0.030)	(0.029)	(0.030)	(0.031)	(0.031)	(0.030)	(0.031)	(0.031)	(0.032)	(0.031)
state10	0.1145**	0.0120	-0.1797**	-0.0704	0.1812**	-0.0296	0.0191	0.0349	0.0738	0.0155	0.1340	0.0789	0.0480	0.0353	0.0578	0.0136	-0.0480	-0.0845	-0.0510
	(0.046)	(0.040)	(0.072)	(0.071)	(0.078)	(0.069)	(0.085)	(0.083)	(0.104)	(0.085)	(0.092)	(0.089)	(0.097)	(0.114)	(0.119)	(0.109)	(0.127)	(0.122)	(0.117)
state11	0.0410**	-0.0865	-0.1749**	0.0253	0.0507	-0.0439	0.0699	-0.0784	-0.0844	-0.0269	0.0871	0.1088	0.1421	0.0909	0.1051	0.0129	-0.0194	-0.0803	-0.1135
	(0.017)	(0.125)	(0.077)	(0.119)	(0.254)	(0.172)	(0.167)	(0.225)	(0.223)	(0.194)	(0.190)	(0.195)	(0.220)	(0.242)	(0.204)	(0.203)	(0.211)	(0.212)	(0.216)
