	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
frtr_kume_main	-0.7907**	-0.4350	-1.1310***	-1.7276***	-1.7966***	-2.5535***	-2.2873***	-2.1382***	-2.6893***	-3.1643***	-3.6595***	-4.1226***	-4.7155***	-4.4908***	-4.5946***	-4.6091***	-4.6635***	-4.7354***	-4.3622***
	(0.320)	(0.380)	(0.427)	(0.598)	(0.656)	(0.791)	(0.762)	(0.770)	(0.793)	(0.787)	(0.767)	(0.787)	(0.814)	(0.782)	(0.747)	(0.761)	(0.760)	(0.765)	(0.789)
delta_emp_86_90	0.0221	0.0284	0.0263	-0.0544	-0.0532	-0.0602	-0.0655	-0.0310	-0.0538	-0.0327	-0.0315	-0.0235	-0.0499	-0.0382	-0.0389	-0.0619	-0.0689	-0.0693	-0.0632
	(0.035)	(0.044)	(0.078)	(0.134)	(0.134)	(0.151)	(0.156)	(0.150)	(0.152)	(0.153)	(0.152)	(0.153)	(0.159)	(0.155)	(0.151)	(0.157)	(0.163)	(0.165)	(0.162)
state2	-0.2050***	-0.1270**	-0.0885	-0.1340**	0.0731	0.2691	0.1170	-0.1118***	-0.0773	-0.0346	-0.0849	-0.0464	-0.0582	0.0612	0.1304***	0.1346*	0.1942***	0.1720***	0.1567***
	(0.026)	(0.050)	(0.152)	(0.060)	(0.106)	(0.270)	(0.124)	(0.039)	(0.079)	(0.053)	(0.070)	(0.078)	(0.071)	(0.090)	(0.042)	(0.079)	(0.055)	(0.059)	(0.057)
state3	-0.0412	-0.0607	-0.1242	-0.2712	-0.3077***	-0.2381	-0.5305*	-0.4743*	-0.6691***	-0.6954***	-0.2911***	-0.3895***	-0.3718***	-0.4026***	-0.4766***	-0.4176***	-0.5855***	-0.5657***	-0.5227***
	(0.056)	(0.104)	(0.179)	(0.230)	(0.097)	(0.151)	(0.312)	(0.277)	(0.227)	(0.245)	(0.065)	(0.107)	(0.070)	(0.067)	(0.093)	(0.101)	(0.137)	(0.072)	(0.089)
state4	2.1021***	2.3142***	1.0444***	0.2632***	0.8187***	0.4880***	0.6758***	0.4074***	0.7325***	0.7561***	0.9097***	0.8591***	1.0446***	1.0764***	1.0645***	1.2147***	1.3548***	1.3680***	1.5404***
	(0.008)	(0.009)	(0.015)	(0.026)	(0.026)	(0.029)	(0.029)	(0.027)	(0.028)	(0.028)	(0.028)	(0.028)	(0.029)	(0.029)	(0.028)	(0.029)	(0.030)	(0.031)	(0.030)
state5	0.0061	-0.1178*	-0.1771***	-0.4605***	-0.4188***	-0.6536***	-0.5908***	-0.5471***	-0.5689***	-0.5388***	-0.4706***	-0.4304***	-0.4058***	-0.4161***	-0.3954***	-0.4112***	-0.4706***	-0.5894***	-0.5720***
	(0.035)	(0.061)	(0.067)	(0.152)	(0.134)	(0.132)	(0.049)	(0.059)	(0.044)	(0.060)	(0.045)	(0.048)	(0.051)	(0.073)	(0.093)	(0.096)	(0.166)	(0.167)	(0.159)
state6	0.2577***	0.1727***	0.5428***	0.7567***	1.0111	0.6208	0.9738*	1.4143**	1.3557**	1.3277	1.1257*	1.2153**	1.4326**	1.5090**	1.2509***	1.3775**	1.3102**	1.1139**	1.0054**
	(0.029)	(0.032)	(0.049)	(0.204)	(0.620)	(0.614)	(0.532)	(0.639)	(0.629)	(0.850)	(0.647)	(0.590)	(0.717)	(0.672)	(0.472)	(0.530)	(0.541)	(0.498)	(0.434)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	-0.0041	-0.1986***	-0.1994***	-0.2805***	-0.2039***	-0.4573***	-0.3169***	-0.3331***	-0.3800***	-0.2682***	-0.2842***	-0.3639***	-0.2596***	-0.2179***	-0.1832***	-0.1635**	-0.2137***	-0.2489***	-0.2319***
	(0.021)	(0.036)	(0.037)	(0.064)	(0.063)	(0.075)	(0.068)	(0.067)	(0.068)	(0.068)	(0.069)	(0.077)	(0.074)	(0.071)	(0.068)	(0.070)	(0.071)	(0.073)	(0.071)
state9	-0.0529**	-0.1776***	-0.3946***	-0.5934***	-0.4257***	0.0223	-0.2409***	-0.1642***	-0.3414***	-0.4487***	-0.4425***	-0.4119***	-0.3982***	-0.3617***	-0.3215***	-0.4407***	-0.3496***	-0.3881***	-0.3625***
	(0.023)	(0.027)	(0.032)	(0.050)	(0.052)	(0.058)	(0.053)	(0.053)	(0.055)	(0.056)	(0.054)	(0.055)	(0.056)	(0.054)	(0.054)	(0.055)	(0.054)	(0.055)	(0.056)
state10	0.1027**	0.0050	-0.1958***	-0.0968	0.1526*	-0.0694	-0.0176	0.0002	0.0315	-0.0336	0.0773	0.0157	-0.0236	-0.0330	-0.0120	-0.0565	-0.1189	-0.1566	-0.1179
	(0.046)	(0.040)	(0.069)	(0.072)	(0.083)	(0.070)	(0.090)	(0.086)	(0.099)	(0.079)	(0.082)	(0.074)	(0.079)	(0.096)	(0.100)	(0.091)	(0.104)	(0.098)	(0.092)
state11	0.0075	-0.1092	-0.2171***	-0.0535	-0.0401	-0.1662	-0.0480	-0.1920	-0.2166	-0.1767	-0.0854	-0.0796	-0.0686	-0.1108	-0.1001	-0.1938	-0.2282	-0.2936	-0.3135
	(0.022)	(0.121)	(0.074)	(0.124)	(0.242)	(0.175)	(0.173)	(0.220)	(0.208)	(0.178)	(0.176)	(0.181)	(0.199)	(0.222)	(0.190)	(0.192)	(0.203)	(0.207)	(0.211)
