	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	-0.4352	-0.5228	-1.0673**	-1.1570	-2.3410**	-2.2283**	-2.8010***	-3.0509***	-3.3925***	-3.7878***	-3.9951***	-4.2443***	-4.6922***	-4.6872***	-4.6144***	-4.4239***	-4.4977***	-4.5220***	-4.5369***
	(0.328)	(0.451)	(0.527)	(0.787)	(0.891)	(0.908)	(0.876)	(0.885)	(0.930)	(0.962)	(0.961)	(0.971)	(1.049)	(1.019)	(1.013)	(1.015)	(0.950)	(0.953)	(1.007)
delta_emp_70_80	-0.0411	0.0016	0.1276	-0.0958	0.0004	-0.1234	-0.0761	-0.0281	0.0446	0.0716	0.0057	0.0329	0.0767	0.1131	0.0870	0.0456	0.0462	0.0115	0.0404
	(0.048)	(0.073)	(0.082)	(0.119)	(0.154)	(0.145)	(0.129)	(0.132)	(0.138)	(0.134)	(0.126)	(0.116)	(0.132)	(0.129)	(0.122)	(0.120)	(0.117)	(0.116)	(0.122)
delta_emp_80_91	0.0549	0.0089	0.1348**	0.1936	0.1021	0.2083	0.2448	0.2514	0.3130*	0.2116	0.1609	0.2324*	0.2062	0.2212*	0.2789**	0.3117***	0.3678***	0.3460***	0.3106***
	(0.038)	(0.061)	(0.059)	(0.131)	(0.159)	(0.160)	(0.158)	(0.169)	(0.179)	(0.150)	(0.132)	(0.126)	(0.130)	(0.122)	(0.110)	(0.100)	(0.114)	(0.114)	(0.116)
delta_emp_86_90	-0.0607	-0.0607	-0.2316**	-0.4623***	-0.2907	-0.4890***	-0.5213***	-0.4105**	-0.4204**	-0.3988**	-0.3986**	-0.4353***	-0.4665**	-0.4326**	-0.4919***	-0.5049***	-0.5394***	-0.5419***	-0.5301***
	(0.064)	(0.086)	(0.093)	(0.131)	(0.201)	(0.156)	(0.156)	(0.195)	(0.189)	(0.191)	(0.176)	(0.160)	(0.183)	(0.198)	(0.180)	(0.181)	(0.184)	(0.180)	(0.201)
state2	-0.1963***	-0.0627	0.2002	0.0419	0.1870	-0.0241	-0.1237	-0.0985	0.1277	0.1184	-0.0211	0.0820	0.0933	0.2706	0.2798	0.2830	0.3210	0.2075	0.1638
	(0.072)	(0.094)	(0.330)	(0.266)	(0.323)	(0.271)	(0.196)	(0.200)	(0.223)	(0.191)	(0.177)	(0.175)	(0.185)	(0.204)	(0.175)	(0.202)	(0.204)	(0.202)	(0.206)
state3	-0.0937*	-0.1445*	0.0278	-0.5473***	-0.3312	-0.6788***	-1.2266***	-0.8071***	-1.0238***	-1.1529***	-0.4425***	-0.5645***	-0.3852**	-0.3691**	-0.5000***	-0.5127***	-0.7404***	-0.6492***	-0.6828***
	(0.053)	(0.087)	(0.102)	(0.186)	(0.237)	(0.217)	(0.202)	(0.210)	(0.208)	(0.188)	(0.166)	(0.154)	(0.167)	(0.175)	(0.161)	(0.161)	(0.169)	(0.160)	(0.174)
state4	0.0185	0.1512**	-0.1344*	-0.1508	0.2724*	-0.1065	0.0133	-0.0692	-0.0620	0.0804	-0.0071	0.1171	0.1371	0.2184*	0.2712**	0.2907***	0.3145***	0.1639	0.2050*
	(0.038)	(0.060)	(0.069)	(0.109)	(0.138)	(0.128)	(0.117)	(0.119)	(0.122)	(0.117)	(0.109)	(0.102)	(0.113)	(0.113)	(0.107)	(0.107)	(0.105)	(0.103)	(0.110)
state5	-0.0349	-0.1289	0.0471	-0.5538***	-0.3636*	-0.7095***	-0.5839***	-0.4473**	-0.3417*	-0.3249*	-0.3161**	-0.2304	-0.1607	-0.1147	-0.0965	-0.1453	-0.1898	-0.3777***	-0.3723**
	(0.051)	(0.083)	(0.094)	(0.161)	(0.202)	(0.189)	(0.174)	(0.177)	(0.180)	(0.165)	(0.151)	(0.140)	(0.152)	(0.155)	(0.146)	(0.146)	(0.147)	(0.143)	(0.155)
state6	0.2645***	0.1648	0.8753***	0.2899	0.2460	0.1160	0.6916***	1.1204***	1.2761***	1.1357***	1.0840***	1.2513***	1.5288***	1.6462***	1.5439***	1.4539***	1.4730***	1.2892***	1.1823***
	(0.063)	(0.105)	(0.112)	(0.224)	(0.261)	(0.265)	(0.251)	(0.252)	(0.256)	(0.221)	(0.202)	(0.186)	(0.188)	(0.191)	(0.184)	(0.182)	(0.188)	(0.185)	(0.201)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	-0.0780	-0.2470***	-0.0451	-0.4269**	-0.2114	-0.5895***	-0.4035**	-0.3132	-0.2339	-0.1194	-0.2433	-0.2625*	-0.0989	-0.0033	0.0007	-0.0086	-0.0371	-0.1489	-0.1782
	(0.055)	(0.091)	(0.104)	(0.185)	(0.235)	(0.216)	(0.200)	(0.206)	(0.207)	(0.188)	(0.169)	(0.156)	(0.169)	(0.175)	(0.163)	(0.162)	(0.168)	(0.160)	(0.175)
state9	-0.1012	-0.1813*	-0.1643	-0.6310***	-0.3387	0.0119	-0.2049	-0.0381	-0.0276	-0.1327	-0.2246	-0.0992	-0.0088	0.0776	0.1047	-0.0529	0.0553	-0.0770	-0.0938
	(0.064)	(0.103)	(0.113)	(0.193)	(0.244)	(0.230)	(0.211)	(0.215)	(0.220)	(0.201)	(0.183)	(0.168)	(0.181)	(0.184)	(0.173)	(0.171)	(0.174)	(0.170)	(0.183)
state10	0.0081	-0.0345	0.0193	-0.1895	0.2187	-0.1320	-0.0087	0.1333	0.4130	0.2441	0.1665	0.2176	0.2136	0.2689	0.3073	0.2386	0.2229	0.0585	0.0811
