	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																		
rtr_kume_main	-0.0876	-0.6321	-0.7217	-1.9057**	-1.7930*	-2.3658***	-2.6156***	-2.9572***	-3.3525***	-3.5599***	-3.8091***	-4.2570***	-4.2519***	-4.1792***	-3.9887***	-4.0624***	-4.0868***	-4.1017***
	(0.346)	(0.538)	(0.804)	(0.919)	(0.903)	(0.895)	(0.914)	(0.972)	(1.027)	(1.027)	(1.024)	(1.087)	(1.084)	(1.077)	(1.068)	(0.994)	(1.000)	(1.070)
delta_emp_70_80	0.0427	0.1687*	-0.0547	0.0414	-0.0824	-0.0351	0.0129	0.0857	0.1127	0.0468	0.0740	0.1178	0.1541	0.1281	0.0866	0.0873	0.0526	0.0814
	(0.053)	(0.092)	(0.123)	(0.162)	(0.151)	(0.135)	(0.142)	(0.152)	(0.145)	(0.143)	(0.132)	(0.145)	(0.146)	(0.138)	(0.136)	(0.133)	(0.136)	(0.145)
delta_emp_80_91	-0.0461	0.0799	0.1387	0.0472	0.1534	0.1899	0.1965	0.2581	0.1566	0.1060	0.1775	0.1513	0.1663	0.2239*	0.2567**	0.3128***	0.2910**	0.2557**
	(0.047)	(0.067)	(0.133)	(0.160)	(0.159)	(0.158)	(0.169)	(0.178)	(0.153)	(0.135)	(0.127)	(0.131)	(0.127)	(0.117)	(0.106)	(0.115)	(0.116)	(0.120)
delta_emp_86_90	0.0000	-0.1709*	-0.4015**	-0.2299	-0.4283**	-0.4605**	-0.3498	-0.3597*	-0.3380	-0.3378*	-0.3746**	-0.4057**	-0.3718*	-0.4311**	-0.4441**	-0.4787**	-0.4811**	-0.4694**
	(0.057)	(0.091)	(0.155)	(0.220)	(0.180)	(0.178)	(0.213)	(0.208)	(0.206)	(0.190)	(0.177)	(0.194)	(0.211)	(0.195)	(0.195)	(0.197)	(0.195)	(0.218)
state2	0.1335*	0.3964	0.2382	0.3833	0.1721	0.0725	0.0977	0.3240	0.3146	0.1751	0.2782	0.2895	0.4668*	0.4761**	0.4792*	0.5172**	0.4037	0.3601
	(0.070)	(0.292)	(0.237)	(0.297)	(0.251)	(0.211)	(0.221)	(0.256)	(0.219)	(0.213)	(0.216)	(0.225)	(0.247)	(0.217)	(0.247)	(0.251)	(0.252)	(0.256)
state3	-0.0508	0.1215	-0.4536**	-0.2376	-0.5851**	-1.1329***	-0.7134***	-0.9301***	-1.0592***	-0.3489*	-0.4708***	-0.2915	-0.2754	-0.4063**	-0.4190**	-0.6467***	-0.5556***	-0.5891***
	(0.069)	(0.108)	(0.188)	(0.242)	(0.223)	(0.205)	(0.217)	(0.216)	(0.196)	(0.181)	(0.171)	(0.183)	(0.190)	(0.179)	(0.178)	(0.189)	(0.181)	(0.197)
state4	0.1327***	-0.1529**	-0.1693	0.2539*	-0.1249	-0.0052	-0.0877	-0.0805	0.0619	-0.0256	0.0986	0.1186	0.1999	0.2527**	0.2722**	0.2960**	0.1454	0.1866
	(0.045)	(0.075)	(0.110)	(0.142)	(0.131)	(0.119)	(0.124)	(0.131)	(0.125)	(0.121)	(0.114)	(0.123)	(0.125)	(0.119)	(0.118)	(0.117)	(0.117)	(0.127)
state5	-0.0941	0.0819	-0.5189***	-0.3287	-0.6747***	-0.5490***	-0.4124**	-0.3068	-0.2900	-0.2812*	-0.1955	-0.1258	-0.0798	-0.0616	-0.1104	-0.1549	-0.3428**	-0.3374*
	(0.062)	(0.102)	(0.161)	(0.207)	(0.194)	(0.176)	(0.184)	(0.190)	(0.175)	(0.167)	(0.156)	(0.167)	(0.171)	(0.163)	(0.162)	(0.166)	(0.164)	(0.178)
state6	-0.0997	0.6108***	0.0254	-0.0186	-0.1486	0.4271*	0.8558***	1.0115***	0.8712***	0.8195***	0.9868***	1.2643***	1.3817***	1.2793***	1.1894***	1.2085***	1.0247***	0.9178***
	(0.075)	(0.122)	(0.226)	(0.267)	(0.270)	(0.251)	(0.257)	(0.265)	(0.230)	(0.218)	(0.203)	(0.206)	(0.209)	(0.204)	(0.202)	(0.210)	(0.211)	(0.229)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																		
state8	-0.1690**	0.0329	-0.3488*	-0.1334	-0.5114**	-0.3255	-0.2352	-0.1559	-0.0414	-0.1653	-0.1845	-0.0209	0.0747	0.0787	0.0694	0.0409	-0.0709	-0.1002
	(0.070)	(0.112)	(0.186)	(0.240)	(0.222)	(0.203)	(0.213)	(0.217)	(0.197)	(0.185)	(0.174)	(0.186)	(0.192)	(0.181)	(0.180)	(0.189)	(0.184)	(0.200)
