	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main_NT	-0.8659	-1.2153	-0.5862	-5.6765***	-8.5105***	-10.4224***	-10.5598***	-9.6296***	-8.5739***	-9.5614***	-11.0624***	-10.5360***	-11.1025***	-10.8739***	-11.0632***	-11.5825***	-11.7640***	-12.7229***	-12.5067***
	(0.947)	(0.953)	(1.182)	(1.571)	(1.925)	(2.055)	(2.109)	(2.204)	(2.441)	(2.502)	(2.579)	(2.771)	(2.836)	(2.752)	(2.760)	(2.756)	(2.746)	(2.793)	(2.750)
delta_emp_86_90	0.0263	0.0312	0.0320	-0.0431	-0.0399	-0.0423	-0.0488	-0.0155	-0.0363	-0.0124	-0.0079	0.0020	-0.0212	-0.0107	-0.0108	-0.0335	-0.0401	-0.0396	-0.0355
	(0.035)	(0.043)	(0.079)	(0.131)	(0.127)	(0.145)	(0.149)	(0.143)	(0.148)	(0.147)	(0.146)	(0.149)	(0.155)	(0.151)	(0.147)	(0.152)	(0.157)	(0.158)	(0.155)
state2	-0.1928***	-0.1256**	-0.0664	-0.1342**	0.0544	0.2544	0.0952	-0.1304***	-0.0756	-0.0289	-0.0784	-0.0253	-0.0273	0.0884	0.1588***	0.1596**	0.2192***	0.1918***	0.1694***
	(0.025)	(0.049)	(0.150)	(0.053)	(0.113)	(0.280)	(0.134)	(0.036)	(0.070)	(0.045)	(0.061)	(0.069)	(0.063)	(0.081)	(0.038)	(0.070)	(0.046)	(0.049)	(0.047)
state3	-0.0222	-0.0549	-0.0929	-0.2537	-0.3060***	-0.2252	-0.5267	-0.4691	-0.6402**	-0.6582**	-0.2480***	-0.3287***	-0.2964***	-0.3326***	-0.4046***	-0.3485***	-0.5158***	-0.4998***	-0.4670***
	(0.052)	(0.104)	(0.180)	(0.241)	(0.106)	(0.176)	(0.334)	(0.285)	(0.248)	(0.271)	(0.060)	(0.112)	(0.069)	(0.080)	(0.128)	(0.133)	(0.173)	(0.105)	(0.123)
state4	2.1194***	2.3311***	1.0626***	0.3387***	0.9231***	0.6197***	0.8060***	0.5267***	0.8473***	0.8860***	1.0600***	1.0092***	1.2068***	1.2338***	1.2250***	1.3805***	1.5230***	1.5465***	1.7127***
	(0.012)	(0.013)	(0.021)	(0.032)	(0.034)	(0.039)	(0.041)	(0.040)	(0.042)	(0.043)	(0.043)	(0.045)	(0.047)	(0.045)	(0.044)	(0.045)	(0.047)	(0.047)	(0.046)
state5	0.0363	-0.0982	-0.1366**	-0.3788**	-0.3232**	-0.5245***	-0.4701***	-0.4353***	-0.4429***	-0.3927***	-0.3016***	-0.2479***	-0.2010***	-0.2199***	-0.1948**	-0.2080**	-0.2648	-0.3772**	-0.3733**
	(0.033)	(0.061)	(0.068)	(0.158)	(0.141)	(0.142)	(0.052)	(0.066)	(0.046)	(0.054)	(0.048)	(0.052)	(0.053)	(0.074)	(0.091)	(0.093)	(0.160)	(0.159)	(0.151)
state6	0.2909***	0.1940***	0.5876***	0.8450***	1.1139*	0.7599	1.1034**	1.5345**	1.4921**	1.4860*	1.3088*	1.4134**	1.6553**	1.7223**	1.4689***	1.5982***	1.5338**	1.3441**	1.2207**
	(0.037)	(0.026)	(0.062)	(0.214)	(0.621)	(0.622)	(0.535)	(0.643)	(0.648)	(0.874)	(0.674)	(0.629)	(0.765)	(0.716)	(0.517)	(0.574)	(0.585)	(0.539)	(0.468)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0154	-0.1920***	-0.1680***	-0.2590***	-0.1959***	-0.4368***	-0.3053***	-0.3209***	-0.3450***	-0.2242***	-0.2333***	-0.2959***	-0.1765**	-0.1405**	-0.1036	-0.0864	-0.1359**	-0.1743**	-0.1675**
	(0.019)	(0.035)	(0.034)	(0.059)	(0.057)	(0.072)	(0.065)	(0.064)	(0.064)	(0.063)	(0.065)	(0.073)	(0.070)	(0.066)	(0.063)	(0.065)	(0.066)	(0.067)	(0.065)
state9	-0.0059	-0.1568***	-0.3230***	-0.5164***	-0.3634***	0.1222***	-0.1597***	-0.0866***	-0.2199***	-0.3022***	-0.2730***	-0.2079***	-0.1584***	-0.1354***	-0.0896***	-0.2113***	-0.1178***	-0.1580***	-0.1559***
	(0.009)	(0.011)	(0.017)	(0.027)	(0.027)	(0.029)	(0.029)	(0.028)	(0.030)	(0.030)	(0.030)	(0.031)	(0.032)	(0.031)	(0.031)	(0.032)	(0.032)	(0.032)	(0.032)
state10	0.1162**	0.0148	-0.1786**	-0.0553	0.2040***	-0.0016	0.0470	0.0599	0.0953	0.0397	0.1622*	0.1052	0.0757	0.0625	0.0856	0.0429	-0.0182	-0.0519	-0.0189
	(0.045)	(0.040)	(0.072)	(0.070)	(0.074)	(0.067)	(0.083)	(0.083)	(0.108)	(0.090)	(0.098)	(0.093)	(0.101)	(0.119)	(0.126)	(0.116)	(0.134)	(0.131)	(0.126)
state11	0.0350*	-0.0918	-0.1796**	0.0179	0.0419	-0.0547	0.0555	-0.0959	-0.1062	-0.0484	0.0630	0.0819	0.1133	0.0633	0.0778	-0.0139	-0.0461	-0.1063	-0.1387
	(0.019)	(0.125)	(0.078)	(0.122)	(0.254)	(0.174)	(0.171)	(0.225)	(0.217)	(0.188)	(0.184)	(0.191)	(0.213)	(0.236)	(0.201)	(0.202)	(0.213)	(0.215)	(0.220)
