	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	-0.5952***	-0.5628***	-0.9120***	-1.1948***	-1.5448***	-1.8107***	-2.1910***	-2.3519***	-2.1185***	-2.7536***	-3.0408***	-3.3990***	-3.7111***	-3.4058***	-3.3243***	-3.2793***	-3.2399***	-3.1008***	-2.8416***
	(0.114)	(0.172)	(0.166)	(0.195)	(0.204)	(0.225)	(0.249)	(0.248)	(0.358)	(0.271)	(0.282)	(0.298)	(0.338)	(0.340)	(0.378)	(0.398)	(0.381)	(0.390)	(0.397)
delta_emp_86_90	0.0749**	0.1048	0.0378	-0.0283	0.0206	-0.0184	0.0403	0.1169	0.1427	0.2156	0.2049	0.2147	0.1996	0.1937	0.1881	0.1681	0.1581	0.1700	0.1791
	(0.032)	(0.066)	(0.103)	(0.116)	(0.133)	(0.172)	(0.169)	(0.189)	(0.196)	(0.205)	(0.203)	(0.206)	(0.220)	(0.210)	(0.206)	(0.205)	(0.197)	(0.193)	(0.196)
state2	-0.0704***	-0.0277***	0.5705***	0.4252***	0.5654***	0.3348***	-0.1920***	-0.2292***	-0.2013***	-0.1525***	-0.2059***	-0.2053***	-0.2378***	-0.1656***	-0.0743***	-0.1246***	-0.1053***	-0.1754***	-0.2191***
	(0.004)	(0.004)	(0.111)	(0.080)	(0.086)	(0.076)	(0.011)	(0.010)	(0.012)	(0.009)	(0.008)	(0.008)	(0.010)	(0.015)	(0.008)	(0.015)	(0.016)	(0.024)	(0.020)
state3	-0.0006	-0.0463	-0.1490**	-0.0982	-0.3010***	-0.2418***	-0.3591***	-0.3654***	-0.4949***	-0.5642***	-0.4992***	-0.4854***	-0.4717***	-0.5312***	-0.5953***	-0.5703***	-0.6831***	-0.7850***	-0.7515***
	(0.019)	(0.038)	(0.066)	(0.104)	(0.058)	(0.070)	(0.074)	(0.117)	(0.085)	(0.095)	(0.148)	(0.124)	(0.130)	(0.130)	(0.115)	(0.111)	(0.106)	(0.130)	(0.124)
state4	-0.0210***	0.0538***	-0.2378***	-0.0721***	0.2610***	-0.0158	0.0667***	-0.0540**	-0.1138***	0.0314	-0.0058	0.0995***	0.0843***	0.1256***	0.1990***	0.2437***	0.2526***	0.1194***	0.1397***
	(0.005)	(0.008)	(0.012)	(0.014)	(0.016)	(0.020)	(0.020)	(0.023)	(0.024)	(0.025)	(0.024)	(0.025)	(0.027)	(0.025)	(0.025)	(0.025)	(0.025)	(0.024)	(0.024)
state5	0.0495***	-0.0315	-0.1757***	-0.2928***	-0.1775*	-0.3876***	-0.3158***	-0.2865***	-0.3166***	-0.2675***	-0.2710***	-0.2502***	-0.2053***	-0.2553***	-0.2362***	-0.2671***	-0.3156***	-0.4791***	-0.5312***
	(0.019)	(0.035)	(0.032)	(0.082)	(0.103)	(0.099)	(0.071)	(0.071)	(0.066)	(0.067)	(0.064)	(0.067)	(0.077)	(0.081)	(0.084)	(0.093)	(0.095)	(0.089)	(0.095)
state6	0.2098***	0.2010***	0.6353***	0.5454***	0.6463***	0.0899*	0.1973***	0.5048***	0.4306***	0.2538***	0.3121***	0.3501***	0.3806***	0.4070***	0.4385***	0.4510***	0.4035***	0.2966***	0.1880***
	(0.012)	(0.018)	(0.027)	(0.031)	(0.036)	(0.046)	(0.047)	(0.053)	(0.058)	(0.058)	(0.057)	(0.058)	(0.063)	(0.060)	(0.059)	(0.059)	(0.058)	(0.057)	(0.057)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	0.0595***	-0.1448***	-0.2146***	-0.2124***	-0.1424***	-0.3053***	-0.2504***	-0.2744***	-0.3381***	-0.2899***	-0.3421***	-0.3162***	-0.3160***	-0.3179***	-0.2746***	-0.2631***	-0.2464***	-0.4075***	-0.3878***
	(0.013)	(0.035)	(0.032)	(0.037)	(0.043)	(0.055)	(0.054)	(0.060)	(0.066)	(0.068)	(0.073)	(0.078)	(0.093)	(0.091)	(0.075)	(0.077)	(0.071)	(0.069)	(0.066)
state9	-0.0838***	-0.1198***	-0.3425***	-0.4143***	-0.2982***	-0.4393***	-0.3949***	-0.4026***	-0.4638***	-0.4721***	-0.4945***	-0.5068***	-0.5323***	-0.5310***	-0.4834***	-0.5588***	-0.5119***	-0.5885***	-0.6290***
	(0.011)	(0.024)	(0.037)	(0.042)	(0.048)	(0.061)	(0.060)	(0.067)	(0.069)	(0.073)	(0.072)	(0.073)	(0.078)	(0.075)	(0.073)	(0.073)	(0.070)	(0.069)	(0.070)
state10	0.1109***	0.0186	-0.0144	0.0035	0.0992**	-0.0836	-0.1259*	-0.1264*	-0.2051**	-0.1283	-0.1258	-0.0979	-0.1068	-0.1390	-0.1422	-0.1985**	-0.2065**	-0.2994***	-0.3648***
	(0.021)	(0.026)	(0.042)	(0.048)	(0.049)	(0.061)	(0.067)	(0.076)	(0.091)	(0.086)	(0.091)	(0.091)	(0.097)	(0.092)	(0.095)	(0.096)	(0.091)	(0.091)	(0.091)
state11	0.0356*	-0.0904***	-0.1889***	-0.2186***	-0.1169***	-0.2604***	-0.1643***	-0.1675**	-0.2468***	-0.1657**	-0.1457**	-0.1380**	-0.1075	-0.1321**	-0.1182*	-0.1446**	-0.1671**	-0.3156***	-0.3742***
