	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																				
rtr_kume_main	-0.0023	0.0254***	0.0319***	0.0321***	0.0545***	0.0525***	0.0494***	0.0466***	0.0234***	0.0741***	0.0725***	0.0908***	0.1450***	0.2509***	0.3766***	0.4696***	0.5436***	0.7178***	0.4247***	0.7238***
	(0.003)	(0.003)	(0.004)	(0.005)	(0.006)	(0.004)	(0.006)	(0.005)	(0.006)	(0.007)	(0.012)	(0.017)	(0.021)	(0.026)	(0.042)	(0.059)	(0.075)	(0.114)	(0.082)	(0.159)
state2	-0.0007***	0.0013***	0.0010***	-0.0020***	-0.0003***	0.0004***	-0.0028***	-0.0017***	-0.0018***	-0.0002	0.0009*	0.0010**	0.0007	-0.0016**	-0.0033***	-0.0036***	-0.0047***	-0.0071***	-0.0055***	-0.0141***
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.003)
state3	0.0001	-0.0011	-0.0024	-0.0062***	-0.0035**	-0.0025*	-0.0056***	-0.0026***	-0.0055***	-0.0026***	-0.0023	-0.0012	0.0004	0.0050	0.0168	0.0250	0.0331	0.0603	0.0422	0.1070
	(0.000)	(0.001)	(0.002)	(0.002)	(0.001)	(0.001)	(0.001)	(0.000)	(0.002)	(0.001)	(0.001)	(0.001)	(0.001)	(0.006)	(0.014)	(0.019)	(0.026)	(0.045)	(0.032)	(0.079)
state4	-0.0004***	0.0001***	-0.0005***	-0.0042***	-0.0037***	-0.0030***	-0.0062***	-0.0051***	-0.0041***	-0.0040***	-0.0029***	-0.0032***	-0.0054***	-0.0118***	-0.0170***	-0.0200***	-0.0239***	-0.0309***	-0.0196***	-0.0353***
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)
state5	-0.0007***	0.0006***	0.0004***	-0.0027***	-0.0016***	-0.0009**	-0.0038***	-0.0029***	-0.0022***	-0.0011***	0.0001	0.0003	-0.0002	-0.0028**	-0.0053***	-0.0066***	-0.0082***	-0.0111***	-0.0072***	-0.0150***
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
state6	-0.0007***	0.0012***	0.0007*	-0.0013	0.0025	0.0001	-0.0015	0.0001	0.0006	0.0036	0.0029	0.0016	0.0029	0.0016	0.0011	0.0007	0.0009	0.0015	0.0021	0.0042
	(0.000)	(0.000)	(0.000)	(0.002)	(0.004)	(0.002)	(0.003)	(0.003)	(0.003)	(0.004)	(0.003)	(0.002)	(0.004)	(0.006)	(0.008)	(0.009)	(0.011)	(0.015)	(0.011)	(0.022)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																				
state8	-0.0006***	0.0008***	0.0003***	-0.0031***	-0.0013***	-0.0010***	-0.0043***	-0.0032***	-0.0031***	-0.0014***	-0.0006***	-0.0005	-0.0005	-0.0030***	-0.0033***	-0.0029**	-0.0038**	-0.0032	-0.0022	-0.0043
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.002)	(0.003)	(0.002)	(0.004)
state9	-0.0006***	0.0010***	0.0004***	-0.0033***	-0.0018***	-0.0012***	-0.0048***	-0.0040***	-0.0034***	-0.0019***	-0.0001	-0.0002	-0.0003	-0.0032***	-0.0056***	-0.0054***	-0.0054***	-0.0083***	-0.0055***	-0.0134***
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.002)	(0.003)
state10	-0.0007***	0.0006***	0.0002	-0.0031***	-0.0018***	-0.0012***	-0.0047***	-0.0040***	-0.0031***	-0.0024***	0.0000	-0.0004	-0.0009	-0.0047***	-0.0086***	-0.0094***	-0.0100***	-0.0155***	-0.0084***	-0.0198***
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.003)	(0.002)	(0.003)
state11	-0.0010***	0.0001	-0.0005	-0.0035***	-0.0015*	-0.0009	-0.0043***	-0.0033***	-0.0031***	-0.0021**	0.0017	0.0040**	0.0052***	0.0043***	0.0071***	0.0141***	0.0187***	0.0295***	0.0242***	0.0388***
	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.001)	(0.002)	(0.003)	(0.003)	(0.006)	(0.005)	(0.011)
state12	-0.0008***	0.0008***	0.0005	-0.0027***	-0.0005	-0.0001	-0.0037***	-0.0030***	-0.0027***	-0.0019***	0.0008	-0.0001	0.0002	-0.0025*	-0.0045**	-0.0035	-0.0036	-0.0066**	-0.0001	-0.0051
	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.003)	(0.002)	(0.003)	(0.004)	(0.005)
state13	-0.0013***	0.0007***	0.0007**	-0.0016	0.0015	0.0016	-0.0020	-0.0015	-0.0010	-0.0015*	0.0019	0.0008	0.0013	-0.0017	-0.0038	-0.0023	-0.0039	-0.0079	0.0033	-0.0047
	(0.000)	(0.000)	(0.000)	(0.001)	(0.002)	(0.002)	(0.002)	(0.002)	(0.001)	(0.001)	(0.002)	(0.001)	(0.002)	(0.003)	(0.004)	(0.006)	(0.005)	(0.006)	(0.008)	(0.012)
state14	-0.0014	0.0012*	0.0015***	-0.0004	0.0046	0.0047*	0.0006	0.0009	0.0008	-0.0002	0.0045	0.0036*	0.0051*	0.0039	0.0057	0.0107	0.0089	0.0091	0.0207	0.0221
	(0.001)	(0.001)	(0.000)	(0.001)	(0.004)	(0.003)	(0.002)	(0.002)	(0.002)	(0.001)	(0.003)	(0.002)	(0.003)	(0.003)	(0.005)	(0.009)	(0.007)	(0.008)	(0.014)	(0.020)
state15	-0.0007***	0.0008***	0.0004***	-0.0026***	-0.0005	-0.0000	-0.0032***	-0.0025***	-0.0024***	-0.0010	0.0041*	0.0080*	0.0098*	0.0087	0.0140	0.0255	0.0322	0.0474	0.0367*	0.0580
	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.002)	(0.005)	(0.006)	(0.007)	(0.011)	(0.018)	(0.021)	(0.030)	(0.022)	(0.038)
state16	-0.0007***	0.0005*	-0.0000	-0.0028***	-0.0014***	-0.0008*	-0.0037***	-0.0029***	-0.0032***	-0.0011	0.0015	0.0023	0.0035	0.0028	0.0046	0.0083	0.0112	0.0161	0.0124*	0.0172
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.000)	(0.001)	(0.002)	(0.002)	(0.003)	(0.003)	(0.004)	(0.006)	(0.008)	(0.010)	(0.007)	(0.011)
state17	-0.0000	-0.0004	-0.0008	-0.0013	-0.0002	-0.0001	-0.0007	-0.0008	-0.0020*	-0.0020***	-0.0016*	-0.0020**	-0.0011*	-0.0009	0.0011	0.0030	0.0057	0.0103	0.0102	0.0208
	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.004)	(0.005)	(0.007)	(0.013)	(0.009)	(0.023)
state18	0.0010***	-0.0007***	-0.0006***	0.0043***	0.0041***	0.0021***	0.0054***	0.0032***	0.0027***	-0.0004	-0.0012***	-0.0008	0.0001	-0.0004	0.0026	0.0058*	0.0076*	0.0110*	0.0108**	0.0125*
	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.001)	(0.001)	(0.001)	(0.002)	(0.003)	(0.004)	(0.006)	(0.004)	(0.007)
state19	-0.0010***	0.0008***	0.0004	-0.0013***	0.0004	0.0003	-0.0015***	-0.0012**	-0.0010*	0.0007	0.0049	0.0085	0.0109	0.0104	0.0141	0.0234	0.0295	0.0415	0.0317	0.0410
	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.004)	(0.007)	(0.009)	(0.010)	(0.016)	(0.026)	(0.032)	(0.047)	(0.034)	(0.057)
