	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																				
rtr_kume_main	0.0235**	0.0693***	0.0674***	0.0106	-0.0897***	-0.0854***	-0.1377***	-0.0990***	-0.0652*	-0.0637**	-0.0576*	0.0188	0.0754**	0.0719***	0.1350***	0.1291***	0.0952**	-0.0599	-0.0642	-0.0492
	(0.011)	(0.015)	(0.025)	(0.025)	(0.026)	(0.022)	(0.027)	(0.035)	(0.033)	(0.027)	(0.032)	(0.035)	(0.035)	(0.024)	(0.035)	(0.042)	(0.048)	(0.088)	(0.075)	(0.153)
state2	-0.0002	0.0019***	0.0017***	-0.0017***	-0.0009*	0.0003	-0.0032***	-0.0016**	-0.0015**	-0.0007	0.0003	0.0008	0.0008	-0.0026**	-0.0049***	-0.0058***	-0.0076***	-0.0128***	-0.0090***	-0.0199***
	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.001)	(0.003)
state3	0.0023**	0.0019***	0.0020***	-0.0022***	-0.0006	0.0004	-0.0024**	0.0033	-0.0006	0.0001	0.0006	0.0022	0.0036	0.0034	0.0137	0.0173	0.0236	0.0459	0.0381	0.0974
	(0.001)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.003)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.005)	(0.014)	(0.017)	(0.022)	(0.041)	(0.032)	(0.078)
state4	-0.0002	0.0001	-0.0001	-0.0019***	0.0024***	0.0034***	0.0019***	0.0021***	0.0009**	0.0016***	0.0023***	0.0004	-0.0018***	-0.0059***	-0.0097***	-0.0099***	-0.0105***	-0.0092***	-0.0047***	-0.0129***
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)
state5	-0.0003	0.0011***	0.0008***	-0.0016***	0.0005	0.0016***	-0.0006	0.0003	0.0002	0.0012*	0.0023***	0.0020***	0.0016*	-0.0008	-0.0030**	-0.0033**	-0.0039**	-0.0045*	-0.0024	-0.0079***
	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.001)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)
state6	-0.0010	0.0007	-0.0007	-0.0027***	-0.0005	-0.0012	-0.0034**	-0.0021	-0.0010	0.0022	0.0022*	0.0015	0.0035	0.0026	0.0022	0.0023	0.0042	0.0076	0.0044	0.0080
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.001)	(0.001)	(0.001)	(0.002)	(0.001)	(0.001)	(0.003)	(0.006)	(0.008)	(0.008)	(0.011)	(0.016)	(0.010)	(0.021)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																				
state8	-0.0002	0.0018***	0.0011***	-0.0024***	-0.0009**	0.0003	-0.0029***	-0.0019***	-0.0020***	-0.0008	-0.0000	0.0003	0.0001	-0.0034***	-0.0039***	-0.0039***	-0.0050***	-0.0060***	-0.0031**	-0.0065**
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.003)
state9	-0.0004	0.0015***	0.0012**	-0.0027***	-0.0017***	-0.0022***	-0.0053***	-0.0039***	-0.0029***	-0.0022***	-0.0002	-0.0001	-0.0004	-0.0042***	-0.0069***	-0.0076***	-0.0087***	-0.0145***	-0.0081***	-0.0188***
	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.003)
state10	-0.0008**	0.0008**	0.0002	-0.0027***	-0.0008	-0.0011	-0.0035***	-0.0024***	-0.0017**	-0.0013**	0.0015***	0.0007*	0.0000	-0.0035***	-0.0071***	-0.0074***	-0.0069***	-0.0116***	-0.0051***	-0.0153***
	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
state11	0.0031**	0.0061***	0.0087***	0.0054**	0.0068**	0.0040**	0.0030	0.0089***	0.0089***	0.0074***	0.0118***	0.0133***	0.0128***	0.0042***	0.0055**	0.0086***	0.0072*	0.0063	0.0200***	0.0313**
	(0.002)	(0.002)	(0.003)	(0.003)	(0.003)	(0.002)	(0.002)	(0.003)	(0.003)	(0.002)	(0.003)	(0.003)	(0.003)	(0.001)	(0.002)	(0.003)	(0.004)	(0.010)	(0.007)	(0.015)
state12	-0.0009**	0.0008***	-0.0002	-0.0036***	-0.0020**	-0.0025***	-0.0054***	-0.0038***	-0.0031***	-0.0026***	0.0006***	-0.0002	-0.0001	-0.0032***	-0.0051***	-0.0043**	-0.0049***	-0.0094***	-0.0015	-0.0074**
	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.002)	(0.001)	(0.001)	(0.002)	(0.003)
state13	-0.0018***	0.0003	-0.0004	-0.0029***	-0.0002	-0.0003	-0.0030***	-0.0027**	-0.0018*	-0.0020***	0.0016	0.0002	0.0005	-0.0021	-0.0035	-0.0012	-0.0032	-0.0070**	0.0035	-0.0035
	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.003)	(0.005)	(0.003)	(0.003)	(0.006)	(0.010)
state14	-0.0013**	0.0016**	0.0017***	-0.0008	0.0027	0.0019	-0.0017	-0.0006	0.0001	-0.0019*	0.0032	0.0026	0.0038	0.0011	0.0026	0.0070	0.0026	-0.0019	0.0147	0.0128
	(0.001)	(0.001)	(0.000)	(0.001)	(0.003)	(0.003)	(0.002)	(0.002)	(0.002)	(0.001)	(0.003)	(0.002)	(0.003)	(0.003)	(0.005)	(0.009)	(0.007)	(0.008)	(0.013)	(0.021)
state15	0.0071*	0.0113**	0.0174*	0.0137	0.0148*	0.0110*	0.0097	0.0179*	0.0175*	0.0136*	0.0187**	0.0221*	0.0215*	0.0066	0.0079	0.0126	0.0073	-0.0003	0.0236*	0.0357
	(0.004)	(0.005)	(0.009)	(0.009)	(0.008)	(0.006)	(0.006)	(0.010)	(0.010)	(0.008)	(0.009)	(0.011)	(0.011)	(0.005)	(0.007)	(0.010)	(0.006)	(0.004)	(0.014)	(0.024)
state16	0.0011	0.0030*	0.0035	0.0003	0.0002	-0.0015	-0.0039	-0.0001	-0.0001	-0.0025***	0.0013	0.0030	0.0037	-0.0014	-0.0011	-0.0012	-0.0033*	-0.0094**	0.0018	-0.0031
	(0.001)	(0.002)	(0.003)	(0.003)	(0.003)	(0.002)	(0.002)	(0.003)	(0.003)	(0.001)	(0.002)	(0.003)	(0.003)	(0.001)	(0.002)	(0.002)	(0.002)	(0.004)	(0.003)	(0.005)
state17	-0.0001	-0.0004	-0.0019***	-0.0026**	-0.0023**	-0.0018*	-0.0024	-0.0022*	-0.0031**	-0.0031***	-0.0024***	-0.0027***	-0.0019**	-0.0024	-0.0004	0.0011	0.0037	0.0072	0.0079	0.0175
	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.004)	(0.005)	(0.007)	(0.013)	(0.009)	(0.023)
state18	0.0025***	0.0013	0.0023	0.0072***	0.0067***	0.0044***	0.0084***	0.0077***	0.0069***	0.0027***	0.0020**	0.0021*	0.0028**	-0.0002	0.0022***	0.0047***	0.0044***	0.0044***	0.0097***	0.0102***
	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.001)	(0.001)	(0.002)	(0.002)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.000)	(0.001)	(0.000)	(0.001)	(0.001)	(0.003)
state19	0.0056	0.0097	0.0142	0.0116	0.0115	0.0074	0.0069	0.0135	0.0141	0.0114	0.0160	0.0195	0.0199	0.0072	0.0074	0.0106	0.0061	-0.0027	0.0171	0.0174
	(0.006)	(0.008)	(0.014)	(0.014)	(0.014)	(0.011)	(0.012)	(0.018)	(0.017)	(0.014)	(0.016)	(0.019)	(0.019)	(0.010)	(0.013)	(0.017)	(0.013)	(0.013)	(0.025)	(0.043)
