,educ_mean,educ_mean_rank,mean_monthly_earnings,mean_monthly_earnings_rank,hhi_occ4,hhi_code_meso,hhi_codemun,hhi_jid,num_unique_jids,num_unique_wids,num_unique_wid_jids,j2j_dist_mean,j2j_dist_std,j2j_dist_25th,j2j_dist_75th,spatial_var_km
educ_mean,,,,,,,,,,,,,,,,
educ_mean_rank,0.9397638603608915,,,,,,,,,,,,,,,
mean_monthly_earnings,0.6218155677323081,0.5615772536173216,,,,,,,,,,,,,,
mean_monthly_earnings_rank,0.5775195921517897,0.5785223664876029,0.8122813281459648,,,,,,,,,,,,,
hhi_occ4,-0.09347974493600118,-0.07650560026395092,-0.1312111522762404,-0.27918126447683567,,,,,,,,,,,,
hhi_code_meso,0.014454780372821368,0.019778061625129587,-0.21421576279966653,-0.40456568410009264,0.5463810866815263,,,,,,,,,,,
hhi_codemun,0.12789598513062708,0.14024013097065136,-0.14565168315743537,-0.3375554608707252,0.620225226709251,0.8196236430722957,,,,,,,,,,
hhi_jid,-0.09062424586618875,-0.05183947620377598,-0.2067362333924967,-0.3323258217213086,0.6664699900586617,0.4628145840651669,0.6265297895649712,,,,,,,,,
num_unique_jids,0.2061735823193306,0.25942164498362735,0.296322611462552,0.42638876034024786,-0.34419181880155925,-0.41011408334346416,-0.35358736578499106,-0.29472959361176787,,,,,,,,
num_unique_wids,0.20346694766512377,0.25275056833989357,0.29726704885952077,0.3802267888423267,-0.21610660191536538,-0.3018097743046635,-0.24670568807659585,-0.21219258368759764,0.9435949303421004,,,,,,,
num_unique_wid_jids,0.21475054241664857,0.26250154836106204,0.3123598716598462,0.38769339675773395,-0.2058419520912671,-0.2951949284659744,-0.2395190124362315,-0.2164606670191307,0.9379111262990231,0.9976210728605555,,,,,,
j2j_dist_mean,-0.006445883015927731,-0.020482703061952403,0.05216818815419661,0.033241598175187854,-0.012666096558634838,-0.05293254553533407,-0.05736215789644742,-0.0297692904985907,-0.029791679417084174,-0.04346350451610768,-0.04011971571437722,,,,,
j2j_dist_std,-0.009177871696732958,-0.025801469477861428,0.049018310364641486,0.03769296276235542,-0.018403852051207488,-0.06353637954738663,-0.07265116156323273,-0.03661800752745706,-0.014282185395363339,-0.027232415244571966,-0.025271523296170592,0.8876043324588793,,,,
j2j_dist_25th,-0.047967812925068305,-0.05570778286129038,-0.011110420837809075,-0.004685433701105278,0.004411173102367214,-0.013382754936493284,-0.009715986732678743,0.017586722563083954,-0.022749246807360887,-0.037534067587754294,-0.037317777771480314,0.31280462542988036,0.07015394307988815,,,
j2j_dist_75th,0.007682634436128549,-0.005026308866356797,0.051148013494756984,0.016417041067565606,0.004568937850729264,-0.0216623243240194,-0.029156653618957015,-0.01941835775846043,-0.03863489558194898,-0.04583538245206955,-0.04180777662887597,0.9071193292480032,0.6963154605288773,0.25280683143368576,,
spatial_var_km,-0.0022378904294767395,-0.012400954299496158,0.19686909625451698,0.3612337091426648,-0.49404251671340427,-0.8533552919418299,-0.6847924216206599,-0.3993722764302229,0.4076878956397415,0.30697832864267344,0.3000385952458088,0.018328258348129095,0.04238871301061368,0.00261939552446212,-0.003126242197260316,
